Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
FMO2,9.52641,9.67935,4.934081,4.585
KRT1,5.322837,6.07485,0.761601,0.0
AC009133.15,3.225653,4.2124,0.0,0.0
ESM1,4.971383,4.78115,10.013414,10.2131
MT1A,6.937552,6.5543,3.678647,2.8074
RP11-452N17.1,4.156381,4.19295,7.439816,7.5
PKMYT1,5.388613,5.33235,9.242401,9.1162
NCAPG,5.409396,5.5518,8.650149,8.811
HOXC13,0.163373,0.0,5.457301,5.1293
RMI2,5.296874,5.30365,9.077881,9.1948
FAM207BP,1.469454,1.7049,4.552499,4.6387
RP5-940J5.9,1.337062,0.0,9.570757,10.9797
KCNJ5,12.046921,12.3369,8.33463,7.4512
OGN,8.380303,8.53895,3.107645,2.0
MYH7,5.848872,6.48695,1.448242,1.0
ADCY2,6.372906,6.4838,2.868873,2.3219
PON1,6.836974,7.2288,2.857734,2.3219
PRG4,6.249187,5.9286,2.884404,2.6112
DLX6,1.081662,1.0,5.408284,5.8826
NRK,10.722594,10.91445,7.839791,8.4305
RP11-343H5.4,4.287567,2.5862,0.983931,0.0
FATE1,2.161864,2.0,7.777327,6.1085
RARRES1,9.148176,9.014,5.041749,4.7004
LINC01314,8.464814,8.58305,5.188086,4.1699
KRT6A,5.346331,5.41715,0.783683,0.0
NKX3-2,2.028921,2.0,5.142739,5.5236
SCN2B,4.270483,4.3219,0.515795,0.0
DNM3OS,7.467886,7.52745,4.106182,4.0875
PBK,4.084348,4.0,8.401601,8.4635
GAS2L3,5.719937,5.8074,8.92527,9.0553
ZNF662,8.279648,8.2992,5.090792,4.6439
DLGAP5,4.04856,4.2849,7.209674,7.2668
MYOC,4.349706,4.1699,0.575342,0.0
LUZP2,8.742552,8.99565,4.594182,4.0875
NACA2,1.485836,1.585,4.4333,4.4712
CRNN,4.335253,4.5236,0.246166,0.0
NEFL,5.110231,4.7549,9.030035,10.032
RP11-1143G9.4,2.779594,3.13335,5.743779,5.9146
H19,14.776791,14.71695,11.800887,11.4982
PDCD6IPP1,6.018189,6.0909,1.960918,1.6276
IGSF10,9.055826,9.25365,5.229051,4.9284
DDX3Y,7.46613,11.1233,4.322708,1.585
TRIM55,1.109499,1.0,5.179545,5.0444
TH,7.778182,6.53885,1.425187,0.0
CERS1,4.151846,3.99185,7.112283,7.4494
PNLIP,5.493492,6.1497,0.646519,0.0
PLA2G4A,8.658021,8.78135,5.625527,5.4263
DEPDC1,3.772875,3.8074,6.922049,6.7814
RPL12P38,0.496286,0.0,4.106948,4.193
CTB-191K22.5,1.200752,1.1309,4.221074,4.813
STC1,5.935713,5.71415,10.188125,10.1408
ZACN,5.56536,5.7443,8.90386,10.0484
LUCAT1,5.310241,5.1897,2.160945,2.0
TBCAP1,1.30131,1.04605,5.214497,5.4155
HNRNPA1P4,0.417273,0.0,4.408795,4.5686
AADAC,12.631997,12.81015,6.062327,5.8826
VIL1,2.514522,2.65535,6.293645,7.2789
ACTA1,6.02779,6.451,2.298144,2.3219
KRT4,6.014676,6.17985,0.111494,0.0
DHRS2,4.734513,4.5236,8.280188,7.7549
EIF5AP4,1.10448,1.21405,5.616188,5.8432
HOXB13,0.384871,0.0,5.091806,5.6147
GPM6A,7.132042,7.3129,3.973045,4.2479
PNMT,6.849867,5.26665,1.31551,1.0
CKM,5.519912,6.0334,1.876438,1.585
NRXN1,4.065221,3.9069,0.776375,0.0
AMY2A,4.734759,5.23065,0.650564,0.0
MISP,1.483067,1.585,4.438878,3.9069
TPX2,6.536402,6.6294,10.154321,10.2773
DLG2,10.218767,10.4455,6.723538,6.4757
SPINK6,1.131238,1.0,4.302322,4.0
PLIN1,6.933337,6.585,3.686448,3.4594
CTB-43P18.1,4.790544,4.78945,8.503774,8.5378
CDCA2,3.534209,3.7004,6.532896,6.5546
KCNH8,6.970921,7.1189,2.468382,2.0
GSTM5,7.051056,7.1679,3.857509,4.0321
GPR17,5.430433,5.4263,1.887238,2.0
WFIKKN2,6.44419,6.5546,3.233992,2.0
PCDH15,7.641309,7.73085,2.964786,2.8074
KRT13,7.207385,7.4136,0.3171,0.0
SAA2,6.106927,6.1635,1.348194,1.0496
RPL23AP65,2.375505,2.5311,5.814964,6.0197
KIAA1210,6.665046,7.06595,1.571462,1.0
AL158801.1,2.013584,2.0755,5.235275,5.496
AC005618.6,2.346273,2.3219,5.200569,5.5546
SAA1,8.092693,8.29365,2.814325,2.0
MUM1L1,7.911587,8.1267,3.388196,2.3219
CHGA,8.611856,7.6653,3.410087,3.1699
CES4A,9.438193,9.5698,5.644362,6.1185
PGA5,5.164048,5.5626,0.987619,0.0
SEMA3B,13.603117,13.69115,10.704082,11.948
NDC80,4.537978,4.6439,7.604166,7.6073
CTD-3064H18.4,2.309482,2.43365,5.7359,6.4279
TNNT2,5.976438,6.1497,0.786416,0.0
ABCC8,5.689597,4.78115,1.452145,1.0
KDM5D,7.849782,11.80295,4.064595,1.585
RP11-316M1.12,3.964833,3.71715,10.191579,10.6013
TMPO-AS1,4.649513,4.6519,8.023548,7.9857
TCF21,7.765656,7.86405,4.389034,4.3219
PYROXD2,9.275846,9.4695,6.143139,5.7004
PENK,6.327333,4.3571,0.935978,0.0
PHOX2B,3.278239,1.585,0.090616,0.0
DIAPH3,3.620052,3.8074,7.048673,7.3923
FOXL2NB,6.695005,6.8391,3.241119,2.3219
L1CAM,7.146065,6.2854,4.073181,3.9069
KRT14,5.056303,5.24355,0.825158,0.0
CNTN6,8.043017,8.2992,3.985016,3.7004
RP11-286N22.14,7.081344,7.37355,3.450791,3.5546
RP11-294J22.6,1.489148,0.0,5.765921,6.5527
ACTC1,5.446228,5.65815,2.103419,2.0
RP11-301L8.2,6.262696,6.34875,2.657445,2.585
CYP11B2,11.049817,10.99545,6.568864,6.7922
KCNT1,3.801711,3.85715,7.101881,7.2854
DLX5,2.28815,2.585,7.258734,7.4676
BIRC7,3.037923,3.0,8.76784,9.6917
LA16c-390E6.5,6.737771,6.8872,10.056212,10.1802
NEIL3,2.19151,2.3219,4.99899,5.2854
KCNQ1,13.531928,13.60265,10.538197,10.3476
ATP1A3,5.343671,4.0875,8.660455,8.5584
ANGPT2,4.541229,4.4594,9.586948,9.6987
DUSP9,1.005586,1.0,6.543031,6.3038
DES,8.926006,8.5999,2.770916,2.3219
ADH1B,12.35328,12.61545,7.501209,7.4692
RXFP1,7.484746,7.64015,4.171147,4.2479
PRIMA1,6.221172,6.0444,2.279091,2.0
