Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
LINC01224,1.872325,2.0,4.237315,4.585
FMO2,12.546445,12.79995,9.777333,9.8626
AP000892.6,11.114557,11.2204,9.585787,9.6201
IL32,11.785843,11.84885,12.377187,12.4579
COLCA1,8.409172,8.50775,8.480136,8.5353
RAET1K,1.420315,1.02505,3.38802,3.4463
ESM1,7.820367,7.85485,8.853388,8.9744
RP13-554M15.2,5.661456,5.7279,3.774944,3.9069
PKMYT1,5.918945,5.8367,8.936991,9.0489
RP11-452N17.1,3.968859,4.15705,7.574178,7.5269
RP11-106M3.2,7.170144,7.27195,4.542957,4.6011
NCAPG,5.799824,5.7711,9.184472,9.2052
TRABD2B,7.88532,7.8937,6.359941,6.4263
MUSK,5.558842,5.6439,2.791257,2.8074
MASP2,6.329015,6.585,4.839915,4.9542
TNNT1,5.834878,5.858,7.823038,8.0498
XCL1,4.297122,4.36635,4.991177,4.9246
AC003090.1,4.778733,4.858,3.23671,3.1699
PWAR6,8.262465,8.39865,6.940491,7.0768
ACOX2,7.950536,8.1189,8.898942,9.0307
RP11-166D19.1,9.409628,9.3987,8.421384,8.3531
MEF2C-AS1,3.836095,3.9069,3.260923,3.3219
ASB2,7.00423,7.0553,6.781387,6.8329
IGHGP,4.637183,4.6282,11.17002,11.3305
JAKMIP3,5.272548,5.40545,5.19366,5.0444
IGLC3,10.67242,10.7312,13.909659,14.088
RMI2,5.464127,5.5546,9.189247,9.2119
FAM207BP,1.224728,1.1375,4.246804,4.3576
RP5-940J5.9,0.981946,0.0,7.274059,8.4278
CLEC3A,0.13274,0.0,0.635474,0.0
RAD54L,5.074936,4.9991,7.878094,7.928213
SLC18A2,7.974738,8.1456,6.51516,6.7608
OGN,9.203367,9.314,6.698487,6.858
ADCY2,5.441914,5.5236,4.743839,4.7004
RGS20,2.050338,2.0,4.847485,4.7549
TPO,4.788714,4.8074,3.338466,3.3219
PDE1C,9.038694,9.14845,6.670539,6.5546
LHX5,0.148455,0.0,2.258664,1.585
PLP1,5.606219,5.7414,1.97168,1.585
PAX5,3.806265,3.9069,6.804728,6.9658
DNM1P47,4.916696,5.0343,2.611505,2.5945
NR2F1,11.332711,11.41515,10.004813,10.0767
C11orf53,1.266411,1.0,2.375322,1.585
ECHDC3,8.992747,9.1485,9.24445,9.388
LINC00950,6.264618,6.35705,5.522116,5.6147
AC129492.1,4.03198,4.48475,2.227884,2.2357
CD164L2,5.997941,5.9307,6.506857,6.7682
MAPK4,7.366258,7.4676,5.134046,4.858
RP11-347I19.7,7.394579,7.60895,5.58484,5.8301
RP11-343H5.4,4.592998,3.1643,1.554186,1.0
FTH1P7,6.19697,6.2869,8.726658,8.7043
FGF10,6.340564,6.36335,2.911369,2.8074
PRRT2,8.990444,9.0635,6.842082,6.8887
RP11-57A19.2,0.999502,1.0,4.240455,4.2479
FXYD6,11.412644,11.5085,9.933452,9.9258
CXCL8,9.762941,9.67285,10.214687,10.1573
ANTXR2,10.920818,11.0063,11.259012,11.2969
TNFAIP8L3,9.120976,9.22035,7.25519,7.3399
COL19A1,2.185381,2.3219,2.502899,2.585
SORBS2,9.529269,9.74485,10.099019,10.3151
LINC00982,7.261068,7.3487,5.675394,5.700429
CDO1,8.447572,8.6017,5.679901,5.6724
PLCD4,7.00059,7.1411,6.529404,6.589
RIPPLY3,3.497796,3.585,5.025416,5.1699
PGM5P4-AS1,3.385282,3.4957,2.101326,2.0976
CENPE,5.771686,5.7004,8.659748,8.683
ECE2,6.205495,6.416,8.969517,8.9677
ADAMTS9-AS2,6.653141,6.8704,4.296899,4.3923
NEK2,4.095878,4.0,8.904056,8.9773
RNF112,7.526648,7.60345,4.746944,4.8074
FAM46B,9.059705,9.2784,7.44909,7.5392
PBK,3.979975,3.7004,8.11768,8.1293
MARVELD3,6.529156,6.7968,9.630904,9.6869
HLA-DRB6,7.287341,7.95805,9.361295,9.7051
MMP11,5.062107,5.1105,11.116172,11.0324
RP11-109P14.10,1.63079,0.0,2.309729,1.6462
NFASC,10.370461,10.44705,8.001618,8.0715
RP1-193H18.3,1.920092,2.0,0.29239,0.0
PGLYRP4,1.331587,1.0,4.779712,4.9069
BRCA2,6.57578,6.62205,8.238443,8.2288
TMPRSS3,6.737395,6.9188,7.87146,7.8265
DDR2,11.410626,11.52725,10.248982,10.366712
RP11-498C9.13,1.0383,0.0,4.069701,4.7339
CLIP3,9.372652,9.4136,9.139782,9.151439
FBXL22,4.860803,5.0,5.430105,5.4861
KCNA5,6.739765,6.87575,4.288623,4.359
LOC100421166,4.049366,4.2479,1.085623,1.0
TREM1,9.851188,9.99645,10.527198,10.5727
EPHA7,4.420441,4.5543,4.365544,4.0875
GOLGA8Q,4.256122,4.4822,2.392465,2.5969
TRPM2-AS,1.321511,1.585,3.135479,2.0
MYOZ2,4.164156,4.2479,1.663082,1.585
EYA4,6.846269,6.9887,5.510822,5.4263
DLGAP5,4.674583,4.42585,8.969853,9.0553
RP11-535A5.1,2.380652,2.585,0.667158,0.0
ITIH5,10.376112,10.53965,8.84474,8.9248
MYOC,7.032534,7.1798,2.151655,2.0
LRCH2,8.134249,8.2503,7.043421,7.0112
PLIN4,8.723206,8.8673,5.991879,5.9542
TTK,4.551172,4.4594,8.303477,8.3487
IGLV3-1,6.808191,6.9086,10.176517,10.3333
AOC4P,7.230357,7.3023,3.450946,3.5619
PDZD4,8.28018,8.32415,6.496562,6.4919
MYEOV,3.337185,3.3219,7.382671,7.0875
PPP1R14A,10.671766,10.80615,7.832785,7.8517
CNTFR,6.709001,6.82015,3.096661,2.8074
PCK1,3.632615,3.3219,2.401094,1.585
KLHL33,2.635241,2.8074,1.669365,1.585
F10,8.639876,8.817,6.539334,6.4429
ITPR1,11.080536,11.1545,10.560864,10.5632
FAM83H,9.610944,9.8447,12.324848,12.4107
CD1A,3.050099,2.9037,6.866432,7.0444
CRNN,3.016611,3.585,0.301955,0.0
C20orf166-AS1,4.359547,4.42585,1.73327,1.585
RP11-1143G9.4,6.665616,7.81665,8.061245,8.7338
CYBRD1,12.80065,12.9941,12.131793,12.2453
WISP2,11.764206,11.96435,8.291204,8.4429
LAMP5,4.34103,4.3923,7.437276,7.4757
AP000473.8,3.49559,3.585,1.833679,2.0
PARM1,11.083028,11.1209,12.44822,12.5343
CXCL9,7.859449,7.82655,10.996337,11.1235
IGLC2,11.670797,11.74045,14.805201,15.0424
ITGA10,10.521523,10.58355,6.884519,6.8704
MTND5P1,3.680842,3.9069,1.800286,1.585
CTD-2003C8.2,2.390425,2.3219,1.838343,2.0
IGSF10,11.155593,11.3603,7.615199,7.6908
FAM72B,4.680298,4.79285,6.760127,6.7996
TBX18,4.204955,4.1699,4.453753,3.9069
CGREF1,4.827474,4.80995,7.141447,7.1274
DMRTA2,0.718444,0.0,4.164379,3.7004
FBLN5,12.831227,13.0275,10.611138,10.5897
RP11-448G15.3,8.14583,8.30605,5.789584,5.9069
RP4-738P15.6,2.086351,2.3377,3.892534,4.4416
TMEM52B,4.97322,5.0444,5.284345,5.2854
TOP2A,7.279574,7.1446,11.925968,12.007
UCN2,2.488268,2.42085,3.065734,2.8074
HAPLN2,4.377667,4.5236,1.443546,1.585
PNLIP,3.570967,3.9069,0.214761,0.0
SKA1,3.93695,3.9069,7.435743,7.4676
ATP1A2,9.150575,9.21185,5.668894,5.7814
SLC25A27,9.163487,9.2609,6.608828,6.7279
LINC01573,3.836152,4.0,2.564876,2.585
NCAPH,5.407909,5.3219,8.790775,8.8796
TPSB2,11.048794,11.23685,9.818078,10.047
NEURL1,5.080526,5.06595,5.053762,4.585
CST6,7.608613,7.9248,7.899051,8.0224
BRIP1,5.009199,4.93055,8.028844,8.0768
MRGPRF-AS1,3.656576,3.71095,0.892725,1.0
FAM171A2,5.14802,5.2095,7.142487,7.159855
GOLGA8K,4.761133,4.98845,3.134317,3.3406
NFATC4,11.005018,11.1548,10.488491,10.5362
FAM72D,4.521306,4.69265,6.668856,6.7401
DEPDC1,3.803346,3.7004,8.399784,8.5076
RPL12P38,0.476785,0.0,4.079485,4.1094
ZNF300P1,6.24418,6.3576,4.550442,4.4594
FAM83A,3.297843,3.1699,11.482953,11.7758
LDHAP3,0.472596,0.0,3.905774,4.2311
POLQ,5.053893,5.0444,7.566277,7.5392
ADCYAP1R1,6.182045,6.3576,4.321026,4.3219
CTB-191K22.5,5.54822,5.8194,7.856291,8.0328
CCL17,4.591371,4.6439,5.774989,5.7814
AUNIP,3.571467,3.5993,6.450244,6.4757
CENPA,3.831838,3.8074,7.543736,7.7004
ZACN,6.349851,7.52795,8.344716,9.5016
FAM72A,5.769154,5.84995,7.2832,7.3051
RGS11,9.311965,9.39445,6.646502,6.5555
CELF2-AS1,5.902075,6.0875,3.235613,3.3219
CCDC136,5.887942,5.96575,5.274788,5.2854
TBCAP1,0.782964,1.0,3.531888,3.6229
IGHG4,8.449636,8.4765,13.034671,13.1122
GLIS1,3.344109,3.4594,3.211848,3.1699
HNRNPA1P4,0.572539,0.0,4.299121,4.3889
CLSTN2,7.833191,8.0279,6.638864,6.7415
ZNF540,7.377493,7.5203,6.107765,6.1898
FAM138B,2.544237,2.7278,0.752131,0.0
EIF5AP4,1.003648,0.7611,6.186029,6.2286
GPM6A,8.383682,8.5314,5.349427,5.5236
CDC6,6.075476,5.9069,9.456218,9.547518
COL16A1,11.506516,11.61585,10.758895,10.8329
EPCAM,10.299945,10.6506,14.214777,14.2703
RP3-525N10.2,7.088727,7.25265,2.496363,2.3219
CENPF,6.454593,6.3309,10.725726,10.8431
ST14,10.350396,10.58825,13.575467,13.5828
