"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CYP11B1",-4.94954110669734,0.206465560750594,-35.2022433754383,4.85125042260338e-127,2.41563163543113e-122,277.506824627061
"RP11-40C6.2",8.09346521671211,8.70569934420453,31.2453720382525,2.34193498277695e-111,5.83071552661976e-107,242.138831822616
"PRM1",-3.25316237478234,0.120843462994033,-29.8688574709767,1.04839318308908e-105,1.74012300529125e-101,229.366002981481
"PNLIP",-6.30277345908369,0.239074254546443,-27.9235506482033,1.47352787180283e-97,1.83432117121376e-93,210.92531076556
"RP11-243M5.5",-5.03697313526999,0.320457202847542,-26.7115268213495,2.15964705657009e-92,2.15074931069702e-88,199.219727584386
"PRM2",-4.07816532646473,0.175833804219661,-25.3373953223633,1.8461309216086e-86,1.53210405184298e-82,185.767091575719
"PNLIPRP1",-3.9357567615422,0.178847863757181,-24.9299014866832,1.09450119453322e-84,7.78565606865529e-81,181.744028054777
"CELA3A",-6.31715353497404,0.306399005874295,-24.4795936474047,1.01196238728342e-82,6.29870688904884e-79,177.28188525334
"OR4F17",-1.45628908752175,0.0411566959633699,-23.585482808298,8.46609622350585e-79,4.68400883725833e-75,168.375442367443
"AC007193.10",-3.43982459939095,0.214782628545137,-22.7610049179363,3.66492398319286e-75,1.82491224819105e-71,160.114862758778
"ADGRG4",-5.23460485903361,0.34624574842731,-22.5657334104984,2.6767772972835e-74,1.21170407946304e-70,158.152677602696
"REG1P",-1.86917102927424,0.0561415736403677,-22.3000073632446,4.01746664201348e-73,1.66704778310349e-69,155.479451965822
"RP11-616M22.5",-2.32245636034291,0.106685083027895,-22.219360015918,9.14594527765306e-73,3.50317845504197e-69,154.667476374874
"RGR",-2.8414808483014,0.158968357805696,-21.7509899447956,1.09210890745091e-70,3.88431935268649e-67,149.946428308353
"UBE2SP2",7.18141287998381,7.48001425811535,20.2339696295858,6.04283432341607e-64,2.0059792820012e-60,134.61335131292
"AMY2A",-4.90808446720691,0.352448154881313,-19.7074046161659,1.32726166011641e-61,4.13060419398979e-58,129.286398184477
"PPIAP22",3.22317506670223,11.7508425582552,19.6108986517207,3.54363477540412e-61,1.03795147062631e-57,128.31610302955
"CELA3B",-4.9007754021577,0.381639606298827,-19.4026373001199,3.00274319960067e-60,8.30658860449533e-57,126.204613034928
"SKA3",6.50236499977732,8.99433928404181,19.3561834936364,4.82955508445799e-60,1.26569929408159e-56,125.73502896265
"AOX3P",-2.28068709788452,0.128417636369049,-19.2090547980821,2.17478914215208e-59,5.41457252721603e-56,124.248095267696
"REG1B",-5.11298958199982,0.226577289431361,-19.0343410778729,1.2974265543551e-58,3.07638370702657e-55,122.483139300535
"NCAM1-AS1",-4.5784827553558,0.34158288782784,-18.9208948162607,4.13521186025449e-58,9.13204337171003e-55,121.337619237371
"RN7SL417P",-3.30258074536452,0.282771126284867,-18.9189516294399,4.21811859961704e-58,9.13204337171003e-55,121.318001811206
"RP11-822E23.6",-2.65164246030179,0.143043356338117,-18.7061517998021,3.70518046972966e-57,7.6873231795716e-54,119.170542055421
"ACTRT2",-0.918199161647394,0.0283164118737852,-18.5348166473485,2.12804642979854e-56,4.23855775701555e-53,117.442889829828
"UBE2C",6.81941360930069,11.4211877677854,18.4566008136139,4.72432151655617e-56,9.04780252289993e-53,116.654656356933
"BIRC5",6.77609882021199,11.111958830992,18.4456117873304,5.28433533709183e-56,9.74548865833892e-53,116.543936685065
"ASF1B",5.79941971671036,10.4112088166853,18.3737478189371,1.09920546890389e-55,1.95477989709286e-52,115.820024686792
"UHRF1",6.04732847330627,10.8350426833975,18.2817065061704,2.80733936402336e-55,4.82029849283377e-52,114.89325763025
"NTRK3-AS1",-1.36375838769628,0.0556258873987152,-18.1511858866371,1.06018636895316e-54,1.75969733518846e-51,113.579855816199
"RP11-254F19.3",-0.746866658478405,0.0227950412620239,-18.0284845393582,3.69380524534623e-54,5.93320446408936e-51,112.346068781023
"TNP1",-1.94508861754398,0.0907471360146301,-17.9638076795536,7.12919561210951e-54,1.10934739471682e-50,111.696114674332
"CTRB1",-5.86732408190828,0.440809234025047,-17.9004461787085,1.35730575784148e-53,2.04805099715027e-50,111.059648209594
"MYBL2",8.13691943579685,11.5180251240543,17.8240141690995,2.9500817127302e-53,4.32048143540258e-50,110.292255685827
"CDK1",5.51838545301493,10.9953831503617,17.7386924105876,7.01427925556079e-53,9.97911489289697e-50,109.43610076954
