Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
HCG4P5,7.472552,7.6709,4.684604,4.7415
IL32,11.26413,11.3292,8.118648,8.0279
NUCB2,8.326008,8.3487,12.890419,12.9805
KRT1,8.851738,8.7381,3.281171,3.1699
MTND5P14,1.029999,1.0,6.541427,6.4757
SLC45A4,11.04357,11.1267,8.685386,8.8734
RP11-1250I15.3,0.071721,0.0,4.585759,4.585
MTND2P28,9.603722,9.6077,13.105708,13.1999
HSPA8P15,0.579929,0.0,5.301779,5.4552
RP11-452N17.1,2.044118,2.2357,6.925335,7.0695
GUCY1A3,4.100445,4.0,10.193333,10.8788
RP11-290L1.4,0.476691,0.0,5.568457,5.6235
LA16c-431H6.7,1.317934,1.0,6.181687,6.3038
UPP1,12.694276,12.9088,8.275676,8.2854
NDUFAF4P4,0.069762,0.0,4.610802,4.7549
RP11-96K19.4,2.094349,2.0,6.745909,6.7279
PHBP19,0.45383,0.0,6.890564,6.9307
RP11-624D20.1,0.056157,0.0,4.683114,4.858
HCG27,9.533685,9.6998,6.593399,6.6126
MASP2,3.66716,3.585,8.37045,8.4179
TNNT1,6.732501,6.4919,4.13819,4.2479
MTND1P11,0.958888,1.0,6.045383,5.9307
CAMK1,8.515045,8.6417,5.936417,6.1379
DEFA1,13.016686,13.1567,4.676149,4.5298
FCGR2B,9.321215,9.4253,7.591997,7.6064
SRGAP2-AS1,0.136032,0.0,5.403522,5.5398
XCL1,4.506393,4.3441,2.635066,2.7203
XXbac-BPG299F13.14,5.912775,6.0461,4.075476,4.1961
AC008079.10,3.767047,3.7772,8.47914,8.4897
RLIMP1,0.782689,1.0,5.200214,5.2095
RP13-977J11.6,0.472774,0.0,5.00319,5.0875
LINC01127,9.356807,9.7347,4.348954,4.3219
RPS6P16,0.487195,0.0,5.115791,5.202
VNN2,14.635476,14.8625,7.972132,8.0389
RCN3,9.122365,9.1267,6.213218,6.7279
RP11-1102P22.3,0.829939,0.0,6.331167,6.375
RP11-298C2.1,0.064555,0.0,4.435389,4.5236
NRAP,4.285314,4.3219,0.058786,0.0
ULK4P1,2.550232,2.9467,7.287188,7.3744
RP11-144O23.22,0.064555,0.0,5.079431,5.1699
MGA,7.717347,7.7944,12.247935,12.3955
ZNF850,3.782433,3.8074,9.299345,9.3641
BIRC6-AS2,0.409848,0.0,4.762994,4.9069
RP11-115H15.2,0.214146,0.0,4.662268,4.7549
RP11-357H14.16,0.291355,0.0,4.55326,4.4653
MYH7,6.960091,7.0125,0.213928,0.0
ANKRD1,3.427206,3.4594,0.858623,1.0
RP11-362F19.1,4.850217,5.0444,2.129986,1.585
ARHGAP23,4.843543,4.7549,9.747962,9.9593
S100A12,13.518999,13.5881,7.359991,7.8826
PLP1,4.558751,4.8074,2.773406,2.8074
DNM1P47,2.446913,2.585,7.79234,7.8918
RP11-356C4.6,4.353164,4.3903,2.014925,1.9598
DUTP2,0.145682,0.0,5.200935,5.2479
MMP8,11.014161,10.9643,5.723182,5.7004
RIMKLBP2,0.859599,1.0,6.219928,6.3576
LLNLF-158E9.1,0.392854,0.0,5.578956,6.0
ECHDC3,8.102272,8.2336,5.50025,5.7279
RPL7P1,5.099959,5.1064,9.712676,9.7143
