"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CXCR1",-11.0562537974693,10.6841021881581,-88.02734631249,7.46281632890221e-311,3.71640790363001e-306,702.254831513845
"HNRNPA1P14",5.15440504360239,1.96874088304738,86.9527044813768,2.18834831320187e-308,5.448877882457e-304,696.595098520533
"RP11-201O14.1",4.91554346122705,1.85481471226153,79.4935889166659,7.48990691929205e-290,1.24329958224608e-285,654.054764718481
"ZDHHC18",-4.32353268519985,11.6665022017814,-78.9525311578238,2.2673698418432e-288,2.82281876884874e-284,650.653906102035
"R3HDM4",-4.35590535904412,12.8636800336729,-77.5942796338594,8.11214260529894e-285,8.07953179202564e-281,642.493384969224
"SHMT1P1",4.62653418872171,1.69091481345763,76.8985154995822,4.70634129832064e-283,3.90618483858449e-279,638.443215858064
"NANOGP5",4.62309081376264,1.74628383892657,76.7691885607276,1.03876100148067e-282,7.38989415896227e-279,637.653524574271
"AC011558.5",-9.09375379747162,6.22424845951557,-75.8001066598647,4.83680964725041e-280,3.01085354529279e-276,631.525365805674
"RP4-742J24.2",4.70145213239118,1.71577705578086,75.4475168089918,3.61831158600292e-279,2.00209220745955e-275,629.517931282968
"RP11-82O19.2",5.85205036204966,2.47912829433083,75.1888813696091,1.98933528496018e-278,9.90669078557318e-275,627.817620498479
"CTD-2349P21.5",4.95160357535367,1.88060778380515,74.8583725332637,1.42993335160262e-277,6.47356827058715e-274,625.849879592794
"RP11-305O6.3",6.91685668375781,2.60680169940575,74.5081145464231,1.5217869645046e-276,6.31528908711373e-273,623.490545388509
"KCNJ15",-9.33546233479067,8.92932326726229,-72.6886452876955,1.56552734333648e-271,5.99705355160105e-268,611.975013971025
"ZMYM4",2.82414938824075,9.37652626874279,72.5336390543396,3.67752005948602e-271,1.3081201531596e-267,611.122793213473
"RP11-264L1.2",5.34440293971806,2.05466337927195,72.0017010015174,1.18587590250903e-269,3.93702893793649e-266,607.656704843137
"RREB1",3.25212999276461,10.3840857590029,70.0557951619009,4.30180130443232e-264,1.33890876974641e-260,594.880774880166
"CCNJL",-8.42571442376814,7.91017011435907,-69.9472433128394,8.81501508666426e-264,2.58222903706349e-260,594.164716276603
"CDK6",6.04691327637039,10.3512517442971,69.5766262258538,1.02791235224784e-262,2.84383373497724e-259,591.713090979162
"SOGA1",4.26899564427533,8.46963238837627,69.4762936697977,2.00230828093748e-262,5.24805000433713e-259,591.047560101341
"CTD-2349P21.6",3.91368400909356,1.39173379321345,69.3833567317667,3.17010168165232e-262,7.89339468223019e-259,590.588851994645
"RPL7P7",4.21305139292166,1.53323653119491,69.3643194829643,3.59862654002758e-262,8.53371443175397e-259,590.462297403248
"RP1-308E4.1",2.93131801437883,1.03204343750575,68.758347183829,2.06665558525639e-260,4.67806279500831e-257,586.419113158196
"CTC-820M8.1",5.03052349760184,1.98186904015039,68.6835873976148,3.64176697556351e-260,7.88505885287336e-257,585.853633815254
"RP11-474B12.1",4.50860994340427,1.80652644118857,68.2313096951212,7.22393232364844e-259,1.49893585743904e-255,582.871354242209
"RP11-270M14.1",3.22008928448974,1.14360521986959,68.003950636345,3.33273016404093e-258,6.63866517756298e-255,581.345026857165
"LLNLF-173C4.2",-8.83699391807243,9.86604670802035,-67.8891789745941,8.46567591313797e-258,1.62146997999368e-254,580.414525623279
