Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
NCAPG,3.49926,3.5122,7.620325,7.7145
OGDHL,10.91969,11.3365,8.92071,9.058
KRT1,5.773757,6.1699,1.499661,1.0
CALB2,9.619883,9.5943,7.362124,7.3576
HOOK1,8.354612,8.7482,6.028507,5.9069
LA16c-329F2.1,5.295368,5.4594,2.594974,2.585
WIF1,8.965188,9.5255,5.560671,5.2095
RNF185-AS1,1.736994,1.384,5.517237,6.0987
HLA-DRB6,2.711767,2.6017,6.668671,6.761
FPR3,3.001274,2.8074,6.908726,7.0875
ZCCHC12,9.631123,9.9024,7.396587,7.3663
C1QTNF4,9.721686,10.0293,7.442512,7.4838
MARVELD3,3.61692,3.6288,7.704715,7.9994
PBK,1.586636,1.585,7.540884,7.6935
DLGAP5,0.857173,1.0,5.913868,5.9773
TTK,2.427703,2.585,6.464339,6.4594
TLX1NB,0.035503,0.0,3.405251,3.3219
NEURL1,11.024066,11.5135,8.654921,8.7039
TMSB15A,2.949815,3.0,6.9477,7.0112
PTPRZ1,12.247752,12.454,16.329197,16.3301
C21orf62,3.794129,3.5336,8.609205,8.7461
BEGAIN,10.358809,10.6053,8.248551,8.2327
TFAP2A-AS1,1.694593,1.585,6.00777,6.3923
CKM,6.224034,6.2288,2.008836,2.0
ACTA1,7.121587,7.1898,3.933153,4.0
UNC13C,10.312687,10.6689,7.385433,7.3837
CCDC178,2.203578,2.3219,6.030373,6.3219
CENPA,1.374335,1.585,5.279227,5.1699
HNRNPA1P4,0.360993,0.0,4.52838,4.6235
GOLGA6L2,0.506742,0.0,4.041545,4.0875
CENPF,4.67218,4.585,9.486769,9.3309
TOP2A,2.778007,2.585,9.772974,9.9307
RP4-738P15.6,6.315213,6.8025,3.523895,4.1052
GRHL3,3.563673,3.4594,8.166201,8.5236
GSC,0.51474,0.0,5.226289,5.5236
OR4N2,0.220488,0.0,3.913631,3.4463
CACNA1B,10.555046,10.8033,8.496576,8.7279
KRT4,3.817947,4.8074,0.359537,0.0
EIF5AP4,0.552997,0.0,5.899983,5.947
CORO6,10.654319,11.0077,8.018793,7.96
CTA-929C8.8,3.941774,3.4594,1.162027,1.0
AMY2A,5.630157,5.998,2.606609,2.8914
CTD-2396E7.10,7.290493,7.4319,4.748152,5.2581
BMPR1APS2,0.842682,0.0,5.554936,6.1443
MYC,6.350552,6.3219,11.265012,11.395
CDCA2,1.736484,1.585,5.681199,5.5236
UBD,1.87907,1.585,6.285452,6.1898
CLEC4G,5.839956,5.8826,3.380714,3.3219
RP11-734K23.9,9.161268,9.6007,6.740897,7.3988
F5,4.174174,4.1699,8.568538,8.5196
RP11-1026M7.2,5.145244,5.6082,2.569017,2.3219
TTR,5.553292,4.9542,1.271723,1.0
KRT13,4.86364,6.0444,1.007579,0.0
SOWAHA,10.924428,10.9737,8.460528,8.3531
SNAP25,14.421007,14.9076,12.803359,12.8842
ABCA10,6.68777,6.5099,4.334112,4.3284
MMP2,6.923112,7.0553,11.135581,11.0768
CES4A,10.426488,10.5917,7.156852,7.1044
NDC80,1.650161,1.585,6.869525,6.7944
RP11-316N24.2,4.404369,4.3219,1.70675,1.585
SFRP2,6.278256,6.2288,10.764528,11.4833
RP11-766N7.3,6.259405,6.585,3.866409,3.7004
AC005943.2,2.57927,2.5583,7.203581,8.2182
MYH2,4.080823,4.1135,0.392228,0.0
HPCA,11.347722,11.413,9.192127,9.3815
RNF144A-AS1,7.905149,8.1447,4.962747,4.8074
RP11-439M11.1,4.515102,4.7549,1.340406,1.0
BCHE,7.37581,7.4919,11.948272,12.0116
TSPAN19,5.007181,5.0444,2.470808,2.585
RPE65,3.420132,3.3219,8.426946,8.5118
KRT14,4.901523,5.1293,1.606712,1.0
PAPL,6.068457,5.8826,3.188464,3.0
AIFM3,10.980854,11.2203,8.936283,8.9798
CCDC64,9.519641,9.6511,7.497275,7.6653
KCNT1,10.804899,11.1517,7.866316,8.0279
PRL,3.245386,3.4594,0.224353,0.0
NEIL3,0.640642,0.0,4.670926,4.6439
RP11-496I9.1,6.418704,6.0217,3.375701,3.4594
MDFI,6.08676,6.3576,10.856253,11.2438
GTSE1,3.164472,3.1699,7.213862,7.1497
SYNPR,10.950517,11.3015,8.020584,8.1699
RP11-320H14.1,7.55756,8.1649,5.170939,5.2479
RP11-491F9.3,4.597087,3.4594,1.462214,1.585
DES,7.740081,7.7004,4.442899,4.1699
TSHR,3.217916,3.0,7.332858,7.5546
PCP4,10.383,10.1523,7.353823,7.0875
FAM111B,1.14556,1.0,6.370812,6.4919
TGIF2-C20orf24,0.916165,0.0,4.849532,5.4529
CYP4Z1,4.060619,4.2479,1.305675,1.0
GNG3,11.45493,11.7582,9.331992,9.3151
MTND4P12,4.499734,4.393,9.035598,10.9201
RRM2,2.11375,2.0,8.05631,8.2381
CHI3L2,5.052178,4.7549,9.311534,9.2597
CRABP1,7.55333,7.3308,4.605894,4.5236
FERMT1,6.653824,6.8826,11.308486,11.7591
GLS2,9.2291,9.6955,6.480533,6.2944
MYL2,5.066405,5.0875,0.368083,0.0
ECHDC2,10.806756,10.7674,8.803681,8.6511
GRIN1,12.853803,13.4179,10.728006,10.9723
RLTPR,9.863871,10.2633,7.795138,7.7074
AC009065.4,0.014283,0.0,5.887364,5.8982
ZDHHC8P1,8.789076,9.0498,6.065262,6.1699
SIX3-AS1,4.493113,4.0875,1.433963,1.0
MEG9,7.40512,7.6221,4.685783,4.8074
SLC14A2,1.630946,1.585,5.23057,5.0
NEUROD4,0.546726,0.0,4.474812,4.6439
NMB,6.73015,6.6147,11.850275,12.0495
NUDT4P1,3.155156,3.211,7.36869,7.7133
WARS2-IT1,1.053932,1.0,5.225022,5.4263
AC004603.4,5.016604,5.0875,2.188473,2.0
SOX4,8.281259,8.2761,13.200849,13.4944
RAB26,10.20704,10.4294,8.160811,8.0821
