"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000219928.2",7.22278537001801,2.61428350069922,205.059260372212,0,0,2701.97859269595
"ENSG00000279473.1",5.35223623100913,1.70115991304502,184.483018110928,0,0,2535.13934462433
"ENSG00000229237.2",3.30387460357472,1.10354016748652,123.077979344831,0,0,1912.70767754844
"ENSG00000240854.1",3.38842757555859,1.26016743312499,116.008275185776,0,0,1824.92114333134
"ENSG00000234743.1",4.76048004348221,2.10787701023119,112.098319290736,0,0,1774.53866981788
"ENSG00000204253.4",3.78864702326637,5.54984959222929,106.054486219079,0,0,1693.93457755336
"ENSG00000206228.4",3.6832965482626,1.58708989181626,95.0162764806302,0,0,1537.49825192662
"ENSG00000234645.3",3.0156694400199,1.30481766888305,88.4851157984357,0,0,1438.85406580995
"ENSG00000234042.1",2.63786775299677,0.980189813810518,86.0099280756417,0,0,1400.21131253924
"ENSG00000249264.1",4.32239082121058,3.05096299032316,84.8282304723454,0,0,1381.43200014864
"ENSG00000214199.3",4.13134021815103,3.09012959687487,82.1353767390029,0,0,1338.20634341
"ENSG00000238249.2",2.53069220948198,0.86772816881813,79.7645577637664,0,0,1299.50244279858
"ENSG00000235734.4",2.42739305629805,0.917003727615886,79.580173633255,0,0,1296.45790224376
"ENSG00000210127.1",3.94463938973737,1.89887682229305,77.69277780338,0,0,1264.98504373746
"ENSG00000235776.2",3.71693767256127,2.79957462675711,77.6795084184647,0,0,1264.78328269927
"ENSG00000244538.1",2.56139376389086,1.03152155745813,76.9692171094806,0,0,1252.89898813615
"ENSG00000248569.1",3.51775832454767,2.34114580928649,75.2394378486919,0,0,1223.53733720695
"ENSG00000236058.3",3.65454172082038,2.25839956493305,75.0548554265094,0,0,1220.36806081438
"ENSG00000254726.2",3.78012312070038,7.55057745101439,73.6754348281855,0,0,1196.68273161106
"ENSG00000177839.6",3.16100273741713,7.03133755440519,73.2112771980546,0,0,1188.66165616907
"ENSG00000216866.5",3.93480105653256,3.14791642677007,73.0306133260712,0,0,1185.53232939217
"ENSG00000268222.1",2.23068848884666,0.788322932016658,72.9648043176075,0,0,1184.45361340405
