"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-40C6.2",7.22163133330394,2.6143417435921,204.974680217188,0,0,2702.1645388845
"AC009065.4",5.3512534970678,1.70124614591861,184.355536263677,0,0,2534.81261562111
"HMGN1P37",3.30402302631482,1.10406414565174,123.040750483728,0,0,1912.74913481396
"RP11-64K7.1",3.38863888452295,1.26068152626631,116.051210988584,0,0,1825.92572054802
"EIF5AP4",4.7599412147481,2.10785685477693,112.16783516858,0,0,1775.88692079232
"HNRNPCP2",3.78812490791482,5.54999527151203,106.2902809808,0,0,1697.55306171442
"HNRNPA1P4",3.68306599218011,1.58725446461127,95.0469538464682,0,0,1538.30096859697
"YWHAEP5",3.01590667328252,1.30541938641798,88.5389722914086,0,0,1440.00238211775
"RP11-452D2.2",2.63845808432571,0.980905197518851,85.9910620296182,0,0,1400.2154860147
"EEF1A1P9",4.32186832388255,3.0506128945094,84.8970622322746,0,0,1382.81626248783
"EEF1A1P12",4.13096692901903,3.08973360745989,82.2051173567961,0,0,1339.6217625987
"HMGN2P17",2.53135878721546,0.868421969098936,79.7662252680063,0,0,1299.7971111399
"HMGN1P36",2.42816223680984,0.917721731208035,79.5856743851267,0,0,1296.81494405142
"AC000089.3",3.71660463791936,2.79943831365879,77.7499619236546,0,0,1266.23080597853
"MT-TA",3.94442807842126,1.89916531682165,77.7406836227404,0,0,1266.02379883799
"RP11-10G12.1",2.5621172826289,1.03213119813694,77.0025538875465,0,0,1253.71226288133
"CTC-512J14.5",3.51778573440546,2.34109656857609,75.3007011196596,0,0,1224.83712778405
"RP11-215A21.2",3.65450194191377,2.25834851855019,75.1182501483695,0,0,1221.70091760745
"MEX3A",3.77904738044269,7.55137376740461,73.7753774204951,0,0,1198.62224165724
"PCDHB9",3.15991237630346,7.0319696838296,73.345209324237,0,0,1191.19261318677
"RPS2P55",3.93451937977216,3.14754356525504,73.1018385861942,0,0,1186.97899543947
"EEF1A1P7",2.23136234979805,0.78896961692043,72.9531731342522,0,0,1184.48120199273
"CPXM1",5.81321532307442,6.06646894581005,72.8980123485585,0,0,1183.44433044396
"GSC",4.25151918754597,1.82795247888075,70.20781436371,0,0,1136.30415869613
"DTL",4.17019890399529,4.08357894970044,69.7250114987995,0,0,1127.74794471414
"RP11-424C20.2",4.58681048972938,3.08056196368571,69.3201774907337,0,0,1120.55095473428
"RP4-791C19.1",3.13019942991952,1.389137845552,69.0985953531398,0,0,1116.6190948169
"EEF1A1P16",2.28148162416324,0.796135644633349,69.0883456955815,0,0,1116.49276817959
"PBK",5.23956942035302,3.27109335578325,69.027363514087,0,0,1115.33260875047
"TOP2A",6.06249815092257,4.81624885373415,68.0990995878643,0,0,1098.71867265234
"F2R",4.95984592217918,7.10204377264947,67.7764997434927,0,0,1092.91957571462
"CHCHD3P3",2.57409095553858,1.3235124976045,67.5608937712678,0,0,1089.10616787055
"MYL2",-5.01180784814667,3.71053080854056,-66.9864487806403,0,0,1078.66261060375
"RPL10P3",2.54395630961626,1.01878359923425,66.8129117640554,0,0,1075.56929976481
"CES4A",-4.23728922440068,9.44990233215011,-66.8133885024535,0,0,1075.52923353715
"RP11-464D20.2",3.39587563401719,2.7247615521453,66.4990800430113,0,0,1069.83808117614
"KIFC1",4.17711937194757,4.55602055454561,65.3609029757748,0,0,1049.08420047993
"UHRF1",4.11881554653574,7.44900610272509,64.9580880742018,0,0,1041.70395612846
"SOX4",3.71092660039506,9.78345690385737,64.3974740446506,0,0,1031.3992698903
"DNAJA4",-3.18517612825515,11.2224007105539,-64.1391693626992,0,0,1026.63834966931
"RPLP0P6",2.89229529440573,6.51397018741742,64.1248980293732,0,0,1026.37507019579
"NDC80",4.54325300497301,3.13054772414932,63.9033065133311,0,0,1022.28391805234
"EEF1A1P19",2.79650227879471,3.89294897422363,63.7791829318027,0,0,1020.05214457296
"UBE2D3P2",2.01526381740292,0.772777521886963,63.6870477955724,0,0,1018.34775161137
"TBCAP1",2.64584459499894,1.45766952961147,63.450296537854,0,0,1013.95397526041
"MKI67",5.50363581866995,4.75328168495088,63.131202978109,0,0,1007.98201803573
"E2F2",4.56296580820726,2.90477928721659,62.4042650623983,0,0,994.450508757655
"BMP2",4.13764222399823,7.44276906515082,62.3248686265119,0,0,992.96872181995
"MT-TC",3.08320493995155,1.26120545879469,62.2127302954694,0,0,990.874574043895
"RRM2",5.15908575620496,3.80843793066701,62.1129015115774,0,0,989.00902950187
