Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
NCAPG,3.49926,3.5122,9.563343,9.74435
HLA-DRB1,8.325443,8.3369,12.785559,12.9248
RP1-269M15.3,5.808273,6.1699,3.063083,3.1699
HSPE1-MOB4,3.477138,4.1185,7.836992,8.0089
KLK10,4.811977,4.8074,1.959183,2.0
JAKMIP3,9.659636,9.8026,6.031396,6.2668
OGDHL,10.91969,11.3365,7.56954,7.633
CYP2E1,8.139604,8.2723,5.12733,5.2095
PWAR6,11.904751,12.136,9.034177,9.15225
RP11-254A24.2,4.721679,5.0,0.929357,1.0
PRKG2,5.994182,6.3219,3.141861,2.8074
MTND2P28,14.238179,14.45,11.533536,11.6314
ESM1,1.954276,1.585,8.065794,8.3576
CA10,10.017674,10.0375,7.165928,7.27085
CLCA4,6.667193,6.7944,3.70078,3.39065
RP13-616I3.1,6.06117,6.2479,3.250426,3.3219
LA16c-329F2.1,5.295368,5.4594,1.306196,1.0
FCGR2B,4.359556,4.3154,8.77873,8.7482
XKR5,0.77518,0.0,3.980844,3.94745
HOXC13,0.240407,0.0,4.711103,4.94665
EVPL,4.85299,4.9069,1.835412,1.585
EN1,1.635825,1.0,7.119734,7.8611
RP11-953B20.1,5.040758,5.1699,1.515301,1.0
RP11-597D13.7,7.002397,7.0977,4.085232,4.19615
KRT1,5.773757,6.1699,0.965134,1.0
TUBB4A,14.200733,14.3595,11.730971,11.8872
CALB2,9.619883,9.5943,6.0878,6.1699
HOOK1,8.354612,8.7482,4.228364,4.1699
SLPI,3.793474,3.7004,8.140488,8.09005
GPR6,4.975904,4.9069,1.224668,1.0
LYZ,5.886701,5.8965,10.383374,10.41727
WIF1,8.965188,9.5255,4.177688,3.7004
PRB2,4.090001,4.862,0.725184,0.0
PRRT2,11.941452,12.2669,9.332117,9.3038
HS3ST3A1,1.888262,1.7137,5.365204,5.4641
F2RL2,2.383054,2.0,6.452093,6.3122
AJAP1,9.491548,9.66,6.633147,6.4919
CXCL8,4.871691,4.585,9.425724,9.55355
VCAM1,6.326424,6.4263,10.842832,11.17955
NR5A2,1.899744,1.585,6.410903,6.5314
CENPE,4.422149,4.6439,8.374372,8.5294
RP11-830F9.5,4.455581,4.1787,1.179604,1.0036
KRT6A,3.879355,4.2817,0.63505,0.0
NKX3-2,0.646708,0.0,4.908975,5.0222
CACNG2,6.882746,6.9307,3.164313,3.0
STRA6,2.958589,3.0,6.92241,6.8642
CMTM3,7.529659,7.5622,11.593778,11.753
TUBA1C,8.043903,7.9964,12.60236,12.74445
PBK,1.586636,1.585,9.754176,10.0063
LY86,5.534471,5.585,9.550948,9.62845
RP11-1406H17.1,4.473253,4.858,1.292177,1.0
TREM1,2.922244,2.8074,8.199004,8.2069
DGKE,9.596178,9.6987,6.607669,6.58873
RP11-100M12.3,4.452499,5.3441,1.309859,0.97085
KLK7,5.641321,5.4919,2.18718,1.585
BSN,11.510984,11.8553,9.168535,9.18355
GLT1D1,8.729899,9.0901,5.718948,5.61445
SCN2B,10.966389,11.3106,7.712356,7.8138
NEK2,2.841201,2.585,8.382919,8.54875
FPR3,3.001274,2.8074,8.541599,8.633
GAS2L3,3.79781,3.8074,8.866001,8.97285
FREM2,5.790537,5.9773,9.592684,9.58685
BRCA2,3.622154,3.7004,7.506678,7.5157
WSCD2,9.652956,9.8025,4.723855,4.9771
C1QTNF4,9.721686,10.0293,6.168642,6.3394
ADAMTS12,3.508442,3.3219,7.346109,7.44705
DLGAP5,0.857173,1.0,8.650477,8.8872
S100A3,2.643148,2.585,6.908673,6.9658
HOXA1,0.662589,0.0,5.620273,5.8826
SFTPD-AS1,3.986849,4.2133,1.074437,1.0
CDH7,6.633645,6.9069,3.710685,3.8074
CTSC,7.606556,7.6865,11.52451,11.5206
TNFSF12-TNFSF13,1.847832,0.0,6.159974,6.9142
PTX3,4.6373,4.585,9.603067,9.77065
PLIN4,8.463328,8.5622,5.637738,5.7269
FCGBP,7.555372,7.4263,13.721806,13.9446
ACVR1C,7.787023,7.7748,4.965115,4.858
TTK,2.427703,2.585,8.447237,8.63665
DYNC1I1,10.744542,11.032,8.323857,8.3923
DPEP1,1.858293,1.585,7.355254,7.3663
MACC1,1.460383,1.585,5.258787,5.2761
CSMD3,8.129203,8.2621,5.503434,5.1897
FBP1,4.45918,4.4594,8.241042,8.4114
CENPA,1.374335,1.585,7.871282,8.02095
PCLO,10.711851,10.7781,6.96944,7.21915
RGS11,11.689155,11.5809,8.390245,8.5285
ST14,5.100772,5.1699,9.041183,9.171
KCNIP2,11.103996,11.2222,7.863703,7.9715
DMTN,12.406473,12.5744,9.872206,9.847056
CENPF,4.67218,4.585,10.551785,10.73805
NDST3,7.588572,8.1241,3.742324,3.585
BEGAIN,10.358809,10.6053,7.803531,8.0559
C21orf62,3.794129,3.5336,10.194939,10.609369
NEFL,11.8494,11.9809,8.32591,8.584914
SLC32A1,8.223469,8.6184,5.04652,5.507
HHATL,10.588661,10.7465,7.860887,7.8557
CXCL9,2.17299,2.0,6.771363,6.8392
H19,5.600822,5.6439,9.840059,9.90075
