"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NEIL3",5.91938134619074,1.33709796686211,87.1676614988854,0,0,1243.95395345522
"DLGAP5",7.16699567476975,1.70956620742039,85.4023436633593,0,0,1221.25688308179
"HOXD10",6.23729435408462,1.03065767203114,82.6144480735421,0,0,1184.78423890909
"MYBL2",7.5804599787586,2.97372225545231,81.2477443029416,0,0,1166.59470393643
"PBK",7.5225474384928,2.49195035148391,80.9335525869086,0,0,1162.3838512363
"HOXD11",5.67459291082953,0.820619417854703,77.044613464969,0,0,1109.3407446539
"RRM2",8.03619325449074,3.09932278295134,76.9754894415472,0,0,1108.3822645669
"DTL",5.72526397385979,3.36958196990243,76.8425446544904,0,0,1106.57674266036
"RP11-347E10.1",4.45080714657552,0.745285305128239,75.9321630655379,0,0,1093.84790246548
"FOXM1",4.91137536057246,5.98459246296857,75.8025946774794,0,0,1092.08301830387
"KIF20A",6.98532810716767,2.38285636352539,74.2095916231318,0,0,1069.57168051279
"MELK",6.96980096278628,2.21874924171724,73.8159843919097,0,0,1063.97527158508
"TOP2A",8.33961304446964,3.83765744585258,73.2431816561432,0,0,1055.798010019
"AURKB",6.91966735626146,2.09596617121784,73.0763185859675,0,0,1053.40851238958
"GSC",5.17437733572523,1.1153281148455,72.2691261977035,0,0,1041.80222099257
"E2F8",5.52100667291234,1.55725797405207,72.0625709415977,0,0,1038.81963732569
"NDC80",6.5788780759844,2.44700086824759,71.8359559512881,0,0,1035.54146900579
"ASF1B",6.10081021824768,3.47698016441065,71.4994941114464,0,0,1030.66281294493
"NUSAP1",5.20996353843744,5.49807381038226,70.0802568243994,0,0,1009.93256866412
"FOXD3-AS1",5.78401668761187,1.21268877564938,70.0610312508519,0,0,1009.65006044336
"UBE2C",7.5272368777044,2.77447158073652,70.0137103042761,0,0,1008.9545148504
"KIFC1",5.7217308451672,3.82654747871223,69.7415012436963,0,0,1004.94812894611
"HJURP",6.4981897458873,2.55662863867267,67.4318441148369,0,0,970.587312084118
"RP11-698N11.2",5.28963675036717,1.32836717503782,67.0426299086499,0,0,964.73194959847
"IGF2BP3",6.61973579008022,2.20577450537988,66.8921252550465,0,0,962.462698280298
"CENPA",5.92280369385756,2.08361080804607,66.727889080184,0,0,959.983191573235
"CCNB2",5.62282387992394,3.91395967179736,66.6285925067201,0,0,958.482461815016
"KIF2C",4.52125720261246,4.98763773523959,66.5847739890323,0,0,957.866809062583
"FAM64A",5.98616307277845,3.81357213705232,66.3687638219464,0,0,954.549698328496
"CDK1",5.42006137106332,4.49978578667444,66.093351319498,0,0,950.371866436107
"CDC45",5.57903625158915,2.90348095902449,65.5689824439434,0,0,942.391342464577
"CASC5",5.40278128288788,3.10970993411506,65.2570891285471,0,0,937.628243395547
"TTK",5.40342396473969,3.06894536071381,64.9795050850131,0,0,933.378861816234
"CDCA8",3.66414382055343,5.33374303223353,64.8697292217356,0,0,931.773663779376
"SGOL1",5.65027085900651,2.07608056736094,63.6847851149123,0,0,913.431137933352
"TROAP",6.09517989204611,2.7759357580772,63.6418932039298,0,0,912.766704202166
"CTD-2510F5.4",3.44679166697746,0.864086950829083,63.5793183403127,0,0,911.856313368175
"HOXD13",5.50885938914066,0.810546398975695,63.1919806176277,0,0,905.783239628367
"ADAMDEC1",5.30406631112395,1.25531640233837,62.9980109130799,0,0,902.76463326592
"CHRNA9",5.89994434557333,1.48717023734848,62.9873268080459,0,0,902.59822715834
"CKAP2L",5.74239071906837,2.9924990097838,62.9339185912815,0,0,901.766173338753
"E2F2",5.95756530089172,2.14623713851321,62.8678286267933,0,0,900.736052836647
"DDIAS",4.14009959540666,3.83088033586572,61.7874969738723,0,0,883.891106141922
"CDCA2",5.44213255642531,2.38211231435492,61.3614264828667,0,0,877.107533131468
"ESCO2",5.56906728883146,2.46705485114701,60.8509003167455,0,0,869.035088103503
"HOXA10",6.14975232756299,1.78157514196424,60.7485028768197,0,0,867.412042737646
"TPX2",4.57823526272798,6.24437068030182,60.7441816017229,0,0,867.34351967998
"KIF23",4.48833249580532,4.38512486722728,60.6420815171878,0,0,865.737042951636
"GTSE1",4.98831222918675,3.78614987048595,60.5431930209257,0,0,864.153829787964
"HOXD9",5.50248284166452,1.251126535676,59.9265356566923,0,0,854.335897654369
