Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
NCAPG,4.623797,4.48665,9.985409,10.002532
CLPSL2,1.088594,0.0,4.915389,5.1699
RP11-106M3.2,7.322573,7.46065,4.497415,4.641
IGHGP,2.424482,2.2668,9.113872,9.0357
AP000439.3,0.862175,0.0,4.820651,5.2479
CTD-2224J9.8,5.270086,5.23245,2.101312,2.1763
DEFA1,4.008024,3.8444,0.489866,0.0
TNNT1,4.696381,4.6439,8.77002,9.3794
HOXC13,1.951231,1.585,8.298113,8.9416
ADIRF-AS1,10.446803,10.4825,7.958461,8.0263
RP5-940J5.9,0.616398,0.0,6.473767,7.4957
CLEC3A,0.668481,0.0,5.889742,4.1699
FAM207BP,1.316106,1.20775,4.537621,4.5934
RMI2,4.769225,4.78115,9.571831,9.5887
AC006547.14,5.475453,5.5546,2.890218,2.8074
CAPN3,9.388737,9.45145,6.849236,6.8726
RAD54L,4.039506,3.9923,8.497671,8.522
MYH7,6.546163,6.7239,1.211058,1.0
IGHV3-43,1.807535,1.0,4.946968,4.9069
KRT1,6.313994,6.5312,3.041334,2.8074
FMO2,11.878889,12.00595,8.767776,8.9248
HOOK1,7.086156,8.2923,11.215015,11.3112
AKR1C2,11.414133,11.68745,7.958709,7.7771
TPO,8.939389,9.07815,5.945894,6.2668
S100A12,4.365931,4.4915,1.793527,1.585
WIF1,7.173031,7.63665,3.780424,3.0
CRB3,4.98159,6.2093,9.543999,9.6257
PAX3,5.632304,5.8074,2.885228,2.8074
PKMYT1,4.455118,4.47215,10.019322,10.1215
ESM1,3.419675,3.3219,8.742002,8.7482
MT1A,8.263617,8.3728,4.501238,4.3923
ADAMTSL4,11.728002,11.83365,8.847163,8.8541
LINC00982,6.564548,6.5698,3.337581,3.3219
CDO1,10.051816,9.8849,6.920876,6.9425
IGHV3-21,3.943306,3.8056,7.648126,7.7371
SPDEF,8.184976,9.6357,12.42839,13.2133
KIAA1324,9.174385,11.06945,14.004351,14.3077
RP11-57A19.2,1.097037,1.0,5.473005,5.4263
ADAMTS9-AS2,7.333034,7.3399,3.799606,3.7004
RNF112,6.977281,6.9412,4.266588,4.2479
ALDH3A1,6.383635,6.3922,3.863801,3.678045
NEK2,2.617342,2.585,10.120343,10.2644
CENPE,5.099393,5.0444,9.771062,9.8345
RIPPLY3,1.516763,1.585,6.474108,6.6294
TIMP4,11.059643,11.54985,6.23366,6.2095
AC129492.1,4.476794,4.68955,1.773853,0.0
FGF10,8.952333,8.92835,6.555419,6.3576
F2RL2,6.039459,6.5999,9.874985,10.3231
MARVELD3,6.38706,7.44145,10.282972,10.3019
LCAT,9.814916,9.8243,7.223937,7.2537
PBK,2.608531,2.585,9.254914,9.3197
FAM83H-AS1,5.952103,6.98795,11.221069,11.2574
AKR1C1,11.235642,11.3126,7.813779,7.7399
MMP11,6.796484,6.8658,13.662496,13.9249
RP3-325F22.5,2.793244,3.0,6.32846,6.3415
RP1-193H18.3,6.165919,6.4757,1.025597,0.0
PLP1,7.720703,7.5469,5.316282,5.2095
IGFN1,6.466866,6.4263,3.64973,3.585
AC005255.3,0.588267,0.0,3.823881,3.9449
HTR1D,1.083314,1.0,4.896212,4.858
LOC100421166,5.485597,5.6439,1.114071,1.0
ANKRD20A17P,5.397494,5.3473,2.741077,2.7719
ACE2,6.87079,6.5923,3.975024,3.585
CA4,9.711682,10.11,2.731807,2.3219
TMPRSS3,5.740583,7.3575,9.624949,10.0795
AC000036.4,3.40665,3.4594,0.722988,0.0
RP11-498C9.13,0.943245,0.0,4.977768,5.8839
C9orf152,5.908466,7.118,9.787321,10.470419
IGKV1-33,4.940471,5.2479,8.433691,8.6153
ITIH5,12.139046,12.10785,9.44153,9.3772
PTX3,9.522076,9.43565,5.868583,5.5236
IGLV3-21,4.255696,4.3571,7.793059,7.858
NUP210,8.375562,8.87955,12.681915,12.7446
DLGAP5,3.099513,3.0,9.527648,9.5812
CXCR2P1,2.077563,2.3219,5.427491,5.3923
TMPRSS4,1.799228,1.585,5.910622,5.7549
LIPE,12.749843,12.9228,9.075113,9.0553
HOXC13-AS,1.783521,1.0,5.877207,6.2668
LINC00961,8.051317,8.22875,5.325465,5.1699
MPZ,7.968278,7.6294,5.308338,5.0444
RBP7,11.030649,11.0954,8.622628,8.6653
ZNF300P1,7.652761,7.6366,5.264548,5.3576
FOXJ1,1.35724,1.585,5.660492,5.5236
NAPSB,5.071119,5.10155,8.676967,8.8361
FAM83A,2.568528,2.3219,6.051866,5.7004
DEPDC1,3.106951,3.1699,9.094991,9.1542
CCL11,0.880296,1.0,5.449258,5.6147
RPL12P38,0.632237,0.99275,4.202472,4.2608
PLIN4,14.081575,14.5664,9.594651,9.6795
IGLV3-1,3.960525,4.20425,7.645825,7.6461
MYOC,7.978297,8.03615,1.877617,1.585
TTK,3.933164,3.9069,9.308394,9.3219
ACVR1C,8.748288,9.01535,5.860434,5.8074
AOC4P,7.439758,7.55055,2.496452,2.441
RP11-574E24.3,7.129427,7.4567,1.540042,0.0
USHBP1,9.683954,9.7482,6.718432,6.7415
AADAC,5.776696,6.1395,1.976908,1.585
CXCL9,5.55354,5.3923,10.920976,10.8796
HHATL,4.615439,4.4915,1.410893,1.0
NCAPH,5.00042,4.93055,9.413336,9.4388
TEX26-AS1,4.491548,4.42945,1.35611,1.0
PNLIP,4.517885,5.2459,0.400514,0.0
ATP1A2,10.607583,10.8572,6.065058,6.2095
SLC25A27,9.949616,9.8948,6.51369,6.5546
SKA1,2.687521,2.585,8.310002,8.3354
BRIP1,5.063403,5.1699,8.952121,8.9629
MRGPRF-AS1,4.494762,4.7015,0.742178,0.0
CHST6,3.033269,3.101,6.538486,6.5392
AC012613.2,3.905042,3.8074,1.189159,1.0
RP11-481F24.3,4.163407,4.3923,1.463946,1.0
HNRNPA1P4,0.578362,0.0,4.68261,4.7393
ADH1A,4.888013,4.9063,1.439368,1.0215
AUNIP,3.217983,3.3219,7.507989,7.5314
CCDC178,6.578004,6.59245,3.920374,4.0
CENPA,3.650718,3.7004,8.156711,8.1864
F10,8.26712,8.31285,5.994207,6.0224
