"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000204253.4",3.66694101860532,8.24725156243628,89.6674654225062,0,0,1260.45660145956
"ENSG00000229237.2",4.98123074190683,4.52337439539083,77.8040276377858,0,0,1107.54865128898
"ENSG00000234743.1",5.7542528263562,6.00796683566651,75.1706117729208,0,0,1071.41257701169
"ENSG00000219928.2",6.73147169860552,6.64253905243711,68.875973534122,0,0,981.922194069235
"ENSG00000240854.1",4.21713021517217,3.79524461265355,67.9967444592008,0,0,969.110223476933
"ENSG00000117650.12",7.17287145538918,8.96352295748509,66.8319133705691,0,0,951.825702994266
"ENSG00000153902.13",-5.07490451927677,7.38001690036186,-63.1150136725824,0,0,895.76705633647
"ENSG00000206228.4",3.94558837577407,4.06576209809157,62.6117186173523,0,0,888.104556783305
"ENSG00000198618.5",2.68877833109829,11.5552041254558,62.5122708422555,0,0,886.513384231819
"ENSG00000251322.7",-3.91113545297943,10.6094137105694,-62.1565774409065,0,0,881.031155156476
"ENSG00000224126.2",6.06326116994807,5.94706790490816,62.105807606183,0,0,880.247353950753
"ENSG00000249264.1",3.52777143938464,6.30263043065845,59.5663310994955,0,0,840.685113519363
"ENSG00000229246.1",-3.73561341427785,0.789928577930549,-58.595916088841,0,0,825.27626554515
"ENSG00000117724.12",5.62679917161586,11.3300814625261,58.3604052570522,0,0,821.532546115034
"ENSG00000256508.2",-4.23268958693441,1.24449408087056,-58.1911606613979,0,0,818.83793836564
"ENSG00000166803.10",5.42593277525712,8.86242231973093,58.1508574847705,0,0,818.195730398504
"ENSG00000090889.11",6.03696170506863,9.21859400707749,57.9445453739991,0,0,814.905100555666
"ENSG00000129467.13",-4.33607637552329,9.28733306529154,-57.9267727981217,0,0,814.621384526541
"ENSG00000105011.8",4.88602145451237,9.46777536177472,57.428075115276,0,0,806.644334740132
"ENSG00000168078.9",6.31633692850572,8.21921476381732,57.0533084158999,0,0,800.629370775093
"ENSG00000158402.18",5.807604143926,7.07824024065737,56.9646820748694,0,0,799.204388456488
"ENSG00000159433.11",-3.82488957602468,8.98434280415792,-56.7916133980037,0,0,796.418900436147
"ENSG00000123500.9",9.10115523010287,10.6262868350939,56.7674144299732,0,0,796.02913087254
"ENSG00000269124.1",-2.74378301563965,0.447420962028405,-56.7516993634617,0,0,795.775971709719
"ENSG00000143476.17",5.21698658521191,9.49618561489674,56.359340103505,0,0,789.445467302465
"ENSG00000186642.15",-4.7700870416621,9.00314496339801,-56.3137893145018,0,0,788.70930308811
"ENSG00000260105.6",-5.55284509176889,3.23756707986678,-56.2817050984584,0,0,788.190624458515
"ENSG00000112984.11",6.15586029459682,9.26144066510103,56.1357444196064,0,0,785.829405321512
"ENSG00000235734.4",4.26603315726579,3.86498264868175,56.0598451460979,0,0,784.642361898073
"ENSG00000126787.12",6.03723773178177,8.53385845916359,55.9340689705278,0,0,782.56258478357
"ENSG00000230910.2",-5.35706109967526,1.99615952636894,-55.737656384374,0,0,779.376228561837
"ENSG00000214199.3",3.92361650726605,6.78618369674711,55.7113903287119,0,0,778.94976288845
"ENSG00000189057.10",6.12755018967559,8.94275695447372,55.3444022020488,0,0,772.982400728653
"ENSG00000214140.10",-4.16695422413531,4.69515467138434,-55.3273865970618,0,0,772.740774844589
"ENSG00000267361.1",-4.95861724807166,1.68955220376404,-55.1727831359639,0,0,770.18618435254
"ENSG00000165480.15",5.60639803288343,7.83867536927737,55.0971714447172,0,0,768.953095773161
"ENSG00000171848.13",6.04927146360416,10.1308481356913,54.7539044825303,0,0,763.346325004266
"ENSG00000165810.16",-6.74184496737201,8.49062168886135,-54.5224704664475,0,0,759.558145024578
"ENSG00000072571.19",5.34257520004938,8.49889132260927,54.5184584757346,0,0,759.492418625433
"ENSG00000171320.14",5.42493352026099,7.44096325475857,54.3459934361142,0,0,756.665179830586
"ENSG00000138160.5",4.39530700322905,10.0768143064074,54.2056029936497,0,0,754.361103579338
"ENSG00000258311.5",-3.53297105215337,6.82064950827583,-53.9454149921327,0,0,750.107510314348
"ENSG00000276043.4",5.13764692128422,9.95700327788542,53.9371233322498,0,0,749.948257307909
"ENSG00000131747.14",5.99195274081828,11.630632955639,53.7520142893604,0,0,746.900707031892
"ENSG00000187800.13",-3.98208494361756,8.76289679477537,-53.564662659578,0,0,743.812077692619
"ENSG00000169607.12",5.75609552585154,8.00106113270731,53.1063538057244,0,0,736.238962212432
"ENSG00000140400.14",-2.65655177632852,11.4146188148639,-53.0414926697063,0,0,735.165188346559
"ENSG00000148773.12",5.67115850619559,11.1293755221244,52.4570432209868,4.59481050632359e-321,4.92257365577468e-318,725.46736022259
"ENSG00000109046.14",-2.52867363411962,11.9837988040056,-52.3485166591553,2.80036408062819e-320,2.9388961351969e-317,723.662171419397
"ENSG00000184205.14",-2.84315146827639,10.7208176586843,-52.1895518376403,3.96349342406765e-319,4.07637373852398e-316,721.015539547566
