Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
FMO2,8.96671,8.9511,4.65438,4.3219
AP000892.6,11.4637,11.29035,8.937041,8.915
GJA4,9.42528,9.6624,7.120969,7.1699
IL32,7.59429,7.48485,12.975787,13.1508
RAET1K,0.2,0.0,4.547786,4.5154
ADGRG5,3.45663,4.0,7.9755,8.1344
ESM1,2.53932,2.3219,7.889474,8.1241
ADTRP,2.40725,2.3219,6.219417,6.0
EVX1,6.58956,6.6841,2.421199,2.0
MT1A,6.04384,5.3866,2.793549,2.3219
RP13-554M15.2,5.45606,5.47565,2.714379,2.8074
PKMYT1,3.63135,3.1001,11.604693,11.6178
RP11-452N17.1,3.78383,3.9161,7.905829,7.8657
EFCAB1,7.67246,7.86055,4.583965,4.4594
RP11-106M3.2,7.63032,8.21505,4.520068,4.757
NCAPG,3.83177,3.24255,11.050053,11.1111
TRABD2B,8.29634,8.3257,4.854464,4.858
RPRM,7.43869,8.0494,3.773126,3.585
TNNT1,2.21985,1.66095,10.044188,10.4273
HOXC13,0.6585,0.0,7.218021,8.0223
PHLDA2,6.54532,6.43815,10.364865,10.4263
EVPL,8.37867,6.9696,12.959485,13.0322
CENPH,6.56419,6.37495,10.253735,10.3242
AC003090.1,5.28995,5.3215,1.312427,1.0
RP4-592A1.2,2.4445,2.7851,5.974162,6.0259
PWAR6,8.6445,8.85865,5.37548,5.5236
ACOX2,8.97391,8.9688,5.117572,5.0875
C11orf85,1.12288,0.5,5.104573,5.5546
RP11-166D19.1,11.21829,11.6762,7.312299,7.3219
IGLC7,1.45245,1.0,5.407769,5.3923
MEF2C-AS1,4.57044,5.2708,1.532977,1.585
SERPINB3,6.98407,4.21435,13.002458,13.9883
IGHGP,2.26944,2.58375,9.62509,10.0081
FGFBP1,5.71731,3.08495,10.963169,11.5314
JAKMIP3,6.59964,6.92485,3.762894,3.585
IGLC3,6.99268,6.6809,11.958781,12.432
EN1,0.617,0.5,4.730684,4.6439
SLC7A11,4.09382,3.84255,8.497421,8.3174
RMI2,5.44122,5.21315,11.280876,11.3157
FAM207BP,0.78523,1.0839,4.656143,4.6882
GALNT16,8.59081,8.6529,5.598633,5.3923
RP5-940J5.9,0.0,0.0,7.265612,8.3251
MAGEE2,3.40176,3.7297,0.434835,0.0
RP13-616I3.1,1.89148,1.585,5.09041,5.2479
RAD54L,4.17095,3.88555,10.40723,10.4263
SLC18A2,8.26128,8.2558,4.549688,4.594
RP13-608F4.5,3.02928,2.3876,6.266232,6.2867
OGN,10.87038,11.6663,3.829586,3.3219
ADCY2,8.90772,8.8826,4.079903,3.7004
RGS20,2.94124,2.3219,6.312872,6.6865
LHX5,0.3585,0.0,3.831476,3.8074
PCDHGA2,7.93975,8.1243,3.857262,3.9616
POU6F1,10.19113,10.45295,7.686656,7.8074
CALML5,3.35059,1.585,9.733724,10.2021
B3GNT4,3.76158,3.7796,7.053844,7.0459
PLP1,8.34001,8.3354,2.251798,2.0
PAX5,1.07143,1.0,5.863598,6.0
DNM1P47,5.29624,5.2143,2.040153,2.0
LYZ,7.63863,8.01235,11.677623,11.748
NR2F1,11.42671,11.8344,8.306317,8.2479
C11orf53,1.434,1.585,5.228618,5.8329
WIF1,5.32676,4.929,2.631052,1.585
AP002954.3,4.5103,4.7618,1.340509,1.0
CRB3,4.19226,3.085,9.965912,9.9972
AKR1B15,2.17132,1.2925,6.611264,7.0556
MBL1P,5.84549,5.78445,2.903924,3.0
BPI,5.95995,6.47875,2.036311,2.0
RP13-514E23.1,5.37492,5.48615,2.416819,2.3219
LINC00950,7.29865,7.5689,4.468302,4.4594
SLPI,9.70936,7.0261,14.127695,14.3498
TIMP4,7.94926,8.38455,2.952687,2.8074
MAPK4,6.51188,6.6344,3.507109,2.8074
RP11-343H5.4,4.92411,4.89855,1.577035,1.0
IGDCC4,9.077,9.023,5.691225,5.6147
FTH1P7,4.99684,5.0182,8.421552,8.4003
ANXA3,7.49156,7.21905,11.314919,11.5231
AC009005.2,2.69771,2.9037,5.876945,5.9542
FGF10,9.05795,9.4,2.212219,2.0
PRRT2,10.82762,11.12395,6.287663,6.304
IGHV3-21,3.83452,3.48865,7.414692,7.6596
RP11-57A19.2,1.30949,1.2925,5.166454,5.3923
FXYD6,11.14733,11.78195,8.774404,8.5911
CXCL8,4.52845,4.0384,10.461412,10.4553
ANTXR2,11.69412,11.6786,9.592892,9.6475
CDKN2A-AS1,0.0,0.0,4.372862,4.5236
AJAP1,7.56645,8.4337,4.462577,4.1699
GBP5,6.42238,6.7247,10.399236,10.4231
LINC00982,5.7452,5.94245,2.993995,2.8074
CFB,8.68421,8.5228,12.585593,12.5904
CDO1,8.00397,8.65605,3.466843,3.4594
PCDH11X,5.89116,6.3733,1.139989,1.0
