"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRM1",-4.02444565075124,0.153764893717048,-68.8361218139543,3.16085494523347e-191,1.85166043546722e-186,422.186405480451
"PRM2",-4.6600273897912,0.177056114646618,-64.0804010786476,3.95721370151839e-182,1.15908767924324e-177,402.131042574616
"RP11-40C6.2",8.54051693383259,8.91659874683123,36.430613236485,1.14411741494939e-114,2.23411807617168e-110,250.636997644262
"HMGB4",-1.92831618036442,0.0753882907809332,-35.888742946281,5.06706460319017e-113,7.42084278798708e-109,246.898083970052
"MYBL2",10.1934835903808,12.3906401933317,34.4536410429127,1.37649293427387e-108,1.61272665165395e-104,236.821292142689
"DTL",7.27205516226306,10.9842821137663,32.8769696322444,1.36800038504843e-103,1.33564717594203e-99,225.453503384296
"DLGAP5",8.38248504231565,10.6387592231341,32.68623563305,5.61922475426551e-103,4.5543049510608e-99,224.056972782323
"NEK2",8.2630749220661,10.5586298054926,32.6725572175393,6.21949772255277e-103,4.5543049510608e-99,223.956643143025
"PNLIP",-6.80912592236967,0.336419408499202,-32.4840364269703,2.52520898264281e-102,1.6436585268022e-98,222.571435371676
"TPX2",7.71501151236012,12.5650829564122,32.3700575380806,5.90408285055387e-102,3.45867077468296e-98,221.731745742951
"CYP11B1",-5.14543606450285,0.36680579733322,-32.2849352510025,1.1145044748761e-101,5.93534424024698e-98,221.103562718612
"MELK",8.48075484998698,10.8034623071303,31.9378313736327,1.50075918663326e-100,7.32633115934692e-97,218.532427776641
"RRM2",8.81721513140775,12.6177105558075,31.4263925257873,7.11382215639028e-99,3.20565242879614e-95,214.71588918529
"CDC20",7.4963541790268,12.1297825384228,31.4113361800004,7.97356857779355e-99,3.33642586325517e-95,214.603025206477
"KIF4A",7.12382973115623,10.9600989328126,31.0629227131165,1.12646109234118e-97,4.39928115002924e-94,211.983154099612
"UBE2C",8.58361521412607,11.7630330275505,30.9490108298579,2.68632792650127e-97,9.83548601639817e-94,211.123220658101
"CDC45",7.59710700153341,10.411555728809,30.8171471411931,7.36153732425343e-97,2.536742458777e-93,210.125685751141
"NCAPG",6.91656572287276,10.7928529009826,30.5127862479616,7.60536415897477e-96,2.47516576553834e-92,207.814699886876
"BIRC5",7.90058808387546,11.6758205679852,30.3372817708273,2.93907773096467e-95,9.0617953977706e-92,206.476700253447
"SKA3",6.76627586160986,9.59697290568573,29.8550796725881,1.23000597598645e-93,3.60274900396311e-90,202.780157365698
"KIF2C",5.86742408105646,11.591851324515,29.777879081292,2.24242730687755e-93,6.25541114591399e-90,202.185569671001
"EXO1",6.78876795185434,9.80664392277052,29.6069178304811,8.50045771330544e-93,2.26347869683248e-89,200.866131452446
"KIF18B",7.84105147948033,10.5189052272973,29.5230506519915,1.63653205002352e-92,4.16824713140991e-89,200.217495319534
"KIAA0101",8.35997646531871,11.3106451702397,29.4812257868322,2.2695507305338e-92,5.53968963939168e-89,199.89368151396
"TTK",7.20552220293855,10.2392766857251,29.3266076642011,7.61672773661255e-92,1.784782110154e-88,198.69466316312
"MKI67",8.4263976104806,13.0032207302944,29.1370492388561,3.37439486366056e-91,7.60290098108074e-88,197.220521491038
"CDC25C",7.31193983396051,8.97318062128289,29.0985683033982,4.56731461249854e-91,9.90955027091766e-88,196.920705719564
"AURKB",8.25191410876919,10.948032867221,29.044103160341,7.01247384030836e-91,1.46713475013966e-87,196.496029377752
"SGOL1",7.08823490204515,8.83034629385476,28.8656121582598,2.86575968965393e-90,5.78893339240058e-87,195.10164505674
"CENPA",6.93646280527365,9.55976325589989,28.8429509299343,3.4275409830593e-90,6.69295927761989e-87,194.924323453433
"NCAPH",6.26980681485818,10.307358574704,28.7601337315909,6.59684784493137e-90,1.24661272130298e-86,194.275731893591
"KIFC1",6.24097190662677,11.7006987958344,28.6288732884972,1.8654377410024e-89,3.41497525955192e-86,193.24596448666
"TOP2A",7.96501393858964,13.2193694960947,28.6055662577402,2.24407843169202e-89,3.98364723051364e-86,193.06288667742
"CEP55",7.4800443659234,11.0962599458819,28.3777544365168,1.37103027242081e-88,2.36224483496128e-85,191.269783843522
"RHAG",-4.5123176024006,0.269355530479841,-28.2388217749002,4.14737205096447e-88,6.9416343462157e-85,190.173019271746
"UHRF1",7.0825446558678,12.0806443731418,28.0471641269048,1.91706718963883e-87,3.11954758433979e-84,188.656028559387
"CDCA8",5.46179799544627,10.9986220511464,27.9729988269626,3.47093959216667e-87,5.4954354661815e-84,188.067759097344
"SPC25",6.50439729178593,9.05924737776098,27.8909944241792,6.6965255604418e-87,1.03233990488485e-83,187.416504830549
"KIF20A",8.21309840385116,11.0874218513479,27.8170391999482,1.212122726601e-86,1.82070157556443e-83,186.828449694218
"MCM10",7.32731608074669,9.70751284651286,27.780925588798,1.61990922658476e-86,2.37239756006405e-83,186.541042648008
"ASPM",7.69612317655478,11.1959765757118,27.7316620340605,2.40661514503817e-86,3.43858345881661e-83,186.148719080446
"DEPDC1",7.28870742570908,10.0888770312421,27.6505005188151,4.6229554251404e-86,6.44803218476547e-83,185.501704199837
"BUB1",6.11589841009628,10.6892241272361,27.6427119064629,4.92204188884723e-86,6.7055380439665e-83,185.439570459711
"PKMYT1",7.67423387900079,11.3077169304611,27.5396869344761,1.12870245839043e-85,1.50273906170386e-82,184.616973733334
"CDCA2",6.92638828716095,9.55586077785576,27.4574381859519,2.19145526173389e-85,2.85283645972518e-82,183.959311875523
"HJURP",7.01528875392488,10.2139125977156,27.4258017652633,2.82920444530198e-85,3.60299186109207e-82,183.706122056392
"CDCA5",5.73271323627374,11.3468719271857,27.3764237230006,4.21611334449742e-85,5.25498161348944e-82,183.310694891783
"CENPF",6.7900315601093,12.493275978836,27.3550624309832,5.01072517663079e-85,6.11527690775435e-82,183.139536241928
"ASF1B",7.08149421532657,11.6984355973797,27.3320616513175,6.03491659764953e-85,7.21492753483484e-82,182.95517763507
"BUB1B",7.22375650026021,10.6639377727387,27.2078849518778,1.64899525319198e-84,1.93199581854479e-81,181.958726400703
