Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
TUBB4A,7.363491,7.6435,2.861449,2.6017
AP000892.6,12.876994,13.5155,9.667954,9.5754
FMO2,7.836928,8.0444,3.993921,3.9069
MYADML2,1.64874,1.585,5.696369,6.0661
LINC01224,4.014605,3.1699,7.552305,7.8074
DACH1,6.389378,6.5546,10.005819,10.446
KRT1,6.26524,6.5078,2.048443,1.585
PKP2,8.202324,7.3309,12.39889,12.4406
HOOK1,6.77366,5.6147,11.181754,11.2046
ADGRG5,4.381047,4.0,8.151295,8.224
ESM1,1.872581,2.0,8.224876,8.3219
EVX1,1.91903,1.585,6.611332,7.1898
RP11-550F7.1,0.781479,1.0,3.976266,4.0072
PKMYT1,5.092672,4.7871,10.511406,10.6531
RP11-452N17.1,4.2095,4.3455,8.135565,8.1514
KLK8,0.639558,0.0,5.17459,5.211182
RP11-106M3.2,7.555367,7.6129,3.979545,4.0993
NCAPG,5.315373,5.1202,10.318025,10.3676
KLK10,4.657649,4.7004,9.666863,9.9307
RP11-774O3.3,8.270338,8.5038,5.515219,5.544297
MUSK,5.233375,5.2854,1.806944,1.585
RPRM,6.588039,7.4512,3.017518,3.3219
NME2,6.644195,6.794,10.307737,10.3979
PHLDA2,6.218186,6.1898,10.491415,10.5498
AP000439.3,2.946502,1.585,6.382349,6.6439
PWAR6,8.386756,8.7515,5.025029,5.0444
RP11-166D19.1,9.970672,10.7582,6.766181,6.9425
MEF2C-AS1,4.682038,4.9542,1.632136,1.585
ASB2,10.585629,11.4231,6.574367,6.5699
IGHGP,2.493518,2.0179,8.738331,9.0461
NOX1,6.129483,4.7549,12.228666,12.7315
RP11-1143G9.5,2.599354,2.0,5.873376,5.8329
WNK4,6.867816,6.0772,10.752554,10.9245
SLC7A11,4.770587,5.0,10.009447,9.9915
RMI2,5.652025,5.7814,9.794229,9.8673
GALNT16,8.258355,8.6689,4.6002,4.5236
FAM207BP,1.205399,1.1309,4.625331,4.6831
RP5-940J5.9,0.780585,0.0,6.114896,6.7921
MEP1A,6.490503,5.4919,11.040513,11.4014
RAD54L,4.846201,4.439,9.452098,9.5458
OGN,9.874886,10.2538,4.996923,5.1293
MYH7,6.19339,6.4328,2.01518,2.0
ADCY2,7.932603,8.4757,5.118391,5.3219
TPO,7.610924,7.6511,3.801244,3.9069
SIM2,5.198711,5.3576,8.765245,9.1344
PLP1,10.510996,10.7048,3.203453,2.8074
LYZ,9.201101,9.4047,13.671212,13.710931
