Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
TUBB4A,7.363491,7.6435,3.13354,3.1827
AP000892.6,12.876994,13.5155,9.880212,9.7139
MYADML2,1.64874,1.585,6.272323,6.5392
DACH1,6.389378,6.5546,10.924795,10.9476
FMO2,7.836928,8.0444,4.369635,4.3923
LINC01224,4.014605,3.1699,7.895801,8.0444
ADGRG5,4.381047,4.0,8.184159,8.1548
KRT1,6.26524,6.5078,2.193346,2.0
HOOK1,6.77366,5.6147,11.4068,11.4681
PKP2,8.202324,7.3309,12.309369,12.4376
RAET1K,0.317822,0.0,3.409856,3.5472
ESM1,1.872581,2.0,8.632839,8.7108
EVX1,1.91903,1.585,6.997402,7.3309
RP11-452N17.1,4.2095,4.3455,8.667406,8.6573
PKMYT1,5.092672,4.7871,10.451468,10.5696
KLK8,0.639558,0.0,4.77209,4.7975
RP11-106M3.2,7.555367,7.6129,3.487919,3.7027
NCAPG,5.315373,5.1202,10.355595,10.3539
KLK10,4.657649,4.7004,9.183854,9.3641
MUSK,5.233375,5.2854,2.181018,2.0
RPRM,6.588039,7.4512,3.51342,3.7004
PHLDA2,6.218186,6.1898,10.389095,10.3332
AP000439.3,2.946502,1.585,6.987255,6.9773
PWAR6,8.386756,8.7515,5.396742,5.5546
RP11-166D19.1,9.970672,10.7582,7.219665,7.3129
ASB2,10.585629,11.4231,6.9169,6.7549
IGHGP,2.493518,2.0179,9.067886,9.1095
NOX1,6.129483,4.7549,12.722186,12.9949
JAKMIP3,6.434121,6.9827,3.20524,3.4594
WNK4,6.867816,6.0772,10.95736,10.9921
SLC7A11,4.770587,5.0,9.890838,10.0417
RMI2,5.652025,5.7814,10.010762,10.0056
FAM207BP,1.205399,1.1309,4.546131,4.5279
GALNT16,8.258355,8.6689,5.23172,5.1699
RP5-940J5.9,0.780585,0.0,5.548468,5.8736
MEP1A,6.490503,5.4919,11.739156,12.0812
RAD54L,4.846201,4.439,9.397324,9.3417
OGN,9.874886,10.2538,5.715943,5.7549
MYH7,6.19339,6.4328,1.758305,1.585
TPO,7.610924,7.6511,3.519751,3.585
SIM2,5.198711,5.3576,9.053548,9.5196
PLP1,10.510996,10.7048,3.706118,3.585
DNM1P47,4.463041,4.6439,1.375431,1.0
LYZ,9.201101,9.4047,13.443705,13.387
CRB3,5.83723,4.3923,10.288655,10.2958
MCF2L-AS1,3.402631,3.1699,7.300644,7.3219
MAPK4,7.857925,8.6618,3.215751,3.1699
CASC19,0.229127,0.0,3.495709,3.9069
PRRT2,9.969662,10.0182,6.328697,6.4094
KRT8P5,0.389412,0.0,3.674767,3.6938
RP11-57A19.2,1.055809,1.0,4.772078,5.1699
FXYD6,12.124233,12.9516,9.275028,9.1805
CXCL8,4.75297,4.3923,10.73641,10.7993
SLC35D3,3.528838,3.585,6.983106,7.0
ADAMTSL4,10.78375,10.9392,8.237913,8.2032
LINC00982,6.134431,6.1293,2.975749,3.0
LINC01314,6.332539,6.375,3.506442,3.0
PLCD4,9.403581,9.8064,6.431668,6.488
RIPPLY3,1.164589,1.0,5.820815,5.9773
KRT24,5.433122,5.6439,0.301197,0.0
GCNT2,8.580492,8.7074,5.871034,5.9307
XDH,5.245545,3.8074,9.343542,9.4009
RP11-309L24.6,4.697644,5.1518,1.508648,0.0
UG0898H09,6.317612,6.4919,2.354553,2.3219
STRA6,2.438395,2.3219,8.509328,8.2808
NKX3-2,8.60678,9.5661,5.327765,5.3576
ADAMTS9-AS2,6.991027,7.5157,2.849133,2.8074
NEK2,3.853893,3.1699,10.406923,10.5114
RP3-453C12.15,5.679856,6.1179,1.580038,1.5801
CTHRC1,6.004358,6.0224,10.024731,10.1485
SCN2B,6.520883,6.8455,3.167347,2.8074
RNF112,8.687241,8.9627,4.348582,4.4594
FAM46B,9.494129,10.3083,5.286323,5.2479
FAM83H-AS1,4.055504,2.8074,10.320975,10.4553
PBK,3.958368,3.3219,9.691787,9.7632
MARVELD3,6.695472,5.2813,10.676822,10.7379
MMP11,7.320235,7.4429,12.186914,12.3647
RP3-325F22.5,2.894126,2.3219,7.797837,7.8642
ACE2,5.945913,5.585,10.397341,10.8819
SP6,4.762391,4.3923,9.883814,10.0154
BRCA2,5.27149,5.2095,9.643971,9.6129
TMPRSS3,2.855673,2.3219,8.528288,8.4221
ARSE,6.955334,6.6439,11.269174,11.4813
CLIP3,11.107844,11.7916,8.695826,8.7279
FBXL22,9.055012,9.7983,5.889457,5.7581
AC005255.3,0.317016,0.0,3.566691,3.7214
LOC100421166,3.424592,3.585,0.385289,0.0
HTR1D,1.884238,2.0,7.758175,8.0875
EPHA7,9.906187,10.5118,5.683241,5.6988
ELFN1-AS1,1.143021,1.0,7.832508,8.0279
C1QTNF4,5.813954,6.2288,2.121713,2.3219
WSCD2,6.517335,6.7944,3.205948,2.8074
TRPM2-AS,1.664259,1.585,6.400729,7.3837
TMPRSS4,7.055354,6.2095,13.322651,13.403
P2RX2,4.883558,5.2487,1.052754,1.0
MYOZ2,4.69287,4.9069,1.039299,1.0
DLGAP5,4.005725,3.585,10.083612,10.1649
EXTL1,5.207384,5.585,2.328895,2.0
C9orf152,6.09647,5.1699,11.269906,11.3465
C1orf105,0.169387,0.0,3.401159,3.1699
MS4A4E,5.468635,5.585,1.82068,1.5945
MYOC,7.929375,7.983,1.951603,1.0
LRCH2,8.580397,9.1749,5.869143,5.9069
PLIN4,11.676231,12.6711,6.205456,5.4919
TTK,4.297537,3.7004,10.110049,10.1111
AOC4P,6.174897,6.6467,2.268703,2.1243
PDZD4,9.614107,10.0168,5.501058,5.2479
PTX3,7.567431,7.2479,4.779634,4.7004
MYEOV,4.206809,4.1699,9.239212,9.8265
NACA2,1.486624,1.585,4.838372,4.8714
DYNC1I1,8.430736,9.1472,5.389819,5.0
