"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000279473.1",5.75086043359252,1.34314224625,106.228350538621,2.08006898444485e-294,1.25840013420945e-289,660.28056805363
"ENSG00000219928.2",8.11395800360758,2.5507735575,94.6378706419434,3.53232246451096e-275,1.06849222228992e-270,617.210693719789
"ENSG00000229237.2",4.60761445277311,1.1659822959375,80.7205325463081,5.08688848760898e-249,1.02582193241123e-244,558.223889386575
"ENSG00000240854.1",4.33142463810812,1.1742862071875,73.1010971313517,6.01462018153756e-233,9.09681229356649e-229,521.79858681913
"ENSG00000244538.1",3.77099671278589,1.040657400625,63.637665505075,7.52198674150834e-211,9.10130307775543e-207,471.543895122148
"ENSG00000214039.8",8.19545555788764,2.015688949375,62.7172270538781,1.47613216963372e-208,1.48838406664168e-204,466.319489669676
"ENSG00000238249.2",3.34082291869374,0.8141009246875,62.5323112327009,4.29598427165732e-208,3.71283509238178e-204,465.262145224472
"ENSG00000235734.4",3.85738313203128,1.0539062821875,61.3712449257845,3.73132668115953e-205,2.82172251945987e-201,458.562840587135
"ENSG00000241431.1",4.99611629354926,1.4878619409375,60.2621370533888,2.63920428735283e-202,1.77407312195857e-198,452.064310875362
"ENSG00000062038.13",7.26902605314612,5.4335044128125,58.6039258632564,5.77204795722134e-198,3.49197357315977e-194,442.162651286462
"ENSG00000170373.8",8.5715689493319,2.2797005303125,58.1804941104041,7.67649507807384e-197,4.22193272030283e-193,439.597674601288
"ENSG00000234743.1",5.58489279414031,2.00004216625,56.2465302734899,1.26311082674871e-191,6.36797323305362e-188,427.68777773445
"ENSG00000206228.4",4.50852608712479,1.55715770125,54.3932813979715,1.70781192302067e-186,7.94763120914649e-183,415.965634966421
"ENSG00000175832.12",6.75454877255174,6.3290504259375,52.3043231532116,1.50798173646989e-180,6.51641993521109e-177,402.373588561866
"ENSG00000228742.9",5.02464853750744,1.3828722703125,49.1168782982619,3.98665729037448e-171,1.60789861835384e-167,380.8187610997
"ENSG00000137673.8",8.00292164817782,3.3749820409375,48.2464035310998,1.78040820601756e-168,6.73194597797813e-165,374.753330817259
"ENSG00000167767.13",6.77800639649662,4.7482377103125,48.0613587003036,6.57973717734027e-168,2.34153493973371e-164,373.453756826827
"ENSG00000213235.3",2.90378670657332,0.8449683828125,47.5229627741772,3.01121528971495e-166,1.01206945887319e-162,369.652047319667
"ENSG00000105464.3",5.59985470420914,5.1236175615625,46.735527225606,8.53592231160908e-164,2.71792751583014e-160,364.036195624406
"ENSG00000230734.1",4.13588460019789,1.276532301875,46.535217837057,3.62825194792463e-163,1.09750993172772e-159,362.596973609932
