"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC009065.4",5.75034889793556,1.34311783149754,106.275196955093,1.53148341786722e-294,8.97158301020798e-290,660.653283652959
"RP11-40C6.2",8.11353283150244,2.55104474425019,94.6378829323388,3.119155032889e-275,9.13616104908354e-271,617.3910593477
"HMGN1P37",4.60726504027836,1.16605734838743,80.7293449115118,4.38218447362477e-249,8.55709162164709e-245,558.411586841648
"RP11-64K7.1",4.33113603255216,1.17447204058073,73.1005796192361,5.46594588609183e-233,8.00501439882863e-229,521.925466799927
"RP11-10G12.1",3.7706413822194,1.04085926154804,63.6372423896742,6.92577028230013e-211,8.11437097814848e-207,471.648687005666
"RP11-474D1.3",8.19512761365802,2.01575964477912,62.7133780391314,1.38819952762189e-208,1.35536860879363e-204,466.402505085031
"HMGN2P17",3.34049880034621,0.814141722481594,62.5562647765612,3.44100226516018e-208,2.87967648136212e-204,465.503884871196
"HMGN1P36",3.85676290105875,1.0538675686435,61.3843475489715,3.18414476186652e-205,2.33162980368628e-201,458.740885561892
"RPL37P6",4.99574644382394,1.48827335727731,60.2358166265562,2.85041880329895e-202,1.85533759906729e-198,452.008037950569
"CDH3",7.26876099460571,5.43352256836055,58.6351813389652,4.41567602314187e-198,2.58674717111674e-194,442.446738165526
"CST1",8.57116549802677,2.27986233219098,58.1802774868685,7.11891170568332e-197,3.79120878755122e-193,439.690630800298
"EIF5AP4",5.58474142865951,1.99999229400562,56.2606382305361,1.0736642795122e-191,5.24136059650867e-188,427.865554400871
"HNRNPA1P4",4.50818461564965,1.55706090045485,54.4208389371247,1.33176361418306e-186,6.00123417557368e-183,416.227568593475
"ETV4",6.75366375582219,6.32904655665379,52.3311189888507,1.1796233450639e-180,4.93596536979918e-177,402.630930225313
"RP5-884M6.1",5.02451518817291,1.38308936781346,49.1270208932961,3.49136820112549e-171,1.36351893726755e-167,380.961706847834
"MMP7",8.0018293334599,3.37516763777921,48.2489921274396,1.64551720494855e-168,6.02475271144318e-165,374.842124293347
"KRT80",6.77803823264366,4.74833904623094,48.0862149263675,5.19634334768796e-168,1.7906293508877e-164,373.698782402154
"EEF1A1P16",2.90331764398531,0.845154497667802,47.5159974413082,2.98242568314701e-166,9.70630438580194e-163,369.671551432985
"GRIN2D",5.59974188527693,5.12369795587254,46.7478607010639,7.3697123696718e-164,2.27223747540918e-160,364.191724011984
"RPL10P3",4.13546628085982,1.27683594092341,46.5331926329729,3.47581126101583e-163,1.01808249740784e-159,362.648941905601
"CLDN1",6.3526042801405,6.58039173649754,46.2760753700017,2.24228276317833e-162,6.25500793094046e-159,360.794501251148
"RP11-744D14.1",2.98428501779341,0.919251370259331,44.8906145642552,5.84863489994845e-158,1.55735855033582e-154,350.676948163513
"VDAC1P2",3.4490765161162,1.15048253467831,44.5671697571822,6.47579596971051e-157,1.64938523348527e-153,348.284193370597
"UBE2SP2",5.8552838002392,2.31517083295799,44.5429602329788,7.75633860807141e-157,1.89322529999763e-153,348.104624761107
"LINC00460",4.78986181352944,1.45306575032045,44.4680251130954,1.35641819762522e-156,3.17841337740331e-153,347.548391788272
"DSG4",4.72600541832819,1.64480548368222,44.1698203296667,1.2620277805622e-155,2.84349420819669e-152,345.32857057275
"AC123023.1",4.09856567041189,1.00679069289615,43.070349550185,5.13099285511454e-152,1.11325441646468e-148,337.056545691005
"AC007099.1",4.31631614691221,1.01950603851426,42.8364621096235,3.05970827346794e-151,6.40145608457234e-148,335.278907148239
"NOTUM",7.83954699280195,3.01527977218221,42.7887230456865,4.40858651097869e-151,8.90549677240146e-148,334.915290919673
"RPS7P4",2.92148100955274,0.944934511548196,42.7017569083465,8.58121393655835e-151,1.67565364539175e-147,334.252210919052
"YWHAZP6",2.96106370301152,0.913578816769803,42.3920230820036,9.26409670230345e-150,1.75064531908916e-146,331.883459009503
"ELFN1-AS1",6.25767357035825,2.53475953026975,41.9024756279779,4.07156681885651e-148,7.45363924423229e-145,328.116625321057
"CEMIP",5.96193688782719,7.12840643321629,41.769240600414,1.14553752174849e-147,2.03353738065297e-144,327.086560279979
"CKS1BP3",4.03628962083119,1.35412297026834,41.6060087864309,4.07973569353858e-147,6.89723357051327e-144,325.821723444679
"HNRNPA1P12",2.79718428996309,0.873278626449745,41.6047219308864,4.12084421515448e-147,6.89723357051327e-144,325.811739431603
"HNRNPCP2",3.8437028604595,5.17183111373712,41.5665503912721,5.54856597106306e-147,9.02890397641236e-144,325.515497913582
"RPL12P38",3.3855718446096,1.30752073291804,41.5457471289638,6.52562793518862e-147,1.03318327046293e-143,325.35397530109
