Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
AP000892.6,12.486509,13.26415,10.051569,9.97105
DNAH3,2.567366,2.585,7.124342,7.1598
FMO2,10.98888,10.93915,8.721084,8.82335
ADGRG5,3.85277,3.585,8.096464,8.5058
RAET1K,0.406555,0.0,4.816954,4.89385
PKP2,6.326693,5.98785,11.568292,11.57665
HOOK1,6.780106,5.1897,11.489709,11.7409
ESM1,2.195513,2.0,8.188778,8.19945
ADTRP,3.352676,3.3219,8.045399,7.97155
IGHV1-24,1.281719,0.0,5.628983,5.5698
PKMYT1,5.575468,4.7393,11.100627,11.1832
NCAPG,5.578468,4.79175,11.153949,11.23975
PTPRH,4.556988,4.585,9.610765,9.75215
HOXC13,0.782096,0.0,7.481135,8.3082
PHLDA2,6.662515,6.0444,11.503388,11.65285
AC003090.1,6.058179,6.1497,3.417508,3.7004
PWAR6,8.149006,8.6493,5.636634,5.4594
ACOX2,8.848387,9.0251,6.806076,6.7414
RP11-166D19.1,10.340445,11.16805,8.299901,8.2139
IGHGP,1.766071,1.0566,6.638184,6.69935
NRAP,3.796291,4.0772,1.572829,1.0496
IGLC3,6.007443,5.2071,12.205052,12.55805
EN1,0.929685,1.0,5.347197,4.2849
SLC7A11,5.865663,5.8329,11.612278,11.4698
RMI2,5.613466,5.1496,9.976686,10.0539
GALNT16,8.149082,8.30605,5.771513,5.6079
MEP1A,1.00412,1.0,5.442705,4.1699
RAD54L,5.055752,4.2753,9.606876,9.71185
OGN,9.140237,9.49885,7.159158,7.0768
BMS1P22,0.336321,0.0,5.032142,5.3722
MYH7,6.007202,6.33365,1.961592,2.0
TPO,7.826404,8.1824,4.551719,4.585
PLP1,9.652271,10.1033,3.723781,3.585
PAX5,1.906643,1.0,7.161127,7.48325
LYZ,8.265513,8.2353,13.614991,13.38565
SH3BGR,8.255348,8.62575,6.065947,6.0444
KLHL10,4.231796,4.7557,2.092432,2.0
TIMP4,7.686043,7.92185,5.352202,5.4581
CH507-513H4.3,12.84119,12.6504,17.130646,17.19845
MAPK4,7.114623,7.53525,4.583532,4.5543
AC103563.9,3.960131,3.0,0.934887,0.0
PRRT2,9.171824,9.42565,7.074689,7.1462
IGHV3-21,2.107236,1.0,7.459417,7.69855
CXCL8,4.138446,3.8074,11.345376,11.40885
SPDEF,2.498276,2.0,6.782263,7.03715
KIAA1324,4.694674,4.1699,10.55949,10.76695
ADAMTSL4,12.03206,12.0959,10.338958,10.4435
CMA1,4.85917,4.9069,2.010232,1.585
CDO1,7.0624,7.2854,4.54541,4.585
KRT24,6.727243,5.7944,3.92923,2.3219
PGM5P4-AS1,4.05539,4.5928,1.764781,1.585
CENPE,6.571766,6.2095,11.244355,11.38015
XDH,4.543091,2.3219,10.103768,9.99575
RP11-309L24.6,4.087562,4.56365,1.376357,1.4005
UG0898H09,5.189598,5.5698,2.741856,2.585
ADAMTS9-AS2,6.441561,6.94835,4.209849,4.2479
NEK2,3.93292,3.0,10.436191,10.5613
CTHRC1,5.784531,5.7414,10.785255,10.7283
SCN2B,5.773163,5.8074,3.83632,3.85715
RNF112,7.341512,7.49545,4.959338,5.0444
FAM46B,11.718183,11.95835,9.108854,8.9425
FAM83H-AS1,5.434638,2.585,11.476041,11.757
PBK,4.34886,3.0,10.388344,10.3869
IGKV1-12,0.708279,0.0,4.994626,5.1449
MARVELD3,5.220621,4.3837,10.349691,10.53255
RP11-19P22.8,6.211209,6.1809,2.091322,0.0
FAM198A,7.737772,7.8144,5.563792,5.62485
MMP11,6.291099,6.4418,12.105909,12.20085
RP3-325F22.5,2.110538,1.585,7.005466,7.1299
EPB41L4B,6.101839,6.1085,10.934748,11.12885
IGLV2-14,3.652243,2.8074,8.498631,8.5517
BRCA2,5.44138,5.1699,10.631853,10.71165
CA4,5.423723,5.7279,3.063562,2.0
FREM2,2.716788,2.585,7.808024,7.8297
TMPRSS3,2.098431,1.585,8.002938,8.08375
ZNF662,8.81482,8.8704,6.343229,6.2479
KCNA5,6.340244,6.375,3.95673,3.9069
LOC100421166,3.920337,4.0875,1.289208,1.0
HTR1D,0.763204,1.0,6.280463,6.0224
EPHA7,8.546615,10.45015,6.605703,6.4346
ELFN1-AS1,0.455758,0.0,5.261065,5.58375
WSCD2,8.282983,8.7381,5.286777,5.1886
TRPM2-AS,1.231492,1.0,6.557979,7.52745
TMPRSS4,6.616195,4.0,12.773072,13.2661
HOXC13-AS,0.402716,0.0,4.893893,5.3326
P2RX2,7.12063,7.193,2.089048,2.0
MYOZ2,4.711877,5.0,1.914362,2.0
DLGAP5,4.380292,3.3219,10.942918,10.98265
IGKV1-33,2.84964,2.0,7.88155,8.179
IGKV3-20,4.097436,3.3219,9.746492,9.9085
MS4A4E,5.055164,5.1293,3.236501,3.3219
C1QTNF9,4.282296,4.354,2.226995,2.2336
EGFL8,9.728672,9.7367,7.86195,7.9262
ACVR1C,3.782276,3.7004,8.522658,8.74645
MYOC,9.972823,10.65285,3.183574,2.3219
PLIN4,11.149579,12.0969,7.807381,7.6509
TTK,4.721227,3.585,10.716604,10.82215
AOC4P,5.80427,6.119,3.240526,3.0968
IGLV3-1,2.39816,1.541,7.231369,7.3318
PDZD4,9.383932,9.87345,6.465686,6.4838
IGLV3-21,2.521592,1.585,7.666145,7.93955
IGHV2-5,1.84704,1.0,6.17909,6.1467
NPW,1.725225,1.585,7.525424,7.40875
GAL3ST2,1.009308,1.0,5.449724,5.0
FOXA3,1.590373,1.585,7.338979,6.86385
PPP1R14A,10.611653,11.4931,7.897571,7.8297
CNTFR,6.784965,6.7748,4.879332,4.6439
MACC1,5.490379,3.3928,11.230392,11.3755
SMIM22,3.382581,3.08495,8.515581,9.7764
FAM83H,8.210271,5.8074,14.401928,14.6001
FIBIN,9.701513,10.10915,7.287514,7.09275
C20orf166-AS1,8.041009,8.445,2.666209,2.3219
CRNN,10.251427,7.7073,5.988727,4.80365
WISP2,10.740587,10.716,5.498408,5.1496
SP8,0.111274,0.0,3.99823,4.1287
AMIGO3,1.357572,0.0,5.671426,6.2212
LINC00858,0.306008,0.0,4.503909,4.9542
HSP90AB4P,0.609391,0.0,4.663743,4.7549
AP000473.8,4.34664,4.3923,2.195285,2.0
ADH4,5.360149,5.2854,2.889943,2.3219
MPZ,8.382907,8.46555,5.858907,5.7944
CXCL9,4.30036,4.1699,10.579684,10.68035
LGALS2,1.810646,1.585,6.60298,6.2761
ARL14,1.829107,1.0,7.291445,7.60855
IGLC2,6.856967,5.87455,13.441153,13.53085
AKR1B10,7.214432,5.0634,11.734207,12.41475
HHATL,3.44123,3.3219,0.802268,0.0
TSPAN8,5.386951,5.2479,9.631758,9.57325
AL162151.3,5.820307,6.58025,0.150388,0.0
TNS4,6.574213,4.0,13.407472,14.0881
PI3,7.269797,4.9542,12.731436,13.1139
OR2I1P,2.078016,2.0,7.294225,7.4836
FABP4,8.840818,9.07815,6.428029,6.05525
ELN,12.659094,12.9527,10.489464,10.56825
RP11-448G15.3,9.096409,9.4136,6.360218,6.4757
SGCG,4.770532,4.9069,2.454275,2.3219
PRSS22,6.00233,3.8074,10.532795,10.7653
TOP2A,7.156135,6.34845,14.061563,14.0648
HAPLN2,4.580865,4.72765,2.593574,2.585
ENTPD8,1.669898,1.0,5.912227,5.7409
IGHV3-11,1.938696,1.0,6.571549,6.7376
RPPH1,2.558924,2.585,10.680982,10.6443
DSP,11.480358,8.9425,16.346831,16.25355
PNLIP,4.96478,5.8329,0.128242,0.0
SKA1,3.996685,3.0,9.335627,9.314
ATP1A2,11.218973,11.5147,5.780687,5.42585
SLC25A27,9.761794,10.0451,7.439774,7.67595
LINC01573,6.353688,6.65105,3.126421,3.0
NCAPH,5.109567,4.3219,10.546522,10.7116
BRIP1,5.127525,4.6439,10.007686,10.04095
RP3-430N8.11,0.282555,0.0,4.05675,5.37405
MRGPRF-AS1,4.74671,4.9572,1.018809,1.0
NFATC4,11.35793,11.782,9.43523,9.4747
FAM72D,3.917869,3.86595,8.50029,8.60125
DEPDC1,4.409731,3.1699,10.786909,10.94765
ZNF300P1,7.300712,7.3219,4.60306,4.585
HS6ST3,5.989913,5.8826,3.720198,3.3219
FAM83A,6.511627,3.7539,10.997865,11.7497
HSPB3,5.183571,5.2287,3.025609,2.585
MAGEA4,0.154104,0.0,4.719738,2.45345
TSPAN1,5.877791,5.6439,10.91523,11.07375
POLQ,5.547272,4.5236,10.573042,10.6262
ADCYAP1R1,8.201984,8.6221,3.581666,3.5222
SMPX,5.102041,6.1699,2.370038,2.0
CENPA,3.875996,3.0027,9.428236,9.6447
LINC01559,2.637741,1.0,7.625275,8.142
RGS11,9.589466,9.6859,6.290162,6.41375
IGLV2-11,2.627401,1.585,7.120916,7.47475
IGHG4,5.511157,4.804,12.262906,12.414
GDA,1.946499,1.585,9.157548,10.14335
UGT1A10,3.820676,1.3132,8.15411,8.7572
PLA2G10,1.19007,1.0,6.256296,5.9411
ZNF540,7.599892,7.79765,5.159157,5.3219
FAM138B,3.349025,3.57285,0.656818,0.0
VIL1,2.778296,2.904,9.241134,9.28145
ACTA1,6.505366,6.8074,2.819329,2.8074
KRT4,11.762723,8.59415,8.628703,7.53375
DHRS2,2.272521,2.3219,6.807439,6.4346
CYP11A1,6.274939,6.10255,3.751948,3.585
HOXB13,0.756769,0.0,6.729127,7.5195
GPM6A,7.926639,8.8073,4.561954,4.5543
BLACAT1,3.693694,2.8074,8.247619,8.59635
CDC6,5.928377,5.4263,11.097753,11.0967
PRSS21,2.637147,2.0,7.145747,8.18225
MGAM2,1.730165,1.585,7.487604,7.0754
PNMT,6.317401,6.34875,3.503716,3.0
EPCAM,5.695613,5.1694,13.753836,14.0892
RP3-525N10.2,6.286434,6.62205,1.884544,1.585
RP11-401P9.5,6.11972,6.15855,4.087452,4.22495
CENPF,6.945831,5.9188,13.138849,13.3078
ST14,8.810021,7.3174,14.045731,14.07755
GS1-184P14.2,0.851937,0.80325,5.551211,5.677
AC025165.8,7.396657,7.91265,3.499326,3.65415
MRGPRF,10.965023,11.5651,8.516038,8.46015
JUP,12.530868,10.88305,16.887218,16.86615
CKM,6.247782,6.5546,3.332101,3.1699
MNX1-AS1,0.775573,0.0,5.186266,5.7944
SLC2A4,10.635708,11.7417,6.846794,6.8765
UGT1A6,4.072187,1.3533,8.864351,9.25675
CORO6,10.981545,11.46735,7.134335,6.8446
NRXN1,7.794583,8.35535,4.221226,4.3571
IGKV4-1,3.571389,2.8074,9.269229,9.49985
RP11-438J1.1,3.71514,4.013,8.198903,8.46875
MAMDC2,10.524965,10.8328,7.111901,7.0034
GFRA1,10.239964,10.5177,7.426124,7.34425
SLC1A7,6.997972,7.07475,4.902805,4.7539
RP11-629N8.5,3.614253,3.99635,1.048789,0.0
HOXC-AS2,0.705629,0.0,5.674179,5.9069
AMY2A,4.427228,5.00945,0.400252,0.0
RP11-327J17.9,3.567125,3.7004,1.418505,1.0
MIR497HG,7.216761,7.7905,5.141526,5.05785
KCNG3,0.739003,0.0,5.049735,5.26665
RP11-54H7.4,3.497874,1.78135,9.78291,10.32195
AGAP11,8.142135,8.2315,5.70577,5.9118
SLC6A20,3.060142,3.0,7.650621,7.04985
MISP,2.333664,2.0,11.47463,11.80345
TPX2,6.5626,5.59985,12.988258,13.1697
LAMC2,8.995803,9.1293,14.402372,14.2734
DLG2,8.179096,8.25485,5.872743,5.7814
HNF1A-AS1,0.330648,0.0,6.282049,5.32645
SHISA3,6.838583,7.69695,4.450399,4.4594
RP4-594A5.1,0.009606,0.0,4.159375,4.6064
CSF2,0.243427,0.0,4.559681,4.3571
