"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTB-31O20.6",-5.85716608071555,4.58087005013082,-76.8104512857448,0,0,863.473782851014
"AC006449.2",-6.29014396132713,5.51730099440934,-76.1183641111797,0,0,856.878000391554
"CST1",8.84963135278527,2.1333535244364,73.7388263858661,0,0,833.84937660249
"RPL41P2",-4.5762701570742,6.63602900393338,-67.4004204322616,0,0,769.727479344266
"HOXC11",6.08779579253585,1.66779881083832,66.6532623790482,0,0,761.890214052085
"RP11-803D5.4",3.78668399677607,1.1274500564666,62.7278585371188,1.24780231382374e-318,1.03555114024232e-314,719.699854052147
"RP11-603J24.9",6.4083264369782,1.54898903070904,61.8869670263782,1.35919250850585e-314,9.66851882407733e-311,710.434849098045
"CTA-305I2.1",3.6846121335293,1.12727247413199,61.6726295196627,1.47217670480963e-313,9.16319585491132e-310,708.060186883334
"RP11-82O19.2",3.99041967924522,1.28856254557098,61.4274821620506,2.26043573383219e-312,1.25062374367156e-308,705.337634940099
"AC007128.1",4.49789192281808,1.10490230251253,56.2992337830982,7.48190462139909e-287,3.72553958717946e-283,646.750824345888
"AL049794.1",3.36538259486529,1.02808919367208,55.9160581027522,6.85303317202814e-285,3.10218121607245e-281,642.245726813783
"CADM3-AS1",-6.19887063961465,7.30508599943787,-55.8176054670325,2.19391663417937e-284,9.10365707352729e-281,641.085281876195
"RP11-357H14.17",6.2163064788346,1.57978422188687,55.4641345883238,1.44463235901592e-282,5.53338643729529e-279,636.909150792801
"SND1-IT1",4.81251348120194,2.40238286190779,54.9993030294126,3.64208240681984e-280,1.29538465260848e-276,631.393879056593
"ATP6V0D2",4.3523403614134,1.25628077186486,54.990039214788,4.06751555689189e-280,1.35025246426583e-276,631.283691659821
"GRIN2D",5.20581455277538,5.40993854115255,54.7207600433082,1.0138949786852e-278,3.15536791054069e-275,628.076139416187
"RP11-201O14.1",2.59124044467476,0.702820198855612,54.5711065020989,6.0795881363937e-278,1.78074712743287e-274,626.289639409261
"TMEM132C",-5.64880598708464,6.28691392556842,-54.5207657652366,1.11124244490407e-277,3.07406701675297e-274,625.688068991984
"IGF2BP2-AS1",3.57940674858244,1.01725060075789,54.0114371129439,5.05368391557155e-275,1.32443756258932e-271,619.583906467561
"RP5-884M6.1",5.21390892142838,1.48899973324037,52.7799997999263,1.53890777199101e-268,3.83141867992601e-265,604.691932310657
"RSC1A1",7.0755979258061,2.13900343724236,52.4439555177501,9.34822994770097e-267,2.21659886674201e-263,600.595168166965
