Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
MOGAT2,3.881343,3.5799,1.365807,1.0
GGT3P,8.886289,9.17205,6.799195,6.8144
KRT1,5.284111,5.7389,2.666207,2.8074
ESM1,7.697979,8.03315,13.400022,13.6327
TMEM155,0.7346,0.0,5.792838,5.858
RP11-550F7.1,0.609889,0.0,3.817347,4.017
NCAPG,4.385186,4.1743,8.029255,7.9945
AC009014.3,9.179389,10.10875,7.21889,7.9189
AP000439.3,0.6148,0.0,6.497239,7.0553
OR51E2,3.336575,3.51115,6.904603,7.0
AC093326.1,5.553382,5.9037,1.924921,1.0
IGHGP,2.860136,1.81325,8.144381,8.0168
WNK4,10.189646,10.47345,7.258772,7.4014
RP5-940J5.9,1.291686,0.0,8.138299,9.43
CA10,7.4023,7.7545,1.602341,1.0
MYH7,6.154657,6.22405,0.81186,0.0
RP11-155G14.5,2.80435,3.03435,6.601771,6.9196
SIM2,9.143571,9.3319,5.873407,5.7814
PLP1,5.097861,5.1694,2.086393,1.585
LYZ,7.094225,7.3281,13.08022,13.2912
MBL1P,5.863982,6.17985,3.374096,3.585
HTR1F,1.725861,1.585,5.998934,6.2288
NRK,7.749393,8.25255,4.175666,4.0875
SLPI,9.341036,9.1153,6.802381,6.4594
MAPK4,7.226507,7.85795,2.941503,2.3219
AC103563.9,4.107139,4.5222,0.852199,0.0
FATE1,2.592132,2.585,6.347901,6.5078
NR5A2,4.622875,4.58375,8.626989,8.8138
IGHV3-21,2.481957,1.4515,6.469887,6.1655
EOMES,3.834057,3.68315,7.743362,7.7682
HOXB-AS3,7.294225,7.54925,4.268129,4.1102
GBP5,5.835857,5.71365,10.035617,10.065479
LINC00982,10.911582,11.369,4.047536,3.938599
RNASET2,9.182161,9.48445,13.458044,13.739
CDON,6.363186,6.6954,10.41117,10.5888
RP11-417E7.1,0.74335,0.0,3.984299,3.9069
KRT6A,4.950154,5.3893,2.12642,1.0
STRA6,6.614057,7.0051,4.373368,4.1699
NEK2,2.941971,2.585,6.611021,6.6147
CTHRC1,4.995746,5.04375,9.49202,9.4939
ANO4,3.545296,3.7539,7.687769,7.9009
PBK,3.166486,3.1699,6.845474,6.8826
PABPC4L,4.783679,4.8327,8.725434,8.9366
LY86,4.770057,5.2095,9.18945,9.3129
CD96,4.712664,4.5181,8.87672,8.9658
HLA-DRB6,5.256161,5.60165,9.798451,10.0377
CCDC85A,4.138204,4.4278,7.721829,8.0205
INSRR,6.944896,7.5041,2.276521,2.0
BMP7,7.589593,8.0746,3.121871,2.585
CREB3L3,3.813939,3.7459,8.876577,9.5411
EPB41L4B,7.5953,8.02025,4.888294,4.4594
IGLV2-14,4.403114,4.2898,8.179899,7.9737
P2RY12,2.087543,2.16095,6.459562,6.6439
FPR3,5.206461,5.4915,10.596891,10.8273
CH507-396I9.3,4.233146,4.6864,1.336703,1.0
GAS2L3,6.243986,6.5999,10.659731,10.8106
RP11-443P15.2,5.897961,6.41685,3.448,3.1699
KLK7,6.643164,7.73805,1.25374,0.0
DACH2,4.893761,5.06465,2.238273,2.0
AC005255.3,0.328182,0.0,3.692508,3.7782
LTK,7.638368,7.62935,4.791963,4.7549
CLMP,7.749857,8.4816,5.690866,5.2479
TRNP1,8.863186,9.13185,6.742427,6.5078
COL6A4P2,5.514082,5.7399,2.656269,2.585
TNNI1,7.58945,7.9099,3.883446,3.9069
CXCR2P1,2.285914,1.585,6.467879,6.375063
TMPRSS4,9.055946,9.42805,3.728247,3.1699
BSND,8.314161,9.05395,1.606651,1.0
FABP7,0.541786,0.0,10.41521,11.5603
P2RX2,3.320261,3.1844,0.614559,0.0
DLGAP5,3.191061,2.585,7.066596,7.0875
CTSW,4.566318,4.35365,9.074354,9.1396
IGKV1-33,3.473764,2.7898,7.032371,6.7888
IGKV3-20,4.912821,4.00755,9.064549,8.7472
RP11-1018N14.5,0.808129,0.5,4.053154,4.1699
PLIN4,8.998229,9.4958,6.499524,6.3399
TTK,3.245414,3.3219,6.796155,6.736979
IGLV3-1,3.168739,2.0,6.684559,6.5301
TRPV5,5.543007,5.65475,1.01229,1.0
