Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
TUBB4A,5.993046,6.1636,10.330917,10.8271
DACH1,8.245036,8.6988,5.442163,5.1293
GGT3P,8.886289,9.17205,6.447389,6.5225
RP11-452N17.1,3.691639,3.93135,7.589942,7.9074
PTPRH,2.940682,2.585,6.319034,6.5699
DEFA1,4.260936,4.6624,1.545899,1.0
RP11-436K8.1,1.398568,1.0,5.159098,6.1085
AC093326.1,5.553382,5.9037,1.775134,1.0
WNK4,10.189646,10.47345,6.800784,6.717
RP5-940J5.9,1.291686,0.0,7.681187,8.2638
CA10,7.4023,7.7545,2.657937,2.0
OGN,5.911818,5.8327,2.874598,2.0
MYH7,6.154657,6.22405,1.657907,1.585
ADCY2,4.609196,4.4915,7.992391,8.5507
PDE1C,8.055671,8.35705,4.904752,4.5236
SIM2,9.143571,9.3319,6.627752,6.4094
PLP1,5.097861,5.1694,1.295526,1.0
LYZ,7.094225,7.3281,11.51347,11.4298
NR2F1,10.3437,10.53275,7.772757,7.8138
MCF2L-AS1,4.957564,5.2287,1.732112,1.0
NRK,7.749393,8.25255,4.689003,4.2479
FTH1P7,5.207404,5.4214,8.754738,8.8402
LINC00982,10.911582,11.369,2.314553,2.0
KRT6A,4.950154,5.3893,1.992602,1.0
DNM3OS,7.0769,7.42175,3.501124,3.4594
IFNWP19,1.163636,1.0,4.271501,4.7981
LY86,4.770057,5.2095,8.564091,8.5774
MMP11,6.382918,6.1908,10.289335,10.4461
NFASC,11.586236,12.12185,7.925764,7.8517
INSRR,6.944896,7.5041,0.753797,0.0
FBLN7,5.243111,5.12695,8.763788,9.0056
P2RY12,2.087543,2.16095,5.183025,5.2479
CH507-396I9.3,4.233146,4.6864,0.726544,0.585
CA4,8.663611,9.29115,4.064117,3.9069
KLK7,6.643164,7.73805,1.334253,0.0
HMGCS2,9.550675,10.1785,3.788015,3.4594
DACH2,4.893761,5.06465,0.796806,0.0
LTK,7.638368,7.62935,5.032117,4.9542
WSCD2,5.259861,5.79295,2.598308,2.3219
BCL11A,3.728596,3.7004,7.044078,7.4512
COL6A4P2,5.514082,5.7399,1.951327,2.0
TMPRSS4,9.055946,9.42805,4.2584,3.585
BSND,8.314161,9.05395,1.298936,1.0
EYA4,6.752968,6.67215,2.829524,2.585
RP11-397G17.1,4.553679,4.56465,1.041624,0.0
GAD1,7.107775,7.4426,3.934228,3.585
CTSC,10.761314,11.11485,15.005966,15.112
TRPV5,5.543007,5.65475,0.793386,0.0
USHBP1,8.238557,8.7697,5.897485,5.8074
CNTFR,5.927961,5.9069,2.868331,2.585
PCK1,12.510261,13.3248,10.175623,10.3208
CRNN,4.217439,4.4594,0.593458,0.0
NEFL,5.595639,5.8724,11.330785,11.8443
RP11-1143G9.4,3.624257,3.67145,7.10291,7.7382
FAM162B,5.550489,5.87745,2.884325,2.8074
H19,12.664661,12.81125,10.445941,10.3945
RIMBP2,7.898507,8.1111,2.319559,1.585
GRIP2,8.084179,8.24035,5.108867,4.9217
SPATA12,1.352432,1.585,5.020774,5.2854
ACSM1,4.544961,4.4915,7.965472,8.1241
ITGA10,7.351964,7.67585,4.286277,4.1699
TSPAN8,8.178207,8.09815,5.496339,5.1699
TRIM71,5.327436,5.9865,2.622217,1.0
DEFA1B,4.059318,4.54265,1.029809,0.0
FABP4,6.611979,6.3309,3.877391,3.585
DDX3Y,9.221657,10.89605,6.434415,7.4179
HS3ST2,2.962143,3.16095,7.500317,7.5236
CTD-2626G11.2,5.489189,5.75265,1.711529,1.585
AC087762.1,3.741111,3.6427,0.808254,0.0
PRSS22,8.097939,8.46765,3.58121,3.1699
TMEM52B,10.198239,11.2239,5.841305,5.7549
TOP2A,5.302411,4.67215,8.977582,8.7912
KCTD4,2.153329,2.16095,5.554054,5.7814
TFAP2A-AS1,4.795889,4.93055,1.858897,1.0
PNLIP,4.681643,5.6832,0.203531,0.0
ATP1A2,7.784575,8.23705,5.449152,5.3923
FXYD4,9.822186,10.46965,1.570934,1.0
NEURL1,6.318539,6.71415,2.679301,2.585
MRGPRF-AS1,3.746486,4.1325,0.378003,0.0
ASB15,4.376286,4.3201,0.752096,0.0
CCL11,4.991518,5.2479,2.141918,1.585
RPL12P38,0.403657,0.0,3.463444,3.5373
HS6ST3,5.842939,6.10715,2.053907,1.585
LDHAP3,0.392925,0.0,4.000237,4.3757
RP11-521O16.2,1.454282,1.585,4.805339,5.266
HRH1,6.474464,6.6862,10.223513,10.4105
RGS11,7.651907,8.04455,5.06812,4.7835
UNC5C,6.720796,7.0873,4.190612,4.0
CTD-2515H24.2,5.777243,6.0196,2.40244,2.3219
C3,10.453596,10.7951,15.269738,15.2632
HNRNPA1P4,0.448021,0.0,4.236983,4.4263
AC108938.5,6.509321,6.2985,1.742498,1.5656
KCNJ1,10.721418,11.5639,3.749802,3.1699
FAM3B,7.863586,8.4388,4.147029,3.8074
ACTA1,6.18045,6.41785,1.979226,2.0
KRT4,5.752046,5.98865,1.515238,1.0
EIF5AP4,0.748864,0.4957,6.128168,6.3539
ITGAD,1.483336,1.2925,5.524844,5.2513
AC098617.1,0.593432,0.0,3.577265,4.0
PNMT,5.157968,5.4591,2.065332,1.585
NXPH2,3.73785,4.2849,0.445016,0.0
ADCY4,10.350964,10.66755,6.953592,6.8455
MRGPRF,8.649354,9.1344,5.271872,5.2095
HEPACAM2,7.093746,7.5196,1.470272,1.0
CKM,6.068496,6.2981,2.115804,2.0
ANXA2P2,5.443596,5.5087,8.887935,9.0099
SYT7,8.118232,8.2311,4.222669,3.9069
WFDC12,0.799957,0.0,4.522049,4.585
AMY2A,4.189411,4.8613,0.664426,0.0
CLIC5,10.559668,11.49365,6.926746,6.7814
BMP5,4.652671,5.4085,1.444709,0.0
SLC6A20,6.376025,6.98045,10.368143,11.0747
PLA2G4F,9.290746,9.79575,3.826748,3.4594
HAMP,1.976618,2.0,7.093617,7.3399
EIF1AY,7.420396,9.2105,5.023152,5.5546
RP13-895J2.4,6.126864,6.3531,3.029281,2.7929
RP11-573D15.8,5.027468,5.0531,0.980473,1.0
GDNF-AS1,4.855504,5.29435,1.079869,1.0
HSD11B2,12.052157,12.99465,7.731153,7.4838
KDELC1,6.562375,6.9129,10.103345,10.1007
BTNL9,9.684018,9.94785,6.820111,6.585
GPR17,6.136571,6.5653,3.579135,3.6334
RP3-333A15.2,5.203196,5.44285,0.622851,0.0
CGA,4.145854,4.35365,0.317345,0.0
TTR,4.174529,4.42585,1.20495,0.0
HSPB7,9.00785,9.14945,5.276681,5.2095
KRT13,7.034439,7.34425,2.438759,1.585
RPL23AP65,2.265693,2.6716,5.612694,5.6229
SLC52A1,3.085282,3.2459,6.352983,6.9069
RP11-320N7.2,1.672786,1.2925,4.759208,4.9069
AL158801.1,1.243211,1.35945,4.514644,4.6724
KCNV1,1.998936,2.16095,7.567386,8.2384
HTRA4,1.816996,1.585,5.371267,5.6147
P2RY13,4.136579,4.67215,7.388696,7.4512
SALL3,5.674157,6.96895,0.816347,0.0
TNNT2,8.729036,9.66175,3.286856,3.1699
FXYD3,5.961896,6.09705,2.998552,2.585
SLC5A12,10.200679,11.2576,5.99159,5.5236
KDM5D,9.083279,10.7702,6.354344,7.4429
FFAR4,1.881593,1.585,5.868374,5.858
YWHAZP4,1.184343,1.0,4.421887,4.6513
FGF1,10.228707,10.9081,6.56077,6.4594
TDGF1,7.403246,7.5769,3.158913,2.585
CACNA1C,8.507079,8.72905,6.214807,6.0224
DNASE1L3,9.029136,9.57635,6.510189,6.6147
RP11-316M1.12,3.773779,3.88555,8.671303,9.1261
GPX2,6.75995,7.2376,4.072476,3.1699
AC005943.2,1.039882,0.0,4.733387,5.627
RP11-352D13.5,4.688561,4.73015,1.584871,1.585
