"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000219928.2",7.20343112428679,7.25563410970355,31.9237278481782,7.82921152341565e-101,4.736516387436e-96,218.620679345014
"ENSG00000204253.4",3.89383963666651,7.92053188259411,28.3689882129998,7.96846364016661e-89,2.410380566514e-84,191.406418933934
"ENSG00000281769.1",-7.81556281214379,1.08872782493606,-28.1012596160637,6.8155898820208e-88,1.37443185560831e-83,189.290723827113
"ENSG00000249601.2",-9.16881097239786,1.41380326851695,-26.8881531912659,1.27324309309042e-83,1.9257165161446e-79,179.590570343709
"ENSG00000169347.16",-7.43959293604619,1.53520833275284,-26.5506327561102,2.02811823553189e-82,2.45394194026416e-78,176.859014829488
"ENSG00000122304.10",-3.61987266315136,0.327518714486163,-26.4526000450064,4.54331484001064e-82,4.58102435318273e-78,176.063005918641
"ENSG00000160882.11",-4.28601192329223,0.479862203325737,-26.1931449571465,3.86201826625055e-81,3.3377768724518e-77,173.950604438424
"ENSG00000248517.1",-4.35163404554251,0.563056681328305,-26.141373688072,5.92496988799648e-81,4.48061035355014e-77,173.528118562193
"ENSG00000265460.6",-7.05225537495848,0.977346209535372,-26.0443303924384,1.3227075560971e-80,8.89124019208473e-77,172.735310044402
"ENSG00000137392.9",-4.35619311593723,0.520383591238842,-25.7521333764394,1.49456251506033e-79,9.04180430361199e-76,170.341315859333
"ENSG00000106631.8",-2.94621080090785,0.367978289663545,-25.2549405928478,9.46619827836428e-78,5.20623694040439e-74,166.244415870751
"ENSG00000253802.1",-3.57505402486936,0.370519544925315,-25.0146354366926,7.1011836056372e-77,3.58006171478199e-73,164.253899163017
"ENSG00000142789.19",-4.70366015400965,0.577610087173721,-24.5516600116058,3.50980049939417e-75,1.63335315855653e-71,160.400240067192
"ENSG00000027644.4",-6.79865354312629,1.27551052602772,-24.4995271941382,5.45340085359368e-75,2.35657032029079e-71,159.964782513926
"ENSG00000151418.11",-7.24796410461475,1.06308225726199,-23.9705641146804,4.84961926713789e-73,1.95594844282206e-69,155.529400624417
"ENSG00000188816.3",-4.68197318530121,0.582290613400472,-23.8984386458216,8.96312370120095e-73,3.38906911047034e-69,154.922257906167
"ENSG00000175646.3",-2.9308527178964,0.274375490849745,-23.8802457638283,1.04660265763736e-72,3.7245510342203e-69,154.769024228596
"ENSG00000113073.14",-7.99201735668752,2.75916810496671,-23.7944955969022,2.17419986068813e-72,7.30748573177279e-69,154.046296669785
"ENSG00000234743.1",5.30112831959282,5.58006265909702,23.4476547413111,4.21625144783569e-71,1.34249884258507e-67,151.115080318191
"ENSG00000197616.11",-4.54581941799823,0.702178122978634,-23.4196441983121,5.35975092878373e-71,1.62127105844779e-67,150.877809395202
"ENSG00000249264.1",4.28850111544525,6.17644460637483,23.2856194085591,1.69151944205256e-70,4.87302586691886e-67,149.741397796889
"ENSG00000240854.1",3.97081994667787,3.63609239618267,23.0537374106502,1.24068198683006e-69,3.41176267451113e-66,147.770927405153
"ENSG00000214548.14",-6.64968823521615,6.59165117177004,-23.0002665214363,1.9657827169183e-69,5.17069229600537e-66,147.315780375247
"ENSG00000236060.2",4.84971510102278,5.10956029714695,22.9664968724785,2.62922924711052e-69,6.62762962465384e-66,147.028185011881
"ENSG00000219073.7",-3.69957187528751,0.454199040691021,-22.9393656532445,3.32146050239129e-69,8.03766869894673e-66,146.797043327137
"ENSG00000161992.5",-7.34558387619661,1.31315255450845,-22.7566183058796,1.6061849935543e-68,3.73734537461722e-65,145.238264096179
"ENSG00000177133.10",-9.60834645209819,3.0865190130263,-22.7308494063628,2.00641515621738e-68,4.49570756003107e-65,145.018201828007
"ENSG00000164853.8",-3.52068972781077,0.416797056394232,-22.6608483912357,3.67314468107518e-68,7.93635381841736e-65,144.420081553975
"ENSG00000256508.2",-3.5150186397244,0.632929305695151,-22.5778308203362,7.52910788973044e-68,1.57067575556177e-64,143.710134326295
"ENSG00000236058.3",4.06553321122938,5.14616289942183,22.4874494242113,1.64592339331656e-67,3.31916911496218e-64,142.936470724226
"ENSG00000165694.9",-4.98091219331396,0.790182422454199,-22.3154817895039,7.30420989398703e-67,1.42545190376267e-63,141.462321392679
"ENSG00000168269.8",-9.29119505341569,1.72958909731413,-22.303112361592,8.13143449738844e-67,1.53729851319689e-63,141.356182213456
"ENSG00000111245.14",-4.47603882346314,0.823838101682771,-22.0665008832329,6.34704188363272e-66,1.16358587841216e-62,139.32320075578
"ENSG00000230027.1",-3.2783182640759,0.380699026261581,-21.8092635437558,5.95841189612336e-65,1.0602117732108e-61,137.107366972288
"ENSG00000282408.1",-3.98955194260484,0.440878343898337,-21.7355105286547,1.13348654365041e-64,1.95924768336464e-61,136.47100766011
"ENSG00000216866.5",4.16613996455976,6.53871820000199,21.7228616814459,1.26570963832354e-64,2.1270250472027e-61,136.361823929086
"ENSG00000173253.14",-8.62221266852724,2.1377411149479,-21.1332088498109,2.19885702227767e-62,3.5953095171285e-59,131.257483124194
"ENSG00000248115.1",-6.36227702129377,1.48563181542258,-21.1286187828094,2.28916913109057e-62,3.64447773928203e-59,131.21764160708
"ENSG00000139304.12",-7.04861852967296,1.25595068813502,-21.0618999994052,4.11004004120116e-62,6.37562057468174e-59,130.638346588596
"ENSG00000206228.4",3.69975731169625,3.86935111156445,20.9788040225443,8.52311965572231e-62,1.28907923232972e-58,129.916388699797
"ENSG00000129170.8",-2.09961854563685,0.297680681467623,-20.7176476313031,8.46179826258185e-61,1.24858992997482e-57,127.644132392071
"ENSG00000175535.6",-4.77597958804973,0.609147788812706,-20.6257116214229,1.90050882444464e-60,2.73754721098219e-57,126.843078503942
"ENSG00000279537.1",-3.62285721203401,0.533376869110052,-20.5973931064672,2.43871096385943e-60,3.43109618352484e-57,126.59621830404
"ENSG00000091704.9",-5.30875551249355,1.13819403367533,-20.5715694893476,3.06146937353675e-60,4.20938123091423e-57,126.371059658595
"ENSG00000261250.1",-3.83924508776047,0.621362916836669,-20.522588312825,4.71327879787421e-60,6.33653201586209e-57,125.943865489001
"ENSG00000266680.1",2.96787166933576,6.66745312621282,20.4349490210955,1.02042252122267e-59,1.34203308019411e-56,125.179115975494
"ENSG00000213228.5",3.10458463217167,3.18647533162834,20.3455042370267,2.24574930575835e-59,2.89070939361209e-56,124.398099605746
"ENSG00000169344.15",-10.8256115828852,4.59678004408443,-20.2444686833664,5.47758151996972e-59,6.90380680823183e-56,123.515268246781
"ENSG00000118245.2",-1.92516041062092,0.178350462737215,-20.0188962346289,4.01830756304659e-58,4.96121573365699e-55,121.542025222745
"ENSG00000259757.1",-1.69725121592616,0.175747522614416,-19.6668087974443,9.06311739733502e-57,1.09660095260795e-53,118.456339104929
"ENSG00000142615.7",-3.46468292559462,0.507463397486292,-19.6313378180994,1.24096131896636e-56,1.47207211519268e-53,118.145112314969
"ENSG00000143882.9",-4.75377409662696,6.61277647702734,-19.547864779243,2.60037631123968e-56,3.02533780918035e-53,117.412465042208
"ENSG00000197099.8",-4.47406293576161,1.28638126113306,-19.5408446533175,2.76733798383626e-56,3.15883798766276e-53,117.350833657879
"ENSG00000104327.7",-7.54310542210947,4.48348225825712,-19.4280401051766,7.5243191062732e-56,8.42974550539475e-53,116.360177680749
"ENSG00000129467.13",-4.35976389690874,7.28102751196648,-19.4220395045772,7.93564128976332e-56,8.72891684996548e-53,116.307463626772
"ENSG00000008196.12",-7.83302790114005,2.0027375871986,-19.4034786726873,9.35586999401784e-56,1.01073468374659e-52,116.144400206895
"ENSG00000236272.1",-2.20173136411551,0.216628875797351,-19.3792750953333,1.15966761577587e-55,1.23083458630191e-52,115.931740097552
"ENSG00000187821.8",-2.70100336859554,0.338272255669775,-19.2855657422491,2.66359613083357e-55,2.7783144607443e-52,115.108138534391
"ENSG00000135346.8",-4.08668583878068,0.641871760093145,-19.280595293487,2.78373388237942e-55,2.85441241383373e-52,115.064443249807
"ENSG00000127412.6",-5.25087027299229,1.14262691538377,-19.2415250378869,3.93771929216122e-55,3.97040236228616e-52,114.720939969788
"ENSG00000243988.1",-4.43981898440022,0.655086782135358,-19.0807961699264,1.64106945445446e-54,1.62756425992764e-51,113.307171550801
"ENSG00000187021.14",-2.65923956499468,0.337717230741673,-19.0635808105895,1.91225508190107e-54,1.86592916040082e-51,113.155685968544
"ENSG00000214199.3",3.89433249211357,5.87541416473445,19.0568048367728,2.03090482434324e-54,1.95024888989076e-51,113.096058119901
"ENSG00000167580.7",-11.4544470390392,3.48619966314721,-19.0210505136334,2.79030755495224e-54,2.63762541342969e-51,112.781395694104
"ENSG00000259384.6",-3.61344526515654,0.57123340067072,-19.0057712090921,3.19606075760097e-54,2.97469667251297e-51,112.646913110903
"ENSG00000279473.1",5.37034429297698,4.89661195006419,18.9751376626096,4.19604839877429e-54,3.84625054589465e-51,112.377263044454
"ENSG00000260440.2",-3.62124997163924,0.54402729602245,-18.9537162957772,5.07599357741724e-54,4.58339491711325e-51,112.188682873275
"ENSG00000254789.1",-2.65775671678302,0.375898028142384,-18.9460798567796,5.43246836465347e-54,4.80963667033857e-51,112.121452602999
"ENSG00000188175.9",-6.25661871030468,1.91796426275513,-18.9449857783429,5.48555208855435e-54,4.80963667033857e-51,112.111820304618
"ENSG00000116218.12",-9.55457746120716,2.15071278547901,-18.8357258161031,1.44892794397944e-53,1.25224632506954e-50,111.149687960206
"ENSG00000111046.3",-2.30551166050202,0.321773089591896,-18.7746741657292,2.49357032316575e-53,2.12473263958988e-50,110.611903798529
"ENSG00000279460.1",-2.70435456208648,0.288795243758023,-18.6928985458351,5.16063156372182e-53,4.33622067141726e-50,109.891390166595
"ENSG00000095970.16",6.02986077954469,9.19418408383007,18.6385729207069,8.36747336139508e-53,6.93445758106411e-50,109.412627263093
"ENSG00000179270.6",-3.89311068545715,0.736156881847764,-18.5940577592067,1.2433885001732e-52,1.01652050653349e-49,109.020261683291
"ENSG00000204518.2",-3.85307562561302,0.628975319686732,-18.5412538538766,1.9891864307686e-52,1.60455734251518e-49,108.554769722047
"ENSG00000070985.13",-4.88124288521124,1.11306018171143,-18.4841607170259,3.30637555043295e-52,2.63196194802754e-49,108.051387386705
"ENSG00000162399.6",-7.7630739569088,1.90736240882087,-18.4596891867445,4.11101698508701e-52,3.22997799433499e-49,107.835601333636
"ENSG00000233534.1",-1.51078637755715,0.174681121316761,-18.3822092691938,8.19391075729462e-52,6.35532324352321e-49,107.152306280821
"ENSG00000235366.2",-6.74283591544244,1.60680995631363,-18.3566088896074,1.02914166917214e-51,7.88114084830074e-49,106.926508163705
"ENSG00000172179.11",-3.5535484285995,0.508359893620197,-18.3055627263779,1.62129117170767e-51,1.22606091632463e-48,106.476235808048
"ENSG00000235776.2",3.60697603229267,5.2453654972186,18.1703996969947,5.40259418588134e-51,4.03513756861049e-48,105.28374586086
"ENSG00000198618.5",2.56335719940323,11.2663109066664,18.1394993638325,7.11419212396225e-51,5.24871213555449e-48,105.011081899195
"ENSG00000231991.4",3.03740162927205,8.50699624088209,18.0861688981067,1.14398890401493e-50,8.3384386403729e-48,104.54046194598
"ENSG00000261320.1",-3.269089189775,0.632961184806297,-18.0739689014135,1.27531277117933e-50,9.1849847655723e-48,104.432796354541
"ENSG00000198398.2",-4.85889521697248,0.813611497775876,-18.0410682368136,1.70959972365093e-50,1.21679251860511e-47,104.142436725323
"ENSG00000223542.1",-2.51918629249436,0.363057314233399,-17.9655074296988,3.35137560878942e-50,2.35757583233189e-47,103.475538201357
"ENSG00000184672.11",-5.87931993747768,1.40018956353432,-17.9307201114235,4.56893838959067e-50,3.17714522636157e-47,103.168485616242
