Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
MOGAT2,11.233082,11.73425,8.275688,8.9248
FGF23,3.998635,3.5222,0.572842,0.0
KRT1,5.943161,6.30335,1.126008,0.0
ESM1,2.420913,2.3219,8.067577,8.1948
RP11-452N17.1,3.690663,3.87225,7.856901,7.8398
NCAPG,4.123924,3.9281,8.620419,8.7852
DEFA1,5.534192,5.7112,1.354724,1.0
CYP2E1,16.443153,16.60375,13.914424,14.9793
RMI2,4.045431,3.9069,7.753445,7.6439
RP5-940J5.9,2.73781,1.58055,6.543183,7.7015
KCNJ5,2.271515,2.0,6.792692,6.7279
MEP1A,1.244865,1.0,4.47207,3.8074
RAD54L,3.098865,2.7708,6.464578,6.463
MYH7,5.996242,6.1301,0.501018,0.0
RP11-362F19.1,5.360302,5.4594,2.139997,1.585
S100A12,5.668934,5.6427,2.063594,2.0
PLP1,4.780081,4.85455,0.78897,0.0
LYZ,8.098496,8.0027,12.394265,12.2794
PTGS2,6.744063,6.9827,4.308818,4.2479
AKR1B15,1.03655,0.0,4.966145,4.796
MBL1P,7.39176,7.47135,3.409113,3.585
FTH1P7,4.270388,4.2713,8.728029,8.7416
FATE1,0.617353,0.0,3.620927,3.7004
GNG4,1.578492,1.0,5.134176,4.4594
CENPE,3.475011,3.1699,7.395152,7.4594
KRT6A,5.51048,5.56195,1.669483,0.0
RP11-830F9.5,6.88903,6.98405,2.513337,2.0
NEK2,2.708625,2.3219,7.875534,8.1497
CTHRC1,3.164408,2.9037,6.89069,6.7142
ALDH3A1,4.343093,4.0875,7.802729,7.1898
PKD1L3,5.285782,5.3746,2.083017,2.0
PBK,2.662889,2.0,7.477833,7.5078
CYP8B1,13.716905,13.7771,11.53452,12.6702
FAM198A,8.581366,8.55665,5.623916,5.4512
HLA-DRB6,3.538942,3.9923,7.233225,7.4139
MMP11,4.173557,4.0875,8.936693,8.9764
RP11-286N22.16,5.639446,5.7279,1.993634,1.585
VIPR1,9.587508,10.17415,5.946068,5.9542
FREM2,6.341685,6.2288,3.504493,2.585
RP11-443P15.2,1.607387,1.0,6.01642,6.585
HTR1D,0.532024,0.0,3.616372,2.8074
TIAF1,9.131129,9.1495,6.760133,6.8878
RP11-6B4.1,5.790724,6.0334,2.680785,2.0
DLGAP5,2.681614,2.3219,7.444435,7.5392
PLIN4,12.471145,12.479,10.26015,10.29
TTK,2.805418,2.585,7.176066,7.1997
MPO,4.692631,4.61445,2.020479,2.0
RP11-434D9.1,7.612885,7.9387,5.076464,5.2095
CCDC64B,5.673387,5.6293,2.74413,2.0
CRNN,4.318705,4.61445,0.153357,0.0
RP11-1143G9.4,4.563491,4.8923,8.447071,8.479
PRSS53,9.88137,9.97195,5.625882,5.712
FAM163B,6.480405,6.38365,2.649141,2.0
CXCL9,5.365183,5.4093,9.080507,8.8918
AKR1B10,6.659769,6.4593,12.147593,13.0069
TRIM71,0.547864,0.0,4.856881,4.4594
DEFA1B,5.493274,5.66295,0.894924,0.0
MTND5P1,5.227426,5.30365,2.609865,2.8074
OR2I1P,4.635532,4.3571,9.430761,9.8673
DEFA3,4.373428,4.47985,0.741788,0.0
HPN-AS1,7.176182,7.2748,4.664111,4.8585
TOP2A,5.056692,4.585,10.270207,10.3253
PNLIP,5.446017,6.41785,0.30026,0.0
SKA1,2.202791,2.0,7.126978,7.3399
SLC25A27,8.978555,9.12665,6.482056,6.6147
NCAPH,3.368541,3.0,7.484612,7.585
PAGE4,0.253704,0.0,3.81143,2.0
GDF2,7.736066,7.92475,1.428597,0.0
FAM72D,1.995122,2.1763,5.691607,5.8369
DEPDC1,2.412389,2.0,7.192678,7.3129
RPL12P38,0.239662,0.0,3.360877,3.3533
CENPA,2.259504,2.16635,6.442689,6.562636
LINC01093,8.170678,8.3922,3.717304,3.4594
FAM72A,3.111032,2.9955,6.427116,6.4328
RP11-415J8.3,6.896685,6.9562,4.375866,4.585
RGS11,6.745365,6.886,3.837273,3.9069
TBCAP1,0.566085,0.0,3.673798,3.6311
UGT1A10,2.044757,0.0,6.23708,6.9902
HNRNPA1P4,0.214282,0.0,3.618898,3.7148
ACTA1,6.285051,6.5543,2.341522,2.3219
KRT4,6.126046,6.34875,0.758257,0.0
EIF5AP4,0.583822,0.0,5.585911,5.749
GPM6A,6.727116,6.81995,4.249373,4.2479
MAGEA1,0.096227,0.0,4.810904,4.4594
CYP1A2,10.327885,11.0914,6.248071,5.7814
CXCL14,9.16891,9.28425,4.300535,4.0
CENPF,4.581832,4.1699,9.480057,9.6528
TDRD15,5.401504,5.39195,2.582644,2.3219
CKM,5.992639,6.1496,1.478556,1.585
RP11-981G7.6,6.750669,6.73295,4.204214,4.1699
ALAS2,4.531647,4.5543,1.763175,1.585
ANXA2P2,3.90376,3.71695,7.442581,7.4575
CSF3R,9.443621,9.3739,7.103428,7.0
ALLC,5.678629,5.8074,1.772573,1.585
AMY2A,4.783567,5.37225,0.493798,0.0
BMP5,5.543132,5.6293,2.935817,2.8074
OR51E1,1.118654,1.0,4.323249,4.3923
TPX2,6.232573,6.1293,9.874209,9.8719
HAMP,13.060959,13.3102,7.336671,7.0661
CXCL2,12.273869,12.48225,9.51112,9.7162
ANGPTL6,9.206517,9.2531,6.635971,6.9657
LYPD1,3.758204,3.80725,7.603363,7.6903
CDCA2,2.332425,2.0,6.114266,6.1085
UPK3A,0.49008,0.0,4.559129,3.585
UBD,7.088747,7.0056,13.528758,13.7994
CLEC4G,8.883286,8.9805,3.410328,2.8074
GPR17,5.672236,5.697,3.112242,3.3219
NR1I2,11.162198,11.57425,9.023763,9.8978
FAM169B,5.969002,6.2571,2.595803,1.585
KRT13,7.294675,7.61835,1.178331,0.0
SAA2,15.09116,16.1328,10.790018,10.958
RPL23AP65,1.821058,1.99815,5.213148,5.3331
TMEM150B,3.481659,3.39065,7.338494,7.5622
AL158801.1,1.091214,1.06695,4.814225,4.8679
COL6A6,4.988625,5.1897,2.014257,1.585
SAA1,15.991485,16.9469,12.093673,12.4065
LINC00853,1.372786,1.0,4.705072,4.7549
ATF5,15.518275,15.6385,13.377656,13.5543
CES4A,9.420881,9.6044,7.001412,6.974
PGA5,5.041986,5.2016,1.486158,1.275
NDC80,3.56704,3.4594,7.936685,8.0498
SLCO1B3,10.645919,11.03745,7.070439,7.8642
PLCH2,9.089624,8.98105,6.837624,6.5699
RP11-258F1.2,7.64811,8.6466,4.931054,5.0295
RIC3,7.161537,7.1997,3.026921,2.585
MYH2,3.742321,3.85715,0.443016,0.0
SPC24,4.177823,3.9069,8.351856,8.4512
IGF2BP1,1.307409,1.0,6.332857,7.3219
CNDP1,9.433386,9.5555,5.293638,5.0
TRIM31,3.608755,3.2459,7.218603,7.7142
MPPED1,9.397632,9.4315,7.098014,7.6073
AC104534.3,2.662895,0.0,6.167408,7.7054
CKS1BP3,0.693495,0.0,3.876857,4.0391
MT1X,13.682705,13.8389,10.838512,10.9443
DIAPH3,2.151851,2.0,6.593222,6.5546
RP11-69E11.4,7.33195,7.40515,4.679736,4.6439
XXbac-BPG246D15.9,1.85018,0.0,5.547102,6.3756
NBPF8,11.553411,11.67555,9.233049,9.378
RP11-524F11.1,6.156168,6.26665,3.445414,3.585
KRT14,5.207475,5.38695,1.607201,0.0
RP11-158M2.3,5.584828,5.69745,2.952797,3.009
CNTN3,7.526433,7.5038,3.892065,3.9069
ACTC1,4.342558,4.585,1.663673,1.0
PRL,4.194553,4.88245,0.265122,0.0
MUC6,8.523276,8.59185,4.003495,2.8074
GTSE1,3.794356,3.4594,7.157396,7.1085
MTND4P20,9.890844,10.4486,6.691285,6.9773
NEIL3,1.361888,1.0,5.440982,5.6147
APOF,11.900157,11.9911,9.851906,10.3815
CTD-3080P12.3,8.525207,8.92475,4.966357,4.9069
DES,8.082408,7.9508,3.906139,4.0875
RP11-571M6.7,5.18195,6.9743,1.669106,0.0
PRIMA1,4.76629,4.67215,1.357752,0.0
RP11-284F21.9,1.633083,1.585,5.061039,5.1293
DEPDC1B,3.221565,3.0,7.02814,7.1189
RP1-232P20.1,5.402273,5.47565,2.457265,1.585
FAM111B,3.582495,3.08495,7.828529,7.9069
MTND4P12,4.756097,4.5546,9.838291,11.0982
RRM2,5.669665,5.0875,9.864017,10.1548
SNX29P2,7.26993,7.2108,4.787716,5.0201
XAGE1B,0.282017,0.0,4.016309,1.7181
MYL2,4.668815,4.78115,0.410428,0.0
GLS2,11.374376,11.5712,8.836822,9.4918
CDT1,4.514705,4.2849,8.513553,8.6653
AC006128.2,8.733918,8.759,6.31803,6.3092
AC009065.4,0.0,0.0,4.225406,4.6565
NTF3,6.308482,6.45115,3.487219,3.585
LDLRAD1,0.662986,0.0,4.851495,5.0
UBE2MP1,0.991093,1.0144,4.254658,4.3161
IGFALS,10.860201,11.16305,7.99767,8.0056
RAB3B,4.376705,3.6962,7.798196,8.3487
SMUG1P1,4.223495,4.42585,1.272549,0.0
ASPM,4.783554,4.42585,9.21683,9.3619
CPVL,5.606209,5.33975,9.339494,9.388
CDC20,3.832043,3.4594,8.916456,9.0713
RP11-132A1.6,6.122285,6.49985,3.300474,3.585
LINC01595,7.296976,7.3923,4.364713,4.3219
CTRB1,4.965946,5.84435,0.359695,0.0
KIF4A,3.222576,3.0,8.339382,8.5038
ANLN,3.71068,3.1699,8.403258,8.4878
IL4I1,3.18809,3.0,6.476775,6.3219
IGF2BP3,1.282481,1.0286,5.122763,4.4376
SBSN,4.004573,4.0875,1.047952,0.0
KRT23,3.717789,3.1699,7.229493,7.7347
PRR11,3.094931,3.0,7.027971,6.9069
MT-TA,0.465051,0.0,4.56136,4.6439
XAGE1A,0.130545,0.0,4.06588,1.585
THBS4,3.145605,3.2765,8.012118,8.0661
FCN2,8.940983,9.0196,3.834509,3.4594
PKD1P1,8.284825,8.66675,5.453361,6.4443
RP11-328N19.1,0.105318,0.0,3.230377,3.3219
AF064858.6,7.700059,7.40085,5.059938,5.2095
PROK2,4.349751,4.2479,0.991014,1.0
NPIPB5,12.136679,12.17425,9.962245,10.0405
ZIC5,0.275818,0.0,4.439031,4.9542
SLC5A1,6.420232,6.375,2.941144,2.0
TG,6.565967,6.51555,4.096585,3.8074
GP2,5.596175,6.23835,2.746431,1.585
CTD-2240E14.4,6.873933,6.88065,3.92268,4.1035
MKI67,5.588529,5.2287,9.884886,9.9614
STMN1,7.544024,7.22395,11.474628,11.444
BMPER,7.16303,7.14465,3.188902,3.0
CDC25C,2.022505,1.585,7.068015,7.3663
MT2A,15.143546,15.173,12.944527,12.7977
LINC01419,0.0,0.0,4.290982,2.585
AVPR1A,9.577815,9.8811,7.091624,6.9542
SPP1,8.182611,7.7944,11.950146,12.1539
AC000089.3,1.676584,1.6531,5.072755,5.1436
OTX1,1.631965,1.585,4.789253,5.0875
HJURP,3.988104,3.85715,7.870371,8.0821
KRT16P1,3.760803,2.3219,0.614687,0.0
