Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
FMO2,12.546445,12.79995,9.777333,9.8626
KRT1,6.48636,6.7279,2.717721,2.585
IGHV3-43,3.144083,3.0,6.999217,7.1699
MT1A,7.643706,7.633,4.433499,4.2479
RP11-452N17.1,3.968859,4.15705,7.574178,7.5269
IGHV1-24,4.354045,4.4915,8.012517,8.2046
RP11-106M3.2,7.170144,7.27195,4.542957,4.6011
PTPRH,2.90896,3.0,8.247321,8.6439
MUSK,5.558842,5.6439,2.791257,2.8074
DEFA1,9.068908,9.31015,1.798051,1.585
ADIRF-AS1,9.75989,9.94385,7.286997,7.2501
HOXC13,0.190718,0.0,3.786618,3.4594
LINC01127,6.46185,6.6439,3.022937,3.0
IGHGP,4.637183,4.6282,11.17002,11.3305
ONECUT1,0.339173,0.0,3.63032,3.7004
RMI2,5.464127,5.5546,9.189247,9.2119
RP5-940J5.9,0.981946,0.0,7.274059,8.4278
SOSTDC1,8.500088,8.7021,4.637033,4.3923
OGN,9.203367,9.314,6.698487,6.858
MYH7,7.002674,7.1851,1.338103,1.0
ANKRD1,9.551482,9.6475,5.360651,5.3576
PRG4,10.623853,10.6047,7.169687,7.083
S100A12,8.987523,8.8857,3.705836,3.585
PLP1,5.606219,5.7414,1.97168,1.585
MMP8,6.396573,6.47535,3.290984,3.0
FGFR4,11.811491,12.00185,8.471827,8.592504
AKR1B15,0.835456,1.0,4.1373,3.585
RP11-169F17.1,0.875917,0.0,4.955782,4.3923
BPI,5.743333,5.6724,3.040798,3.0
TIMP4,7.137843,7.3663,4.333872,4.3219
RP11-343H5.4,4.592998,3.1643,1.554186,1.0
FGF10,6.340564,6.36335,2.911369,2.8074
IGHV3-21,6.19729,6.29985,9.884577,10.0466
RP11-57A19.2,0.999502,1.0,4.240455,4.2479
SPDEF,4.838724,4.9069,9.925832,10.1573
GNG4,2.349444,2.3219,6.42858,6.0
CDO1,8.447572,8.6017,5.679901,5.6724
LRRC32,12.814123,12.79955,10.273103,10.2784
BPIFA1,3.998902,3.4594,8.914951,8.8041
XDH,3.197528,3.3219,8.803985,8.9366
PRX,11.711827,11.8061,8.630939,8.69
STRA6,3.211349,3.0,8.061332,8.2336
NEK2,4.095878,4.0,8.904056,8.9773
CTHRC1,7.016867,6.97155,11.06011,11.2318
AC079779.4,3.844948,3.8074,0.51202,0.0
RNF112,7.526648,7.60345,4.746944,4.8074
PBK,3.979975,3.7004,8.11768,8.1293
IGKV1-12,2.717928,2.843,6.412169,6.42
LCAT,10.008718,10.1955,7.52109,7.5344
CHRNA5,3.538536,3.59455,7.234599,7.2109
MMP11,5.062107,5.1105,11.116172,11.0324
PGLYRP4,1.331587,1.0,4.779712,4.9069
RP6-159A1.4,8.71958,8.78135,5.502989,5.6147
MSL3P1,3.083097,3.5801,7.74001,8.1016
VIPR1,12.975641,13.2529,8.793449,8.9146
CA4,10.421856,10.5651,4.917043,5.0444
ARSE,4.319692,4.6439,9.014566,9.2831
LOC100421166,4.049366,4.2479,1.085623,1.0
IGFN1,7.453247,7.43875,4.555177,4.7004
PROC,2.770713,2.8074,6.000924,5.8329
SMAD6,11.258729,11.5063,8.719048,8.7482
TMPRSS4,4.825273,4.8327,11.38743,11.7768
P2RX2,6.482833,6.81125,2.801097,2.7485
IZUMO1,6.205135,6.2479,2.189776,2.3219
DLGAP5,4.674583,4.42585,8.969853,9.0553
IGKV1-33,7.105343,7.10875,10.645226,10.8451
F2RL3,10.54046,10.78945,7.51894,7.5546
MYOC,7.032534,7.1798,2.151655,2.0
PLIN4,8.723206,8.8673,5.991879,5.9542
TTK,4.551172,4.4594,8.303477,8.3487
DRAIC,2.548097,2.585,6.013147,5.4263
MPO,7.781201,7.8609,3.988128,3.9069
AOC4P,7.230357,7.3023,3.450946,3.5619
PTX3,9.965969,9.84705,5.906098,5.9542
