"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-40C6.2",8.07299448408188,5.82806235734924,126.774499241869,0,0,1213.49180277144
"AC009065.4",5.17938704531525,3.32229932624953,80.5517707643897,0,0,878.214789936049
"HNRNPCP2",3.60551333012221,7.1314486467475,72.1326693912801,0,0,800.428465140529
"RP11-64K7.1",3.81506151708382,2.66819286804522,70.2922382578416,0,0,782.540770764884
"EIF5AP4",4.98674590382871,4.24325288975589,69.1159611258239,0,0,770.798939601753
"HMGN1P37",4.0323792311945,2.8861193207623,65.227481547788,9.88131291682493e-324,8.20050158967301e-320,731.451834005508
"RP11-286H15.1",-6.61759540977403,4.68657845173147,-63.1257272944391,4.95746811709906e-314,3.52645953461186e-310,709.337644551769
"RP1-18D14.7",-5.27763470902206,4.12016357769012,-61.6643178634056,3.04832316177708e-307,1.8973525439691e-303,693.74390412424
"TAL1",-4.20778720502036,7.80979605502343,-61.3273864266791,1.15914486788545e-305,6.41316217238756e-302,690.114232803457
"ADCY4",-3.78593399854984,9.41794134806784,-60.4595888278622,1.44466503146479e-301,7.19356505767576e-298,680.705507441578
"KANK3",-4.07136087753312,8.5224148404478,-59.4250603005391,1.23501856194286e-296,5.59059220667117e-293,669.374787056979
"RPL37P6",4.31694130794992,3.17922681396524,58.5026455593028,3.42678527376587e-292,1.42194454934915e-288,659.166036358068
"BTNL9",-6.37399615644063,9.09684902473778,-57.8294176671321,6.38698711588286e-289,2.44641258806362e-285,651.651475597186
"RPL12P38",3.49130296584824,2.75442449535791,57.6955297649517,2.62814965115925e-288,9.34757740927313e-285,650.239775884452
"CORO6",-4.99437154550514,7.10231018335854,-57.6138882413057,7.19835473759711e-288,2.38956583869274e-284,649.234314350199
"HMGN1P36",3.37846816593261,2.42777268030389,57.1633013896303,1.06149413741234e-285,3.30350244239437e-282,644.250914841985
"GRASP",-3.94431490937679,9.35693918988238,-57.1430634279975,1.45734420435909e-285,4.26864690069745e-282,643.93465485238
"PEAR1",-3.74189863611508,9.04469427425457,-56.589408338855,7.76930742867064e-283,2.14924941168459e-279,637.66852579331
"ARHGAP6",-3.67666255838113,8.29950293297982,-55.5357262482686,1.3311386427221e-277,3.48856408293181e-274,625.640671279433
"SHANK3",-3.50258234216854,10.7886025013831,-55.3999267342952,6.35353241612578e-277,1.58183896564284e-273,624.080679409084
"DEFA1B",-8.1357100175241,4.25538446126931,-55.2817900632006,2.4792021992808e-276,5.87854258623754e-273,622.721756249778
"HMGN2P17",3.27197187516913,2.19366300583981,54.9050505270026,1.77422915818243e-274,4.01572575920619e-271,618.459146687548
"FCN3",-6.49065422618628,9.82909033235111,-54.501344544238,2.0852736964174e-272,4.51452688866991e-269,613.701352960583
"YWHAZP4",3.87090840976016,4.27988163581578,54.4535877625166,3.63397025427922e-272,7.53957978506582e-269,613.146950493653
"RP11-10G12.1",3.72555019674426,2.56813405332575,54.4234419954543,5.02881694762928e-272,1.00161964436101e-268,612.822670065694
"LGI4",-3.91409401867306,7.33983016412812,-54.2312040340898,4.84434515849921e-271,9.27766626239652e-268,610.561627191814
"FAM83A",7.82700598343191,8.39678943226363,54.1922982574218,7.62601640367351e-271,1.40640689186859e-267,610.108701534743
"MYH7",-6.02115591541576,3.41908644986147,-54.0880688028087,2.57413196971437e-270,4.57772597499848e-267,608.894383486287
"DEFA1",-7.65581072186342,4.48984953881714,-53.9142743328985,1.96279144221859e-269,3.37018058875284e-266,606.866621235088
"GPR17",-5.29505909319302,5.24698815152598,-53.4111372962662,7.17931168941816e-267,1.19162215420963e-263,600.975170661963
"PADI4",-5.58335576601927,4.69797445870965,-53.2183549790228,6.94698614631752e-266,1.11586525216043e-262,598.709489270707
"MYL2",-5.04527716008966,2.5351583335104,-52.8547008649583,5.08890369174763e-264,7.91865220084004e-261,594.423070851745
"ARG1",-5.63379077248218,3.44209088635084,-52.4109622915074,9.81209689394713e-262,1.48055622041577e-258,589.170410768729
"ADAM33",-4.98660001342723,7.65279837975983,-52.3739900387022,1.52278275548015e-261,2.23016013312878e-258,588.731652726312
"SLC11A1",-4.4730237975196,11.3332221755854,-52.2965405118347,3.82581911042696e-261,5.44293819384571e-258,587.811989302342
"GOLM1",3.32846881293956,12.0058561462496,52.1249934495201,2.95154434853281e-260,4.08247775807896e-257,585.772313913801
"TBX3",-3.71655972431179,9.61955591055815,-51.9688665088292,1.90105468621476e-259,2.55840856879399e-256,583.912789223515
"VIP",-4.42669990199982,3.80960012764567,-51.819622377477,1.13112027543272e-258,1.48218428933939e-255,582.132394731952
"IL18R1",-3.96445822901902,8.54954286527233,-51.7255855612429,3.48448457987894e-258,4.44888269667928e-255,581.009161317281
"B3GNT3",6.35207712423629,7.74472859525572,51.5839811092355,1.90037526679627e-257,2.36568215087134e-254,579.315664556885
"LIMS2",-3.65954562377182,10.2733058012676,-51.5439480696197,3.07120636590805e-257,3.72994267765916e-254,578.836440730326
"OCIAD2",3.07771883141938,10.7089019570596,51.5086961736318,4.68762571058147e-257,5.55751511030223e-254,578.414284531805
"TBX2",-4.00076076974237,10.9531358868024,-51.5024794173848,5.05063461292369e-257,5.84863488176564e-254,578.339820144373
"AC007278.3",-5.21166204584136,3.35688090878842,-51.1554126334266,3.27409744308594e-255,3.70523654729594e-252,574.17497380236
"YWHAZP5",4.1066006994875,4.585539413929,50.9611343220168,3.40491133493748e-254,3.76764788915282e-251,571.837020715998
"USHBP1",-3.32413322927849,7.57108942281694,-50.7283246002959,5.66919901205681e-253,6.13678468709471e-250,569.029145378251
"PGLYRP1",-4.93867281787212,2.64922155030624,-50.6392651462052,1.66549021141901e-252,1.76449828909358e-249,567.953217592507
"ADRA1A",-5.72433936880121,4.00262917392948,-50.6251394135798,1.97612504038164e-252,2.04998271376591e-249,567.782473080346
"STARD8",-2.98996743209532,9.51887763508204,-50.2522418252565,1.82141159991258e-250,1.85092590216423e-247,563.266022205019
"TMEM182",2.77920889059474,7.18558768010337,50.2163382498669,2.80520862719501e-250,2.79365116765097e-247,562.834831921295
