Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
PFN2,9.394811,9.45325,13.328585,13.5177
FMO2,12.546445,12.79995,9.555086,9.5033
TLL2,2.321986,2.3219,5.854919,5.6439
SERPINB12,0.310152,0.0,3.615643,3.1699
IGHV3-43,3.144083,3.0,6.918604,7.23925
MT1A,7.643706,7.633,3.664029,3.4594
PKMYT1,5.918945,5.8367,10.331274,10.3443
IGHV1-24,4.354045,4.4915,8.339222,8.6777
KLK8,0.998288,1.0,6.225635,6.58985
NCAPG,5.799824,5.7711,10.341819,10.41535
MFI2,7.196461,7.2761,10.927161,10.96075
PTPRB,12.457929,12.581,9.572521,9.64505
PTPRH,2.90896,3.0,7.683727,7.90085
GRIP1,4.131999,4.26565,7.789331,8.078
SLC2A1,8.970068,8.97585,15.230337,15.3412
MUSK,5.558842,5.6439,2.547487,2.585
DEFA1,9.068908,9.31015,1.88972,1.8074
WFDC1,9.650019,9.76985,6.724963,6.8392
HOXC13,0.190718,0.0,7.159035,7.7074
CENPH,5.861352,5.9542,9.594925,9.6239
SERPINB3,3.169264,2.8074,10.451474,10.9578
IGHGP,4.637183,4.6282,11.453516,11.79325
FGFBP1,5.221753,5.50775,10.830375,11.32645
OGDHL,2.371835,2.3219,7.106786,7.3398
VNN2,9.503427,9.51375,7.017728,7.0768
NRAP,4.411965,4.57865,1.073945,1.0
EN1,0.795361,1.0,5.528575,6.21915
GABRA3,0.455999,0.0,8.029286,8.42
RMI2,5.464127,5.5546,10.150702,10.18675
GALNT16,8.040375,8.12145,5.287841,5.2479
RP5-940J5.9,0.981946,0.0,8.302431,9.7394
CAPN3,10.011525,10.11285,7.303243,7.3177
CLCA4,1.936099,2.0,6.717196,6.69345
RAD54L,5.074936,4.9991,9.618861,9.6891
OGN,9.203367,9.314,5.492288,5.5698
MYH7,7.002674,7.1851,1.26318,1.0
KC6,2.348821,2.585,6.211317,7.06605
AKR1C2,9.327608,9.40065,13.463583,14.0638
