Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
DNM1P41,6.770897,6.76035,4.659347,4.7004
LINC00636,0.777692,1.0,5.051494,5.0
DNAH3,2.180247,1.7925,7.150363,7.2384
LINC01224,0.669297,0.0,8.666149,8.7415
IL32,8.0422,8.01065,12.091789,12.1874
KRT1,6.126474,6.3209,1.05094,1.0
RAET1K,0.327468,0.0,3.992196,4.0959
HOOK1,5.438792,5.2854,10.445387,10.4727
CTD-2591A1.1,3.638528,3.8074,1.517942,1.585
LINC00592,0.045455,0.0,3.494788,3.4594
ESM1,3.618807,3.9069,8.508355,8.6402
ADTRP,1.715445,1.585,6.035099,6.0224
NPHP3,11.768862,11.8154,9.40976,9.5058
RP13-554M15.2,6.392618,6.4838,3.700996,3.9069
PSORS1C3,0.757691,0.0,4.382023,4.3219
PKMYT1,3.249822,2.9954,10.33591,10.3686
HLA-DRB1,9.192845,9.0896,13.345252,13.5165
EFCAB1,8.328999,8.60915,5.936518,5.6439
KLK8,1.295118,1.0,11.800692,11.948
RP11-95H3.1,5.532209,5.67215,1.187209,1.0
HIST2H3PS2,4.101989,4.5748,1.435895,0.9635
RP11-554A11.9,4.186873,4.1699,2.003283,2.0
RP11-106M3.2,8.812415,8.9109,5.929911,6.1473
NCAPG,3.906138,3.85795,10.096739,10.2015
AC012499.1,0.206477,0.0,3.723486,3.7004
CTD-2027I19.2,5.200314,5.3219,3.025982,3.1699
CH507-39O4.2,0.240568,0.0,4.29395,4.3923
SLC2A1,9.573926,9.43135,14.04266,14.1319
LEMD1-AS1,9.120983,9.46655,4.970411,5.2479
RP11-774O3.3,9.764184,9.85175,7.645502,7.8009
RPRM,8.217231,8.2428,5.855209,6.0
TNNT1,4.290097,4.4594,11.333186,11.7004
KRT8P10,0.141928,0.0,4.441143,4.5211
PHLDA2,4.826203,4.61445,9.628717,9.6546
RLN1,0.397749,0.0,3.755761,3.8074
EVPL,5.032212,4.8074,11.423637,11.6083
XCL1,1.624507,1.585,5.612713,5.8063
RP1-118J21.25,0.551661,0.0,4.227731,4.3219
AC003090.1,6.168989,6.23815,1.78397,1.585
PWAR6,9.47929,9.6027,7.022828,7.3837
C11orf85,0.832115,1.0,5.187675,5.2095
RP11-166D19.1,12.502707,12.51755,10.280957,10.4757
CTD-2224J9.8,4.292949,4.2847,1.972268,2.0
MEF2C-AS1,6.330449,6.324,2.471017,2.585
LINC01127,2.619509,2.585,6.633023,6.6865
FGFBP1,1.787635,1.585,5.94217,6.0
JAKMIP3,8.427716,8.44875,4.16333,4.0875
LA16c-380H5.5,0.697941,0.0,7.329878,7.3219
RCAN3,5.789767,5.858,10.639839,10.7362
HES7,4.351947,4.42585,1.872569,2.0
IGLC3,5.973869,5.49705,10.564026,10.8056
PRRT1,10.605698,10.68995,8.245215,8.2288
WNK4,8.190166,8.4129,4.973631,4.8718
GABRA3,0.277948,0.0,4.685559,4.1699
