"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000267125.2",-5.81286766115538,1.08012810408085,-88.2214520336758,3.32031416754848e-314,1.70740515437846e-309,709.012133012444
"ENSG00000234648.1",-8.15533972450365,1.59206568574276,-81.1370192012581,1.31011468425619e-296,3.36850137042531e-292,668.825877891716
"ENSG00000129824.15",-3.96573110048873,0.704093185843749,-80.1402969079856,4.55906818202663e-294,7.81469877081184e-290,663.016982158276
"ENSG00000165215.6",11.9632916160102,12.6423033114632,76.8767513806292,2.37685304032291e-285,3.05562284731312e-281,643.082543096046
"ENSG00000267361.1",-6.84260944715996,1.44496031844896,-75.6884523854986,3.20544495951774e-282,3.29667192306561e-278,635.923163449883
"ENSG00000145103.12",8.4682501615215,8.14517882893314,71.9410248034243,1.04890193273776e-271,8.98961401452898e-268,611.856360142951
"ENSG00000267636.1",-5.39212031939989,1.04412817868663,-70.8217747028037,1.38287716896604e-268,1.01588132371058e-264,604.712703075551
"ENSG00000129354.11",9.81135243967938,10.6480206847522,68.5589629590146,6.61975116060627e-262,4.2550932991482e-258,589.411667785768
"ENSG00000130768.14",8.82906946193589,9.61844384826073,66.6302456232243,3.84602048490346e-256,2.19748790439101e-252,576.204225441904
"ENSG00000189143.9",8.57567340401621,12.8928973367017,64.8410556500367,1.12598892889736e-250,5.7901728690689e-247,563.674908329841
"ENSG00000259614.2",-4.61396743036116,1.02305838795085,-63.8066101610589,1.56475541044251e-247,7.31494704283503e-244,556.469966524403
"ENSG00000125850.10",8.6542988387797,8.06662792355866,63.7332210269821,3.131475009155e-247,1.34191532829815e-243,555.778890507197
"ENSG00000119888.10",8.70355121631594,12.4670982570308,63.0285947846158,5.13599633164128e-245,2.03160261047684e-241,550.70046017291
"ENSG00000104413.15",9.02544094803922,11.2567943653134,62.8557907669704,1.80600404809425e-244,6.63358186893934e-241,549.448249787812
"ENSG00000147676.13",9.50877792187923,12.5061100445199,62.5404378523744,1.80416290743804e-243,6.18503127927908e-240,547.156147918296
"ENSG00000012817.15",-3.18922090973129,0.572640555214349,-62.411047566798,3.96028261694683e-243,1.27281008132036e-239,546.373355903587
"ENSG00000271945.1",-5.42263986239391,1.06489017190974,-62.1303982803133,3.25537330652049e-242,9.84712126712961e-239,544.275237278411
"ENSG00000253313.5",8.30759766540541,8.65994689443767,60.3284921339655,2.3853319602873e-236,6.8144958552141e-233,530.823071690315
"ENSG00000267662.1",-4.22612866295178,0.873763638225379,-60.0686549193405,1.44695287348131e-235,3.91613987436997e-232,529.027240873582
"ENSG00000198932.12",-6.55400390039863,8.12239990352838,-59.1879478137675,1.33868627312384e-232,3.44196321114236e-229,522.222071795549
"ENSG00000175707.8",7.71363596900994,8.92133853609437,58.7674304271558,3.33087100768352e-231,8.15635142038618e-228,519.019378860629
"ENSG00000184205.14",-5.4630358512721,10.8408860074909,-58.4825030716765,2.96867196124244e-230,6.93900083013501e-227,516.839586827542
"ENSG00000052344.15",8.72242442252918,11.4957052804492,57.7638410105636,7.65524771727461e-228,1.71154697115397e-224,511.306224995902
"ENSG00000067048.16",-3.20568247276927,0.582298502504304,-57.7019105711028,1.0706159113565e-227,2.29392841707022e-224,510.971998126839
"ENSG00000117650.12",7.71738412418312,8.52167636580717,57.6378266523877,2.03728666983713e-227,4.19053569692139e-224,510.330719027466
"ENSG00000083307.10",7.90753460740251,9.37710193886902,56.7956116748559,1.47126006046487e-224,2.90986946497249e-221,503.770258046751
"ENSG00000163362.10",7.89112568364863,10.5515932904156,56.7300687234892,2.46287536139655e-224,4.6906829521887e-221,503.25672164195
"ENSG00000152939.14",5.70660386951221,8.76487582405474,56.4360318530386,2.49771171644414e-223,4.58713677123953e-220,500.947561015948
"ENSG00000277010.1",-5.43218238856028,1.31866304632978,-56.1344430612135,2.53576324904232e-222,4.49643288122425e-219,498.637247891551
"ENSG00000188626.6",-7.04503662357771,2.34178059542191,-55.7774572418503,4.62106733810799e-221,7.9209715242509e-218,495.74363763303
"ENSG00000170421.11",7.43133289048568,14.6630239607553,55.7278451664657,6.85980968950266e-221,1.13790965697837e-217,495.349813383405
"ENSG00000129455.15",9.91691924508393,9.89535949174318,55.6037282589271,1.84507929178444e-220,2.96498476316973e-217,494.363454251069
"ENSG00000267601.1",8.38816152248837,6.95484460214084,55.4907344551862,4.54783478515713e-220,7.08676691385258e-217,493.464108842299
"ENSG00000175063.16",8.10434474370053,10.4942814560791,55.4081671328577,8.7994327653357e-220,1.33086244438782e-216,492.806100880421
"ENSG00000117399.13",7.18595058347439,10.6252509240192,55.1746280017384,5.71326765801775e-219,8.39409607937848e-216,490.941120863276
"ENSG00000149418.10",7.79270044539951,12.2225101034304,54.7598255858713,1.60665761401779e-217,2.29497651348992e-214,487.614626349796
"ENSG00000135480.14",9.09057729954792,12.9295538798294,53.941821935913,1.21984914912873e-214,1.69535953501747e-211,481.001728395294
"ENSG00000088325.15",7.05613272671704,11.089834390413,53.9350498472771,1.2890793420539e-214,1.74442965806415e-211,480.946686114183
"ENSG00000181885.18",7.43344848006633,11.6617615213719,53.9141972776643,1.52795991118939e-214,2.0146739105921e-211,480.777169672848
"ENSG00000277741.4",-5.44756806346281,1.60254833160475,-53.871882518612,1.99203428529308e-214,2.56090947631565e-211,480.512686087466
"ENSG00000129173.12",7.14404911601659,7.88404217622778,53.8231920557137,3.2104508857955e-214,4.02661014390883e-211,480.036820961775
"ENSG00000163435.15",8.06507458231306,12.5393784153357,53.793155039713,4.1027788843668e-214,5.02326663263795e-211,479.792269265788
"ENSG00000188112.8",6.95995801328078,10.6385985221484,53.7035641227919,8.53132258505358e-214,1.020246979747e-210,479.062277615308
"ENSG00000226622.5",-5.89587361466635,1.36618063948499,-53.5291847479795,3.55557754119037e-213,4.15541963410529e-210,477.638967073591
"ENSG00000261437.1",6.80522778149921,5.94695531840252,53.3452278697029,1.60832130600438e-212,1.8378823670814e-209,476.133954373733
"ENSG00000180422.3",-6.0551542137983,1.94083764719901,-53.1557434277103,7.61344281204183e-212,8.51100151573102e-209,474.583565758614
"ENSG00000112984.11",6.94998451834464,9.62272609026293,52.9728565895229,3.45132120216765e-211,3.77611255700143e-208,473.076322064027
"ENSG00000272398.5",9.12745554890357,13.9939262176704,52.7985599360562,1.45712070082095e-210,1.56103162079825e-207,471.639984463327
"ENSG00000137309.19",6.56251837935113,13.5606709526938,52.7642286970991,1.93584130504354e-210,2.03156668222967e-207,471.356680779912
"ENSG00000180921.6",7.40876015240757,11.9408364199974,52.6764898832322,4.00334009083227e-210,4.11727514981736e-207,470.632072965768
"ENSG00000160183.13",9.05864442025621,10.0573573275344,52.4995537910173,1.73728704798284e-209,1.75169631114552e-206,469.168266476814
"ENSG00000158402.18",6.76883129188274,7.44050457744165,52.2214646911385,1.75679986681073e-208,1.7373061452117e-205,466.860712684409
"ENSG00000110195.11",11.2179917664984,11.6593533907537,52.1085617908555,4.50535459988694e-208,4.37129904886766e-205,465.921441354767
"ENSG00000165480.15",6.22312500564101,8.24190275574104,51.937189780678,1.8866954520041e-207,1.7966581523779e-204,464.493075150916
"ENSG00000140093.9",-6.00460677384811,1.70596520642681,-51.2559180669496,5.78256287419964e-205,5.40648601236306e-202,458.78269907619
"ENSG00000271417.2",-6.22410525986765,1.78387808301846,-51.1646115692375,1.25039601826266e-204,1.14819847227001e-201,458.01346076558
"ENSG00000130590.13",5.77544942963615,9.8116058073017,51.0995141244357,2.16810608509053e-204,1.95597402129141e-201,457.464460889157
"ENSG00000157765.11",11.0537638746481,12.8463395972085,50.8406172778375,1.94425000031752e-203,1.72377875459186e-200,455.276366824782
"ENSG00000169607.12",6.73522828811866,7.9831052315192,50.8195189600769,2.32557827981732e-203,2.02691884547536e-200,455.097721579143
