"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-40C6.2",7.3001068791181,4.54508819112587,81.1475383149874,1.01385599825134e-226,5.9392698233562e-222,507.355079288167
"AC009065.4",5.00770027788015,2.5915339302321,73.9994268205502,1.15779292334682e-213,3.391233362129e-209,477.767395815249
"RP11-64C12.5",-4.92484254501421,2.60142822218507,-57.5027444564484,9.57735011041959e-179,1.87016915606163e-174,398.25486081962
"UBE2SP2",5.1575645443805,3.0293289333511,56.1489083647903,1.60410496477392e-175,2.34925182353552e-171,390.890575090813
"HMGN1P37",3.52629251732299,1.97296486337478,54.7278143283067,4.54225036342412e-172,5.32179137079497e-168,383.001869939916
"EIF5AP4",4.46794990804493,2.93983890012722,52.6691761736927,6.11278170156644e-167,5.9682144143244e-163,371.274668472055
"RP11-64K7.1",3.21711446682764,1.77801556094318,50.1125285175902,2.38672909876425e-160,1.99738539049584e-156,356.192967220066
"ANKRD62",-5.27525859441968,3.15779062401808,-48.2663089058093,1.98933489700959e-155,1.45671534502149e-151,344.926805703446
"MMP12",7.30461626751443,4.13800786071057,47.3510322092128,6.17294225512685e-153,4.01796811386206e-149,339.219870175098
"MISP",6.50145303976282,8.295866152394,45.7034870753648,2.32336678895931e-148,1.36105149864026e-144,328.736816256607
"RN7SL186P",-8.25078562074228,5.38026311332511,-44.1003811624173,8.57790362167299e-144,4.56820156419296e-140,318.268671438174
"RN7SL386P",-7.64544986774366,4.56872443688124,-44.0550501127743,1.15936711648671e-143,5.65974042090899e-140,317.968727696331
"HPN-AS1",-5.24959947660995,3.9670815332462,-42.9896639291222,1.46752789617844e-140,6.61301936046379e-137,310.855778613257
"RP11-64C12.3",-6.31984369303939,4.69830174594119,-42.5866742970596,2.25886432174593e-139,9.45189505944276e-136,308.133125932773
"RP11-420K14.1",-4.43087465030946,2.72239133948807,-42.3261952902529,1.33477323837107e-138,5.21282340513439e-135,306.363796197898
"AP000349.2",8.25085622040286,5.41176120378409,41.8068336894593,4.7137246763603e-137,1.72584190791164e-133,302.813538752448
"CRIP1",4.89809990791579,9.32073967493902,41.7242939287484,8.3284599981024e-137,2.86993832440492e-133,302.246543648698
"HNRNPCP2",3.0698938844201,5.8524986595359,41.6696007491201,1.21491937318201e-136,3.95395510002085e-133,301.870416477357
"CTB-50L17.14",-6.34116002169897,5.89709730878738,-41.6371387972318,1.52035170870564e-136,4.68756439198341e-133,301.647015778924
"RP11-354K4.2",-4.84998582598769,2.83565665424209,-41.5533076805503,2.71456633238361e-136,7.95110051586821e-133,301.069549366124
"CORO2A",5.06465623464941,7.94063786454331,41.5279778157057,3.23471724818481e-136,9.02347481504354e-133,300.894910581809
"CST1",9.27510976353765,5.34430774986656,41.398566113199,7.93054900827846e-136,2.11172496115437e-132,300.001544774732
"RPL37P6",3.98825487228991,2.35510502851376,41.2753568184019,1.86577127409593e-135,4.75211943512233e-132,299.149241906696
"CCR6",5.81081624932143,3.7613987773388,40.2198662822347,3.04972011991668e-132,7.44398559770163e-129,291.777153005898
"RP11-727A23.10",-4.60178004401517,3.51026914600143,-40.1957408361479,3.61701964436506e-132,8.47554511146198e-129,291.607156658251
"RP11-350N15.4",-4.68438355624887,4.4538458864592,-40.143126173945,5.2484889796996e-132,1.18254512661455e-128,291.236182398753
"FER1L5",-5.14221989326345,5.43344582405725,-39.9530241084112,2.02004010676856e-131,4.38281368498551e-128,289.893149070727
"SDHDP1",-3.97296151416321,2.22631186685218,-39.8855236070671,3.26308004093071e-131,6.82694613849149e-128,289.415264825495
"AOC1",7.16700886475938,6.95122949789154,39.6370851631198,1.91481774172745e-130,3.86799786648745e-127,287.651833778962
"RP11-10G12.1",3.17319113378192,1.89838468027024,39.4173996390701,9.21008483713385e-130,1.79845326614713e-126,286.086501578376
"FNBP4",-1.56983720249623,11.3413904114738,-39.212185154796,3.98403982601192e-129,7.52867861443885e-126,284.626824821383
"HRH1",4.22471886916418,6.73905525967011,39.1879775471891,4.7777862243581e-129,8.74648421278506e-126,284.445765681228
"AC012314.8",-3.91200147739607,5.99931112779411,-39.0256977270266,1.53658390685524e-128,2.72771581356021e-125,283.281472885733
"MMP11",7.64194359126873,9.78349082829363,38.9260264810585,3.15367268874694e-128,5.43368528763191e-125,282.564834388428
"EPHX4",4.93943053976103,3.61526154050963,38.9175960764501,3.35159388700826e-128,5.60970632842374e-125,282.504165851271
"FOXL1",6.1440367734685,5.93036500692736,38.8183490323148,6.86636171010685e-128,1.11732870927714e-124,281.789313835975
"LEF1",4.72367712708644,6.79143948017252,38.5557077854873,4.60698021191805e-127,7.29409480525328e-124,279.891950708733
"INHBA",6.05402409552646,8.00170371504227,38.4570114088199,9.44025561597411e-127,1.45531477431416e-123,279.176836804167
"TSPAN1",5.50010475818071,9.71569890873679,38.2618834631551,3.91234881908424e-126,5.87664887617369e-123,277.759607923503
"MKNK1-AS1",-4.25385495028775,4.53657763209503,-38.1935014690128,6.44591943739045e-126,9.44021016404425e-123,277.261870242308
"TMPRSS4",9.27684350891577,7.28744407131755,38.1055897501311,1.22579137323147e-125,1.75141669354324e-122,276.621159343172
"HNRNPA1P4",3.24139724723584,2.24708445678807,38.080401220863,1.47389622509822e-125,2.05576939910663e-122,276.437412088726
"FAM101A",6.02254301685878,6.28619520129558,38.0639150559409,1.66294705476705e-125,2.26551398640253e-122,276.317106422022
"RP11-45A17.4",-5.09142778565051,3.95589689831694,-38.029427214435,2.14074408314169e-125,2.85015748033007e-122,276.065330629904
"ATP4A",-7.57437266878589,4.7118878053774,-37.8981569998209,5.60560366234672e-125,7.29737484764297e-122,275.10569925546
"NPAP1",-4.90184295719128,3.14690049347573,-37.6365231036372,3.84156608851085e-124,4.89223441371857e-121,273.186892085215
"RP4-809F18.2",-5.1538616981411,3.79528894534289,-37.5898359349388,5.42051677030342e-124,6.75615516853499e-121,272.843625072655
"PNPLA7",-2.92655111111535,9.89558867312362,-37.4229680819657,1.85960400305004e-123,2.26953046047238e-120,271.614581230359
"MBL1P",-4.30160595938778,5.89935510708677,-37.2972357013677,4.71822107404236e-123,5.64077772935665e-120,270.686292756092
"MYH7",-6.36525497310706,5.44560226247927,-37.2495962606027,6.71742699469588e-123,7.87027181552558e-120,270.334068538936
