Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
PCAT1,2.540039,2.585,6.776839,6.8074
KRT1,5.835689,6.31285,2.720163,2.8074
RP11-452N17.1,4.33227,4.4403,8.365869,8.4011
HSPE1-MOB4,3.097056,3.86085,6.693622,7.2361
RP11-106M3.2,7.915109,7.9584,5.019472,5.3132
ADIRF-AS1,10.108056,10.08265,7.205427,7.3536
OR51E2,8.868841,8.84535,13.830928,14.5536
IGHGP,2.265718,2.02325,6.69547,6.6586
AP001610.9,0.18755,0.0,3.768374,4.0
FAM207BP,1.088127,1.14075,4.32031,4.359
RP5-940J5.9,1.633354,0.0,5.295594,5.7123
CAPN3,9.624318,9.604,7.181153,7.2049
MYH7,6.20589,6.312,2.815187,1.585
SIM2,8.081185,7.94795,11.672028,11.8478
PLP1,9.518715,9.72345,6.88021,7.1497
CTD-2547H18.1,0.573878,0.0,4.316787,4.5236
FTH1P7,4.642017,4.6559,7.934298,7.9679
PRRT2,10.8075,10.85745,8.085167,7.9658
RP11-91I8.3,2.062021,2.0,5.220219,5.3161
NEK2,2.529029,2.3219,6.251787,6.2288
FOXD1,2.653064,2.50715,6.240018,6.8633
RNF112,9.365626,9.3185,6.566999,6.5699
PBK,2.71257,2.6962,6.164023,6.1085
ADAM7,0.780622,0.0,4.618507,4.5236
LCAT,10.336868,10.36765,7.733322,7.7544
ELFN1-AS1,0.487579,0.0,4.095401,4.3219
TIAF1,8.721562,8.78925,5.984976,6.0065
CH17-360D5.1,1.912607,2.09235,5.542907,6.0361
P2RX2,8.456575,8.6604,5.872888,6.0745
DLGAP5,2.811722,2.8074,6.438635,6.4094
LUZP2,5.223983,5.39195,10.171359,10.4062
EEF1A1P16,0.179001,0.0,3.141476,3.3248
SLC25A48,2.585636,2.585,5.609818,5.6439
DRAIC,6.286648,6.6427,9.909954,9.8837
NACA2,1.611899,1.585,4.984574,5.0557
RP11-212P7.1,1.129175,1.02505,4.473834,4.4718
AP003774.4,3.400466,3.7004,6.539503,6.5999
KRT16P2,4.617096,4.7864,1.510592,1.0286
C20orf166-AS1,9.416636,9.52355,5.860447,6.0661
CRNN,4.177212,4.39065,0.323105,0.0
WI2-85898F10.1,1.04039,0.0,5.612662,5.6247
ALS2CL,10.726307,10.7121,8.281681,8.2621
TMSB15A,5.801176,5.8387,10.409963,10.4336
MPZ,8.456856,8.1446,5.844202,5.9069
ACSM1,6.573717,6.5659,10.970403,11.1189
CXCL9,5.541698,5.5222,8.843043,8.8948
LGALS2,1.964159,2.0,5.148094,5.1699
ITGA10,8.785779,8.8824,6.23904,6.2288
AC007009.1,5.100036,5.33975,8.416258,8.4593
CGREF1,5.909378,6.2261,10.494976,10.6016
RP11-448G15.3,9.234116,9.18985,5.559305,5.6724
HPN,8.787582,9.40295,13.425197,13.541
TOP2A,5.780817,5.6439,9.239288,9.207
UCN2,6.482192,6.56355,3.621282,3.7004
PNLIP,5.499831,5.98865,2.024029,1.585
SKA1,2.687889,2.6962,5.756431,5.7279
RP1-207H1.3,2.190621,1.585,6.251423,6.4757
MRGPRF-AS1,5.745254,5.7874,2.826338,3.0
NFATC4,12.004402,12.0783,9.531244,9.6036
RPL12P38,0.391489,0.0,4.380688,4.4256
LDHAP3,0.19911,0.0,3.553736,3.7463
SLC45A2,2.433879,2.585,6.497269,6.4429
ADCYAP1R1,7.7002,7.6865,5.05423,5.2479
TDRD1,2.252546,2.3219,7.626296,8.3264
PTPRT,5.019748,5.1897,8.832624,8.8041
KLK12,3.46289,3.7004,7.091244,7.0
TGM3,4.616899,4.4594,8.49645,8.6147
TBCAP1,0.728743,1.0,3.771274,3.7549
HNRNPA1P4,0.497844,0.0,4.814634,4.8634
C2orf72,7.249258,7.4429,11.176438,11.2174
SFTPA2,6.807375,6.812,10.955057,10.8251
EIF5AP4,0.715512,0.0356,6.227855,6.3689
TTLL3,12.481662,12.49785,10.089385,10.1337
COL16A1,13.612856,13.5922,11.488463,11.5684
PNMT,6.856746,6.8391,3.640169,3.585
RP11-569G13.3,5.378737,5.94245,2.099492,2.0
EPCAM,9.236342,9.6811,13.672732,13.7422
RP3-525N10.2,6.291417,6.3309,2.11723,2.0
RP11-401P9.5,5.852011,5.9006,2.83583,2.9964
ADCY4,10.835193,10.7252,8.48653,8.4822
AC025165.8,7.997339,8.00755,3.797347,3.8846
H2BFS,4.229867,4.32865,7.529352,7.6035
HEPACAM2,2.999322,3.3219,5.983245,5.8826
MNX1-AS1,0.75026,0.0,5.430944,5.7279
CORO6,10.854414,10.8281,7.229702,7.2574
RP11-350O14.18,0.274377,0.0,4.684076,5.675
AMY2A,4.67675,5.126,0.374198,0.0
RP11-327J17.9,4.689364,4.6439,1.76815,2.0
KCNG3,2.684937,2.8074,6.32668,6.375
AGAP11,9.225229,9.2101,6.539357,6.6878
OR51E1,6.602912,6.4093,11.034155,11.2497
TPX2,5.114398,4.9069,8.494315,8.4429
BMPR1APS2,1.23369,1.29865,4.511525,5.4057
CRISP3,3.825076,3.7539,9.539235,9.3106
GDNF-AS1,6.418178,6.5236,3.465031,3.4594
UBD,6.171445,6.03305,9.729639,9.8595
TBX10,0.963006,1.0,4.304177,4.1699
RP5-1057I20.5,4.337058,4.2479,1.416216,1.585
GPR17,7.679892,7.53045,4.036297,4.101
RP11-734K23.9,9.585993,9.8977,6.81311,7.4418
KRT13,10.078628,9.59675,7.168521,7.1699
RPL23AP65,2.907904,3.0729,6.202826,6.2271
F5,6.38031,6.2093,10.562732,10.6411
SI,2.361092,2.585,6.945352,6.9773
AL158801.1,1.239712,1.06695,5.316581,5.4472
SLC9A2,6.792423,7.2946,10.521469,10.5793
LINC00853,1.77141,2.0,4.796865,4.858
PGA5,4.712454,5.0931,0.830333,0.0
RNF207,10.973064,10.977,8.519268,8.5925
PCA3,5.158825,5.06465,12.688457,13.54
PACERR,5.535357,5.5391,2.464015,2.585
RP11-336K24.12,5.572427,5.71415,2.677695,2.585
AF001548.3,6.164672,6.0768,2.209827,2.3219
RP5-1024N4.4,6.147461,6.11155,2.643802,2.6848
RP11-316M1.12,2.864113,3.0313,7.352271,7.7051
MAL,8.469119,8.38985,5.413834,5.4263
AC005943.2,1.174954,0.0,6.483872,8.0745
XIST,6.288536,6.19965,2.292012,2.3219
SH3BP5-AS1,10.875581,10.8735,8.372944,8.395
RP11-128A17.2,4.413407,4.3923,1.272445,1.0
AC104534.3,1.082757,0.0,4.5727,4.3604
APOC1,6.312371,6.2479,9.615189,9.5488
KLK15,3.91449,4.5236,7.680715,7.7482
AC133785.1,1.437705,1.585,4.619908,4.9069
XXbac-BPG246D15.9,3.119197,3.70245,6.350469,6.9159
L1CAM,9.198673,9.2945,6.720739,6.9189
UGT1A3,1.250363,0.0356,5.816798,6.1631
GOLGA8B,13.069749,13.15325,10.494474,10.6016
PCDHA11,2.52102,2.5993,5.813987,5.9681
STX16-NPEPL1,7.672188,7.63735,4.866958,5.073
RP1-170O19.17,6.877782,7.04975,3.775599,3.8074
UGT2B4,1.517125,1.2925,5.95635,5.8074
GDPD1,4.858167,4.858,8.1277,8.1649
PRL,3.50639,3.9069,0.259839,0.0
AC003973.3,7.070859,7.1548,4.148937,4.1699
RP11-627K11.1,1.283995,1.08065,4.471815,4.5014
APOF,2.853513,3.1699,8.002656,8.3309
FER1L5,6.123642,6.3219,3.30738,3.3219
DLX2,1.54597,1.585,6.292937,6.4919
ADH1B,9.766774,9.64495,6.84449,6.9091
PRIMA1,10.122959,10.1228,7.430399,7.585
C1orf233,5.154035,5.30365,8.391207,8.4051
AC144450.1,1.32261,1.0,4.894352,5.1293
CYP4F12,9.382529,9.36415,6.73444,6.8059
AC104667.3,2.146595,2.0,6.517455,6.6865
FAM111B,4.290488,4.2479,7.577863,7.6073
TGIF2-C20orf24,1.457103,0.0,5.022827,5.5261
MTND4P12,3.523027,3.63545,8.692086,10.6761
GABRB3,6.821978,6.82015,10.57751,10.8186
RRM2,4.536457,4.42585,8.325783,8.2287
VSTM2L,8.037249,8.0632,11.959525,11.8673
CLDN3,9.641404,9.93435,13.541031,13.6366
CFD,11.817435,11.8439,9.28193,9.224
REG4,4.067571,4.04375,7.259821,7.1997
AC006128.2,9.634124,9.741,6.999065,7.1439
AC009065.4,0.0,0.0,6.098493,6.2057
N4BP2L2-IT2,8.60647,8.611,5.918991,5.9773
LINC01207,5.895455,6.2478,9.266524,9.6294
MEG9,6.437794,6.49985,2.440356,2.585
DNASE2B,4.104143,4.4915,8.452144,8.543
NPY4R,3.579944,3.6882,7.166467,7.4238
RP11-483P21.2,1.931889,2.0,6.462619,6.5975
FAM103A2P,2.585117,3.0149,5.811971,6.0652
UBE2MP1,1.674939,1.61585,5.007864,5.0819
ADAMTS10,10.270148,10.2343,7.689043,7.7944
ATHL1,12.152578,12.14365,9.966136,9.9958
PRCD,6.927792,6.85385,4.16185,4.2517
GABRE,12.297971,12.31855,8.30606,8.3619
SCARA5,7.96804,7.7879,4.847904,4.7549
RP11-236L14.2,6.193141,6.2854,3.343177,3.4594
FOLH1B,4.132785,4.27045,7.789659,7.784
LINC01160,6.367966,6.28565,3.493524,3.546
GSTM2,12.971315,13.04275,9.485885,9.5721
ALOX15,2.764876,2.8074,6.407684,6.7
CTRB1,5.144678,5.52105,1.642194,1.511
CGB7,6.844267,7.13565,3.630975,3.6848
KIF4A,3.787563,3.585,7.305196,7.3038
PRELID1P1,1.089217,1.0635,4.199652,4.3198
MT-TA,0.14755,0.0,4.167846,4.4594
LGI4,10.806495,10.7936,8.102895,8.0875
PKD1P1,10.546319,10.7805,7.489457,8.2888
NLRP12,2.720636,2.8074,6.039542,6.2479
AC144450.2,2.097846,2.3219,5.646813,6.0
RPL35P1,1.643406,1.6135,4.766516,4.7544
TRO,10.240277,10.2309,7.520742,7.6154
NPIPB5,13.485962,13.43705,11.112258,11.1783
ZIC5,0.376799,0.0,4.674053,5.1293
GNRH1,7.915188,7.91275,4.886476,4.9069
TFF3,7.52258,7.2479,12.011755,11.7875
EEF1A1P7,0.202012,0.0,3.175349,3.3001
UNC93A,1.220978,1.0,4.383666,4.5236
FGF17,7.374991,7.52685,4.244638,4.3219
PCAT14,7.674382,7.42615,12.732331,13.2787
KLB,2.56291,2.585,5.694632,5.585
FAM153B,9.94504,10.0777,6.645885,6.7425
SLC27A2,6.123237,6.3922,9.741141,9.8455
CDC25C,2.299256,2.3219,5.476813,5.4263
BPIFB2,4.482891,4.585,7.889497,8.1799
GUSBP11,10.871218,10.8502,8.407319,8.535
ZP3,5.806434,5.7082,9.116013,9.1722
RP11-229P13.23,0.429596,0.0,4.062578,5.0794
RP11-16P20.4,4.863918,4.9771,1.91141,2.0
SCGN,4.241434,4.1699,7.405377,7.3837
RP11-6O2.4,5.874834,6.18525,2.718259,2.9222
AC000089.3,3.16614,3.15705,7.011487,7.0296
OTX1,4.147747,4.2459,8.081084,7.9189
CH507-513H4.5,2.688825,2.6837,6.951836,6.8192
SOWAHB,4.624691,4.78115,8.138825,8.2574
MYBL2,4.476751,4.4594,7.84331,7.6653
AMACR,8.531519,8.51145,14.290347,14.5098
PRSS2,6.331957,6.8575,1.662213,1.0
MINOS1-NBL1,2.667128,2.5921,7.997178,8.1173
LINC01213,2.516819,2.585,6.250402,6.3399
PCDHA1,1.737553,2.0,4.893253,5.013
GCNT1,7.648728,7.65445,11.704718,11.8009
ADAM1A,3.974758,5.0226,0.726623,0.0
PIGY,0.853782,0.0,4.670774,5.302
ATP8A2,3.788567,3.7004,7.710545,7.6294
LCN10,9.247942,9.05905,5.910683,5.9591
RP11-40C6.2,0.43544,0.0,9.214711,9.2421
RP11-164J13.1,9.042268,9.08145,6.480746,6.6819
ALDH3B2,6.741528,6.7279,10.199455,10.1682
RP11-1084J3.3,1.466555,1.45055,5.264117,5.5283
NPIPA2,5.28642,5.655,2.265326,2.4463
RP11-834C11.14,2.185294,2.2809,5.645857,5.8612
LMX1B,2.222642,2.3219,6.079934,6.1293
COL6A1,15.035796,14.9084,12.870394,12.9394
RP11-244F12.2,3.939907,4.7055,0.954614,0.0
RP11-650L12.2,3.331677,3.29055,6.397486,6.4017
RP11-1379J22.2,5.759601,5.78645,2.779366,2.8953
CTC-429P9.4,1.551044,0.0143,6.135186,7.0682
RP11-1334A24.5,7.401745,7.21865,4.188618,4.2479
PRCAT47,6.148851,5.94245,9.594773,9.9586
RPL35P5,3.195623,3.1723,6.38588,6.3277
CPA2,4.104176,4.2089,0.864606,1.0
FOLH1,10.498031,11.08825,14.541116,14.6973
CTRC,4.515882,4.5543,1.298954,1.585
NAV2-AS1,4.754803,4.99635,1.737571,1.6781
NKAIN1,4.515406,4.4594,8.970474,9.5774
CTD-3035K23.7,7.7624,7.68065,4.564255,4.7004
C1orf64,3.910228,4.19705,7.009458,6.7973
PLA2G2D,1.662253,1.585,5.164465,5.1293
CPA1,6.32038,6.65795,2.138525,2.0
BEND4,7.017839,7.2383,10.840151,11.0934
ACTA2-AS1,11.006008,10.90295,7.0788,7.1527
EEF1A1P12,2.642315,2.6135,7.017074,7.0167
UBE2C,4.1946,4.1287,7.302137,7.1898
PGA4,5.968608,6.35635,1.786384,1.585
LINC00304,5.826319,5.9542,1.810511,2.0
CTD-2311M21.3,4.358721,4.4468,0.851723,1.0
B3GNT6,0.81323,0.0,5.692127,5.2854
RP11-624G17.3,1.845313,2.0175,5.171756,5.2931
RPL7P23,2.266817,2.4087,5.612667,5.7263
MMP26,2.181859,1.7925,5.215153,5.4263
GLYATL1,6.346111,6.74805,11.118604,11.4651
FEV,5.50224,5.94245,9.113526,9.6036
LINC00992,2.37843,2.585,6.343016,6.585
SERPINA11,2.024872,2.0,6.443514,6.6582
RP11-588H23.3,6.520149,6.57715,3.238908,3.3391
HYDIN2,7.407385,7.5555,4.329331,4.5607
DNAH8,4.534614,4.4594,8.866349,8.7616
