"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000219928.2",8.73535314392635,7.64040186397433,124.611399139494,0,0,969.672676242915
"ENSG00000204253.4",4.15205348419252,7.93655657491487,70.2157243428641,1.75769500348607e-290,4.52175828121809e-286,654.651324306325
"ENSG00000279473.1",6.06504333092376,5.04570831732313,64.0630363595859,1.74509166708519e-269,2.99289037877334e-265,606.596932099172
"ENSG00000198618.5",2.85349805269836,10.6808682748047,60.1932532806662,1.64487632447935e-255,2.11576329426968e-251,574.585594374094
"ENSG00000119760.15",-1.28342593719294,10.8784469110035,-53.8290153273305,4.11121048805705e-231,4.23051781642047e-227,518.649437237833
"ENSG00000236058.3",4.90381324225657,5.58286171312747,53.7507768704299,9.25672939915883e-231,7.93779973860201e-227,517.840823925323
"ENSG00000249264.1",4.51559334111717,6.3481318099699,53.5572897087353,5.49800890594785e-230,4.04111508885604e-226,516.065971929003
"ENSG00000213228.5",3.98851551835636,3.70111213939873,51.646552086578,2.77284063072054e-222,1.78331779114003e-218,498.394566270025
"ENSG00000206228.4",4.29390966375842,4.08113364147382,50.7223970722234,1.81847426234165e-218,1.03958132524156e-214,489.636433087552
"ENSG00000234743.1",5.48677864660216,5.25773919151432,50.4962469623106,1.69454063915111e-217,8.71858104249638e-214,487.411952843688
"ENSG00000216866.5",4.40322601927216,7.04964093420632,50.0178131124148,1.67449906708854e-215,7.34419354933146e-212,482.833968529065
"ENSG00000214199.3",4.30881574704795,6.23268148622352,50.0154585078449,1.71289814759631e-215,7.34419354933146e-212,482.811370571954
"ENSG00000235776.2",3.81797310120113,6.31807238286055,49.0911087380103,1.31734720855937e-211,5.21375624827602e-208,473.892555007375
"ENSG00000225031.1",3.44763345717815,7.85205545345984,48.1932202954998,8.71569107945089e-208,3.20307872663448e-204,465.12274341833
"ENSG00000229237.2",4.05049283316495,3.52379328422938,47.8659550589601,2.04397381494647e-206,7.01096645018738e-203,461.977379420996
"ENSG00000184205.14",-3.05289661799348,11.6617570372675,-47.8403290334265,2.83667863934656e-206,9.12187204206376e-203,461.650659005726
"ENSG00000232187.1",3.17063254300803,7.33768926362545,47.768313009523,5.65484812576696e-206,1.71145641716962e-202,460.962851662305
"ENSG00000168487.17",-2.81892179994924,10.0679799736461,-47.2691154893327,8.22226250036072e-204,2.35024237725589e-200,455.998203478482
"ENSG00000224126.2",5.02657472841353,5.1565104745766,47.1587738956597,2.46947000949319e-203,6.6871948136018e-200,454.901698290871
"ENSG00000149451.17",-5.58244312765249,9.38071258868048,-46.8474865619602,5.53980229782296e-202,1.42514184012645e-198,451.800238054799
"ENSG00000127511.9",-1.73792109275401,11.5914464616963,-46.4668538836144,2.45030246455716e-200,6.00335771923479e-197,448.021702631748
"ENSG00000139625.12",-2.87177180504825,8.72339535359791,-45.6151652259796,1.38725444109279e-196,3.24434673857569e-193,439.404519728123
"ENSG00000125447.16",-1.42207404299451,10.6928636917376,-45.2736271400243,4.18999124821101e-195,9.37301042224802e-192,436.005832538426
"ENSG00000003402.19",-1.82605803721981,12.4049193300944,-43.9293887812958,4.56746462781745e-189,9.79169260690983e-186,422.140902587784
"ENSG00000061273.17",-1.75329050621108,11.9313182353202,-43.8604498304989,9.34056801541132e-189,1.92232625984371e-185,421.427331709101
"ENSG00000110888.17",-2.05397570836695,9.83779749227938,-43.3306626309767,2.28543715981374e-186,4.52261643498372e-183,415.941320025703
"ENSG00000158863.21",-2.20205077535301,11.4078518004909,-43.2302366407392,6.64687372273767e-186,1.26662333299472e-182,414.876428270426
"ENSG00000103168.16",-2.54341019408145,11.0126757941498,-42.9906122809888,8.1805621073017e-185,1.50320750350993e-181,412.372472893117
"ENSG00000258498.6",-4.82683011966736,8.08995959678668,-42.6143078088907,4.27638172177813e-183,7.58703848162781e-180,408.425674212217
"ENSG00000159433.11",-3.5106632361948,8.5887865302611,-42.1497411652343,5.79463283419238e-181,9.93798846506774e-178,403.52853055481
"ENSG00000079277.19",-1.60568443251118,10.0298776822269,-42.1304473196068,6.68019491200871e-181,1.10871841425084e-177,403.38655766398
"ENSG00000269936.3",-5.50242734148368,9.98714357261263,-42.1327036426394,6.94122942271037e-181,1.1160412344621e-177,403.34841536558
"ENSG00000128262.8",-4.16090310970521,5.34102416864527,-41.989845793336,3.15879757506419e-180,4.92494830407963e-177,401.836728313189
"ENSG00000221995.5",-3.22523583240328,6.50498060512822,-41.8972770200238,8.44383914529629e-180,1.27777637607247e-176,400.855814272614
