Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
TUBB4A,5.21483,5.1835,4.350161,3.8207
MOGAT2,0.896217,0.0,0.082786,0.0
DNAH3,0.74563,1.0,3.67661,3.585
B3GAT2,4.893215,5.1052,6.585498,6.6492
SERPINB12,0.152849,0.0,0.041445,0.0
GGT3P,0.471789,0.0,0.649506,0.0
KRT1,8.851738,8.7381,3.281171,3.1699
PKP2,4.911236,4.9069,3.603603,3.0
HOOK1,3.999155,4.0,5.515653,5.1699
IGHV3-43,2.539768,2.585,4.668141,4.6809
ESM1,1.305543,1.0,2.730517,2.3219
LINC00592,0.059785,0.0,0.326318,0.0
ADTRP,4.474781,4.5236,3.427072,3.4594
RP11-550F7.1,2.053009,2.0036,2.882344,3.0
PAX3,0.549059,0.0,0.049624,0.0
RP11-452N17.1,2.044118,2.2357,6.925335,7.0695
PKMYT1,6.200701,6.1035,8.73449,8.7817
IGHV1-24,3.479532,3.4594,5.177572,5.2479
EFCAB1,0.646501,0.0,0.844043,0.0
KLK8,0.511238,0.0,0.00578,0.0
NCAPG,5.223183,5.2713,9.690971,9.8278
CTD-3128G10.6,2.444859,2.585,2.402612,2.3219
TRABD2B,1.204115,1.0,1.828454,1.585
KLK10,1.308182,1.0,0.099249,0.0
PTPRH,2.08371,2.0,3.66865,3.3219
AACSP1,0.119703,0.0,0.248566,0.0
FOXD2-AS1,5.866119,5.9542,6.312057,6.4429
GRAMD1C,4.915588,5.0875,5.450509,5.4919
ADIRF-AS1,5.086423,5.1189,6.686119,6.702
EVPL,4.260098,4.2479,7.096945,7.2761
RDH12,1.318267,1.4542,3.250646,3.3219
AP000439.3,0.020772,0.0,0.0,0.0
AC003090.1,2.055664,2.0,2.814868,2.8074
CYP4F22,3.780809,3.7004,2.541726,2.3219
IGLC7,3.416142,3.3234,4.192277,4.3219
CYP2E1,4.239305,3.9069,5.806168,5.9141
STARD5,8.894629,8.9153,9.393065,9.4257
SERPINB3,1.21966,1.0,0.106116,0.0
IGHGP,3.624982,3.6346,7.886706,7.8994
FGFBP1,1.208401,1.0,0.100231,0.0
RP3-453C12.14,0.6726,0.0,1.046025,1.0
JAKMIP3,2.919498,3.0,3.45245,3.4594
IGLC3,9.515916,9.467,10.282788,10.4415
ONECUT1,0.187585,0.0,0.267698,0.0
LAMA1,0.721666,0.0,0.253808,0.0
WNK4,1.664053,1.585,3.210641,3.1731
TRIM51,0.037594,0.0,0.011602,0.0
C10orf90,0.290362,0.0,0.27879,0.0
GALNT16,1.874033,2.0,2.428697,2.585
FAM207BP,0.742111,0.0,2.47649,2.7159
RP5-940J5.9,1.186482,0.0,0.820962,0.0
SOSTDC1,0.50439,0.0,2.498672,2.0
CLCA4,1.58748,1.585,0.698273,0.0
RLBP1,0.502064,0.0,3.88388,3.8074
RAD54L,4.31459,4.306,8.692296,8.7681
SLC18A2,3.152092,3.3491,6.137183,5.2917
BTBD16,0.197815,0.0,0.056387,0.0
MYH7,6.960091,7.0125,0.213928,0.0
ADCY2,1.826475,1.585,3.868966,3.0
AKR1C2,4.331958,4.0772,3.731946,3.6264
RGS20,0.58522,0.0,4.082201,4.1699
RP11-164P12.3,1.08286,1.1309,4.796988,4.9537
TPO,3.230066,3.1699,2.103002,1.0
PRG4,4.337557,3.9364,5.073842,5.0286
CSPG4,3.577231,3.585,5.999585,5.9793
CALML5,2.433059,2.585,0.0,0.0
PAX5,6.472374,6.5392,8.218235,8.1799
PLP1,4.558751,4.8074,2.773406,2.8074
LYZ,15.350821,15.4019,15.434339,15.8998
KRTAP1-5,0.31262,0.0,0.011561,0.0
MMP8,11.014161,10.9643,5.723182,5.7004
WIF1,0.837298,1.0,0.493104,0.0
ATP13A5,0.16852,0.0,0.261281,0.0
CRB3,2.259453,2.3219,1.600808,1.585
LINC00964,0.256261,0.0,0.555809,0.0
PRB2,0.186985,0.0,1.940037,2.0
SLPI,9.706015,9.7245,4.574363,4.3219
TIMP4,4.287849,4.1699,3.319024,3.4594
CD164L2,0.797024,0.0,0.74624,0.0
RP11-343H5.4,4.106722,3.0072,5.388463,5.4532
FTH1P7,6.704184,6.7268,4.149836,4.2133
LINC01514,0.005935,0.0,0.0,0.0
IGHV3-21,5.457523,5.438,6.918164,6.8505
CXCL8,8.237855,8.7616,9.09929,9.2167
EOMES,7.639191,7.6935,6.114109,6.0661
TNFAIP8L3,4.319627,4.2479,2.005262,1.585
SPDEF,1.643522,1.585,0.831712,1.0
KIAA1324,8.686259,8.7245,4.695881,4.7549
POPDC3,0.871284,1.0,0.267132,0.0
CTD-2380F24.1,0.054577,0.0,1.425549,1.0
A2ML1,2.349835,2.3219,3.215171,3.3219
COL19A1,2.928712,2.8074,4.013761,4.2479
GNG4,1.304086,1.0,2.135317,2.0
KB-1562D12.1,0.028785,0.0,0.0,0.0
GBP5,10.118622,10.0112,9.788457,9.8564
CMA1,1.021013,1.0,1.201625,1.0
CTD-2104P17.2,0.118472,0.0,2.528162,2.585
LINC01314,2.145964,2.3219,5.274005,5.2479
NCF1B,11.177075,11.2706,8.046192,8.151
AC069368.3,1.232031,1.3219,2.951371,3.116
LIMD2,12.845263,13.0226,11.575046,11.6245
KRT6A,4.266277,4.5154,0.020723,0.0
RP11-830F9.5,3.933916,4.111,6.93939,7.0308
XDH,0.541588,0.0,0.834162,0.0
STRA6,0.276566,0.0,0.854429,0.0
RP11-337N6.3,1.208881,1.0,5.603279,5.7004
NKX3-2,0.179332,0.0,0.543375,0.0
NEK2,3.923888,3.9069,7.566626,7.6147
ALDH3A1,1.575819,1.585,2.149048,2.0
FAM46B,2.451292,2.585,2.177472,2.3219
ANO4,0.266118,0.0,0.265096,0.0
FAM83H-AS1,0.909883,1.0,2.829602,3.0
TUBB3,1.978777,2.0179,1.122666,0.0
RP11-494M8.4,0.027211,0.0,0.168766,0.0
PBK,2.576168,2.585,5.804014,5.8074
MARVELD3,1.132465,1.0,1.895428,2.0
LY86,8.725179,8.8297,8.306378,9.0607
CHRNA5,1.786877,1.585,4.282088,4.0993
HLA-DRB6,5.439023,5.6747,7.092284,7.5698
AKR1C1,5.87752,5.7104,5.617278,5.7811
SHC4,0.870088,1.0,2.222579,2.3219
BMP7,1.338036,1.585,0.066427,0.0
MAGEA2B,0.059547,0.0,0.012798,0.0
RP11-255G12.2,0.231969,0.0,0.335271,0.0
PGLYRP4,1.364727,1.585,0.720775,0.0
DENND2C,4.313,4.2479,4.005669,3.8074
EPB41L4B,2.902302,2.585,1.673888,1.585
IGLV2-14,7.846574,7.8442,7.563889,7.4162
SP6,1.330871,1.0,2.016009,2.0
VIPR1,8.195066,8.2769,7.186543,7.4346
FPR3,4.948049,4.9069,4.639225,4.5236
GAS2L3,3.304519,3.1699,6.705808,7.1189
ARSE,0.764686,0.0,2.422954,2.3219
NLRP1,12.261015,12.4112,11.572228,11.7818
ZNF662,3.209512,3.1699,7.669852,8.1085
RP11-443P15.2,3.290268,3.4594,4.863968,5.1293
SPATA18,1.428017,1.585,3.300023,3.1699
RP11-521D12.5,0.733353,0.0,0.264569,0.0
KLK7,1.240647,1.0,0.110242,0.0
HMGCS2,2.430379,2.3219,0.09685,0.0
C6orf141,0.587604,0.0,0.901535,0.0
KLF4,8.518019,8.5925,9.560566,9.7465
LOC100421166,0.174508,0.0,1.590835,1.585
TREM1,12.288047,12.4291,8.754633,9.0498
TMEM182,3.057891,3.0,6.936421,7.0444
ELFN1-AS1,0.980575,1.0,1.844335,1.585
PLOD3,8.753299,8.7582,10.271783,10.2397
WSCD2,1.811179,2.0,0.882719,0.0
BCL11A,6.54674,6.6439,11.186088,11.3778
RP11-367F23.2,0.176816,0.0,0.73234,0.0
RP11-927P21.5,4.609326,5.2585,7.468735,7.5549
AC004967.7,1.180244,1.0,2.173871,2.3334
WNT16,2.308631,2.3219,4.108532,4.2479
PVRIG,8.553198,8.5419,5.563975,5.4135
CXCR2P1,7.138237,7.3219,5.726464,5.9413
TMPRSS4,1.422613,1.585,1.674666,1.585
HOXC13-AS,0.047478,0.0,0.00578,0.0
CH17-360D5.1,0.005935,0.0,0.045058,0.0
TBX1,1.818804,1.585,4.196503,4.3219
NPR3,2.934364,3.0,9.791494,11.0954
EYA4,0.819613,0.0,0.730713,0.0
DLGAP5,4.992573,5.0875,8.628004,8.6724
ZNF280A,0.129692,0.0,0.07646,0.0
EXTL1,0.928789,1.0,0.635642,0.0
C9orf152,2.216698,2.0,2.838998,2.8074
IGKV1-33,6.269572,6.2095,7.735455,7.6742
IGKV3-20,8.222018,8.1581,9.066608,9.0785
MICALCL,6.095433,6.1497,5.131717,5.4594
TMC3-AS1,1.771448,1.585,3.152973,3.3219
MYOC,1.977077,2.0,0.481929,0.0
RP11-804H8.6,6.224806,6.2479,6.84886,6.858
FCGBP,6.484234,6.4429,6.315761,6.1699
COTL1,14.643939,14.7064,12.15526,12.2291
PLIN4,10.508439,10.5821,8.021319,8.0279
SLC25A48,0.296296,0.0,0.372699,0.0
GADD45G,7.648912,7.4094,2.859668,2.8074
AOC4P,2.238372,2.3363,1.065949,1.0
IGLV3-1,6.115045,6.1763,6.688755,6.7727
IGLV3-21,6.084264,6.1497,7.062791,7.1898
IGHV2-5,4.64016,4.585,5.608539,5.7279
LINC00221,0.435254,0.0,0.15498,0.0
CTB-113P19.4,0.484289,0.0,0.810536,0.0
RP11-797H7.1,1.986206,2.0,6.381091,6.5236
IFFO2,7.405842,7.4405,9.279646,9.3346
LINC00302,0.005935,0.0,0.0,0.0
