"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000219928.2",7.69257583833761,4.34276533350944,162.401501820803,0,0,1675.29558109591
"ENSG00000279473.1",6.36665319131449,2.92509003868103,149.103429868359,0,0,1591.52086597342
"ENSG00000240854.1",4.70663435937864,2.30592456507683,123.951739383178,0,0,1412.46936163621
"ENSG00000229237.2",4.05993595885854,1.91221777539253,116.441205219253,0,0,1352.7130299983
"ENSG00000224126.2",6.80775807069507,3.70012999606132,110.851757921656,0,0,1305.88420474055
"ENSG00000108352.11",-6.33018675883277,11.3778013282299,-109.113728468983,0,0,1290.96325412931
"ENSG00000280285.1",-7.35411768459486,4.46508625745773,-108.318785654155,0,0,1284.07153384498
"ENSG00000268416.1",-7.74017618744197,4.75346456360817,-106.570527526063,0,0,1268.76389199739
"ENSG00000230387.2",-9.51922829894945,6.2599449400425,-106.044071375855,0,0,1264.11297442438
"ENSG00000185686.17",11.0803477928211,7.4597330965519,105.79754669055,0,0,1261.92843176604
"ENSG00000204253.4",4.11223828410078,6.33534615359306,104.468563149156,0,0,1250.22131034551
"ENSG00000069667.15",-5.96764679328814,11.1328031537533,-104.146338931526,0,0,1247.18594622896
"ENSG00000106258.13",-6.92939878253164,8.21321725735664,-101.866375237547,0,0,1226.50736957083
"ENSG00000189182.9",-12.7095949242726,7.98794734196663,-101.452659143108,0,0,1222.71419644085
"ENSG00000162040.6",-9.90502284854307,6.29220765666962,-100.443712847382,0,0,1213.41004757966
"ENSG00000232354.7",-5.69129973919971,3.72624627566338,-100.431722919405,0,0,1213.37194001064
"ENSG00000156284.5",-7.58735696691663,4.69058177056313,-100.426785049902,0,0,1213.25329275761
"ENSG00000205890.3",-6.72219147179312,4.58761127815247,-99.6592237648203,0,0,1206.12270216986
"ENSG00000104881.14",-5.56643826445376,11.0870432368279,-99.4747522401009,0,0,1204.40228933921
"ENSG00000164393.8",-7.56896414864418,4.87567793431282,-99.254407307702,0,0,1202.34390096412
"ENSG00000186204.14",-9.21018982463519,7.2536823264122,-98.9832467510886,0,0,1199.80569292034
"ENSG00000136826.14",-5.85993511516267,12.0549831871986,-98.3405798187608,0,0,1193.76731778969
"ENSG00000102287.16",-7.05511060783667,8.80821430001259,-95.5200555844891,0,0,1166.88253611557
"ENSG00000118194.18",-8.00038254500678,6.20943937244415,-95.4886130585039,0,0,1166.57925086559
"ENSG00000139144.9",-8.33341126547298,5.35103421497345,-95.188651409684,0,0,1163.68188248828
"ENSG00000249407.1",-5.32119598075171,2.9949595905304,-94.8681848899382,0,0,1160.66490204277
"ENSG00000178038.16",-6.13293852001434,10.6922919480801,-94.8419052501945,0,0,1160.32350232336
"ENSG00000267259.1",-5.90845799607644,3.82879743905067,-94.6727868990593,0,0,1158.68196163413
"ENSG00000197953.5",-9.74046697392978,6.12020150790215,-94.1056781989096,0,0,1153.1602220944
"ENSG00000189433.5",-9.8272443774557,6.52093236498833,-93.3607256347616,0,0,1145.8665195773
"ENSG00000280334.1",-6.49378242231002,5.15924200263023,-92.8657121181871,0,0,1140.99436756599
"ENSG00000166869.2",-10.8346478376289,7.20258869695663,-92.8107166769982,0,0,1140.45180977168
"ENSG00000171476.21",-8.16773045434533,11.2406391013622,-92.0624802034757,0,0,1133.04474703677
"ENSG00000012822.15",-2.7142772576197,12.6191790062428,-91.3777851947769,0,0,1126.22506178581
"ENSG00000205488.8",-8.09612848527576,5.52901845135689,-91.3457368575189,0,0,1125.90487295372
"ENSG00000183378.11",-6.21812123362942,3.52491910014153,-91.3243874564921,0,0,1125.69152626913
"ENSG00000186049.8",-8.74375076609405,5.47637962026596,-91.3009513921542,0,0,1125.45728232574
"ENSG00000172867.3",-14.6053674431898,10.1048553341866,-90.9654449854806,0,0,1122.09871368345
"ENSG00000279662.1",-6.28852539888354,5.2929193716526,-90.3458342137982,0,0,1115.87058533447
"ENSG00000174564.12",-7.6433651753147,9.46263953185082,-90.1781347241853,0,0,1114.17919415782
"ENSG00000234743.1",5.8294367680833,3.81753439426422,89.5891341415147,0,0,1108.21915869697
"ENSG00000198039.11",-4.67326685588669,9.81797070646286,-89.0499445181626,0,0,1102.73642548102
"ENSG00000214176.9",-2.83813558721178,9.9930344227314,-88.7600594350881,0,0,1099.77810736634
"ENSG00000149527.17",-7.50711236481666,9.81832383437157,-88.5727384441338,0,0,1097.86249763297
"ENSG00000178597.5",-11.7787230161318,7.53938553872108,-88.4027988089604,0,0,1096.12192943172
"ENSG00000137709.9",-9.79078673159337,7.67423651094437,-88.3786489138464,0,0,1095.87437029984
"ENSG00000205060.10",3.07928311614867,9.52178910889626,88.3141217040934,0,0,1095.21264990716
"ENSG00000102934.9",-4.08386762588461,9.91912584700584,-88.1085723180532,0,0,1093.10227522718
"ENSG00000204033.9",-6.79012737515705,4.06358446092606,-87.778013432168,0,0,1089.70047268464
"ENSG00000198483.12",-6.9976341934604,8.95223631196022,-87.7200460177873,0,0,1089.10291245332
