Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
DNAH3,1.73238,1.585,6.287864,6.4263
LINC01224,1.179044,1.0,6.661034,7.2574
IL32,8.635331,8.6202,13.52611,13.6083
PRAC2,0.037845,0.0,3.505699,3.7004
KRT1,5.969737,6.2288,2.616872,2.3219
RAET1K,0.513443,0.0,4.266231,4.3992
ESM1,2.814101,2.8074,8.205478,8.3038
EVX1,0.199767,0.0,4.032463,3.8074
PKMYT1,5.368685,5.08975,10.401514,10.5743
KLK8,0.746845,1.0,5.158631,5.1098
RP11-554A11.9,6.296226,7.1599,1.876071,1.585
NCAPG,5.297848,5.22305,10.472098,10.6646
KLK10,5.098444,5.1897,9.446111,9.8734
RPRM,7.366674,7.55075,3.414454,3.3219
ADIRF-AS1,8.628402,8.6686,6.803245,6.9399
HOXC13,0.148017,0.0,4.249442,3.9069
PHLDA2,6.700887,6.62205,11.364931,11.5589
AP000439.3,0.832142,0.0,5.040967,5.3219
AC003090.1,5.993232,5.37495,3.763947,3.585
PWAR6,8.335621,8.3716,5.546175,5.4594
IGHGP,2.912113,2.8489,7.793117,7.8437
NOX1,1.083324,1.0,6.098737,5.5236
RMI2,5.224163,5.2479,9.648029,9.7279
SOSTDC1,7.619807,8.0661,5.889951,6.0444
MEP1A,1.149455,1.0,7.090714,7.1497
RAD54L,4.493016,4.2801,8.959307,9.2027
MYH7,5.683663,6.1127,1.938201,2.0
AKR1C2,10.411478,10.3305,8.535824,8.5091
TPO,6.434914,6.45115,4.431061,4.5236
LHX5,4.428059,5.6439,1.796562,1.0
PLP1,8.271956,7.9512,4.538703,4.3219
PAX5,2.61578,2.45345,7.538073,7.7682
CH507-513H4.3,12.909915,12.7546,17.607635,17.8285
F2RL2,5.481054,5.3219,9.757283,9.9858
CXCL8,5.372599,5.06595,11.067549,11.1687
RP11-315D16.2,0.944761,0.0,4.574656,5.2369
POPDC3,6.198224,6.5849,3.849778,3.585
LINC00982,11.191092,12.5823,6.856274,7.0112
LINC01314,7.663979,7.9571,4.007018,3.7004
KRT24,5.17425,5.30365,0.999412,0.0
CENPE,5.394783,5.2849,10.490606,10.6064
XDH,3.399634,3.4594,8.897953,9.1548
BMP8A,3.510455,3.59755,7.698118,7.7634
STRA6,1.863023,2.0,8.147414,8.1137
NEK2,3.694866,3.3219,10.004982,10.1849
CTHRC1,5.586691,5.4919,10.599766,10.7797
FOXD1,2.570465,2.3219,6.852406,7.1293
RNF112,6.897464,6.96575,4.297557,4.3923
FAM83H-AS1,6.032529,7.2479,10.577383,10.7993
PBK,4.125301,3.7539,10.046182,10.1059
MARVELD3,5.910193,6.68185,10.321721,10.5293
C9orf147,5.4046,6.0977,3.304339,3.342
RP11-19P22.8,4.972149,5.03255,2.364232,1.1635
MMP11,5.832786,5.82015,11.720232,11.6808
AKR1C1,11.456081,11.5307,9.569587,9.6226
INSRR,6.205893,6.7004,2.412478,2.3219
SP6,4.113056,4.1699,8.568182,8.5275
BRCA2,5.478014,5.5391,10.025107,10.102
FPR3,5.797158,5.82015,10.012072,10.1111
CA4,6.752348,6.97145,4.247845,3.585
ZNF662,8.503979,8.5736,6.379004,6.3399
KLK7,2.150723,2.3219,6.543241,6.5078
HTR1D,0.460966,0.0,7.354549,7.5925
ELFN1-AS1,1.828366,1.7925,6.528913,6.8455
ADAMTS12,5.870307,5.71415,10.337083,10.4522
TRPM2-AS,1.047216,1.0,6.285188,7.1293
TMPRSS4,6.433516,7.28075,12.517404,12.8878
IZUMO1,5.462516,5.89475,2.923774,2.8074
MYOZ2,4.203675,3.95345,2.059052,2.0
DLGAP5,4.27486,4.0,10.181181,10.3287
GAD1,2.36624,2.3219,6.592109,6.5078
MYOC,8.98669,9.37715,3.879772,3.3219
PLIN4,10.790815,10.41415,7.915404,7.4429
AC027612.3,4.669939,5.746,0.690318,0.0
TTK,5.044472,5.1699,9.936346,10.1812
APOBEC2,6.988342,7.4836,4.454844,4.3219
PTX3,7.522991,7.1699,5.104303,4.9542
MIR3648-1,0.06396,0.0,3.526,3.6814
MLK7-AS1,1.722891,1.585,6.099262,5.353
TNFSF12-TNFSF13,2.823968,3.4691,7.896504,8.2212
MYEOV,5.345714,5.3219,10.270408,10.5382
GAL3ST2,0.729206,0.0,5.369505,5.0444
CNTFR,7.315732,7.4136,5.44958,5.2854
RNU4-2,0.726801,0.0,4.588817,4.7549
MACC1,6.252859,7.2479,11.799259,11.9697
ENHO,5.841657,6.0112,3.990415,4.1699
FAM83H,8.800706,9.87265,13.707223,13.814
CD1A,0.65923,0.0,4.765955,4.8074
RBPJL,6.111976,7.2431,1.508061,1.0
C20orf166-AS1,6.549879,5.9771,3.512892,3.3219
CRNN,4.366879,4.5236,1.092585,0.0
WISP2,7.538611,7.49975,5.049399,4.9069
HSP90AB4P,0.418689,0.0,4.010016,4.0
GRIP2,8.933718,9.5982,6.486385,6.4155
MFSD4,11.20337,12.70605,9.060153,8.9139
CXCL9,4.555729,4.2849,11.351124,11.296
LGALS2,3.681534,4.1287,8.491089,8.3219
HHATL,2.799733,2.8074,0.625171,0.0
PTPRZ1,9.029779,9.25735,6.919611,7.0
ITGA10,8.346402,8.6165,6.27211,6.2668
AL162151.3,5.309555,6.06215,0.195317,0.0
TNS4,4.039947,3.85715,10.969065,11.1157
MTND5P1,4.126304,4.0,1.88635,2.0
PI3,3.423005,2.9037,10.608975,10.8925
OR2I1P,1.957122,1.585,8.510108,8.6184
MSX2,4.333451,4.3923,9.093525,9.0821
FAM81A,3.729159,3.7004,8.484011,8.6036
FAM72B,3.712711,3.72345,8.1035,8.2922
FABP4,8.652028,8.543,5.928115,5.8074
TNFRSF11B,3.948937,3.7539,8.272711,8.0056
CTD-2626G11.2,4.925749,5.82015,2.642639,2.3219
HPN-AS1,3.659269,4.04375,1.648368,1.3161
HPN,9.415578,10.79645,6.081844,5.3576
TOP2A,7.036645,6.8642,13.185012,13.2858
RPPH1,2.724311,2.7038,9.860096,10.3895
SKA1,3.681993,3.4594,8.9227,9.0848
PNLIP,5.303966,6.0768,0.533753,0.0
ATP1A2,8.948805,8.1873,6.460579,6.1085
RMRP,2.030756,2.0,8.108316,8.1189
SLC25A27,9.049163,9.05255,6.424491,6.585
NCAPH,4.827509,4.585,9.991848,10.1737
CHST6,2.979886,2.60865,7.075271,7.0978
MRGPRF-AS1,3.534506,3.1699,1.317881,1.0
IRX3,7.98942,9.0735,6.20399,6.0661
FAM72D,3.025644,3.2645,7.932858,8.1283
