"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000267125.2",-5.7336334191724,1.85815940417859,-77.156426296577,5.49130457515245e-311,2.82379355168064e-306,701.1817992366
"ENSG00000181885.18",5.70373169702842,10.9090938299192,53.1007774181121,2.9634135555186e-227,7.61938076327165e-223,509.68296383465
"ENSG00000068489.12",4.75639933026437,8.529721083406,48.9722686268571,2.62290681131284e-210,4.49592456527133e-206,470.823177458191
"ENSG00000145103.12",5.75320520647773,6.78895726019237,47.8297021513808,1.83486362333536e-205,2.35885480256936e-201,459.709409541639
"ENSG00000267601.1",7.54889030841833,5.33756187019006,47.4754611827149,6.02025323855908e-204,6.19158964572847e-200,456.23137880062
"ENSG00000147576.15",-5.81766815643221,7.05526024142567,-47.374631064806,1.63056928416082e-203,1.39747940499003e-199,455.238590231972
"ENSG00000130119.15",2.812004679951,9.57620652474068,47.1399693584209,1.66533406462461e-202,1.22337819435987e-198,452.923240329542
"ENSG00000204610.12",7.34903820638465,6.76924935276268,46.698963269476,1.33644598511338e-200,8.59050773656064e-197,448.553596117876
"ENSG00000214456.8",-6.60197543723589,6.99578500842066,-46.6354054417818,2.51926287850833e-200,1.43942283335037e-196,447.92186406282
"ENSG00000213373.7",-6.19247775705074,2.64174397016864,-45.6131820273698,7.22793093753571e-196,3.71681892600899e-192,437.692719867791
"ENSG00000170373.8",9.88733699688852,7.30020184051218,45.3671786724244,8.73301430532914e-195,4.0825254056631e-191,435.209304587037
"ENSG00000249936.3",4.14053873120625,8.31973595145303,45.2205244903881,3.85671492110352e-194,1.65269876156589e-190,433.728938266457
"ENSG00000049768.14",4.2549824676031,6.71222760489141,44.3716131574735,2.23237691806969e-190,8.83042448137672e-187,425.093504512776
"ENSG00000267385.1",-6.1932357644987,4.17360034494525,-44.3263838560005,3.55079458389587e-190,1.30423221348341e-186,424.6308815343
"ENSG00000230415.1",-3.58315734339933,2.09597749528035,-44.2011852284211,1.28479271227536e-189,4.40452637622237e-186,423.348961654641
"ENSG00000234648.1",-5.86029348321959,1.91208752834738,-44.083087465241,4.32953990649103e-189,1.3914870663218e-185,422.137943770274
"ENSG00000143476.17",4.65939832792,8.38652367898853,43.9409718221401,1.8722055530269e-188,5.66320153842954e-185,420.678314070836
"ENSG00000105464.3",6.10488778145111,8.54696790403652,43.755712821566,1.26753214815587e-187,3.62112809192328e-184,418.771757919467
"ENSG00000119547.5",7.01966262255674,8.724803758553,43.4218959706603,4.02088966483093e-186,1.0882432064979e-182,415.325444804153
"ENSG00000116771.5",5.20846664236711,7.9923250742868,42.6418608613798,1.36831746616657e-182,3.51814945313418e-179,407.217647397034
"ENSG00000278050.1",-3.61264988088398,1.47506966435124,-42.4326569849613,1.22759373968653e-181,3.00602632742383e-178,405.030100097907
"ENSG00000165480.15",5.22808358585344,7.96532328268682,41.3675497507974,9.49017687856934e-177,2.21824257103032e-173,393.807122951376
"ENSG00000104859.14",-1.87083039161268,10.6454298342656,-41.1898369288289,6.29335774180422e-176,1.4070579789426e-172,391.920639326183
"ENSG00000092853.13",4.95624311767699,7.70978400915632,40.7655775463394,5.85162632520068e-174,1.25378408550331e-170,387.400882979679
"ENSG00000109265.12",4.27290041635129,8.21808002154003,40.6707786457887,1.61600433813367e-173,3.32399164319391e-170,386.387864456521
"ENSG00000163347.5",5.36812485296585,9.81042351739646,40.5496811082214,5.92521755495611e-173,1.17189408587888e-169,385.092174245565
"ENSG00000257512.1",4.66160619538095,4.07956917911384,40.5060384192621,9.46793670983824e-173,1.80322114603708e-169,384.624764484249
"ENSG00000120659.14",5.10921271062505,4.81941758455233,40.4798315905568,1.25468466075303e-172,2.3042731896394e-169,384.343976300772
"ENSG00000165490.12",4.13731178781318,7.34345324507272,40.4125199824858,2.58688209271073e-172,4.58707716736083e-169,383.622382851627
"ENSG00000181722.15",3.88637660208843,7.44042102891958,40.2782291232055,1.09759792267888e-171,1.88139259926386e-168,382.181057382854
"ENSG00000212232.1",4.91847206409479,4.52488726513098,40.1081904982203,6.86428013386468e-171,1.1386512171733e-167,380.352805889113
"ENSG00000086300.15",3.74934363385899,8.61591790476645,39.9202510882588,5.22857174235826e-170,8.40215139710278e-167,378.327863930883
"ENSG00000078081.7",4.98478863752368,7.82589415428457,39.9167565507187,5.42996590142529e-170,8.4613677742119e-167,378.290170298218
"ENSG00000272763.1",7.1776638101937,5.55089598873894,39.89444746247,6.91193521954362e-170,1.0453895435135e-166,378.049498493675
"ENSG00000236882.7",-4.56007493717762,2.80679786150965,-39.874242955179,8.60079597588483e-170,1.26365351847979e-166,377.8314772074
"ENSG00000138182.14",3.00626211389685,9.48745512961317,39.4392594605003,9.63455626682759e-168,1.37621607474743e-164,373.12529559224
"ENSG00000255986.6",-4.18289745367147,1.74036407421649,-39.0446457774555,7.10818687238874e-166,9.87903496050936e-163,368.835436717096
"ENSG00000272958.1",-3.02924501568074,1.01186657695184,-38.9280965704818,2.54128231493302e-165,3.43895685475792e-162,367.564715543036
"ENSG00000136108.14",3.35966728699333,9.92031980452483,38.8254798358326,7.81283716832924e-165,1.03015263001794e-161,366.444500313921
"ENSG00000265713.1",3.76332667912062,3.15320135626193,38.7061928701772,2.887424409405e-164,3.71200063512083e-161,365.140661075186
"ENSG00000276772.1",-4.23285244593564,2.34576919862443,-38.6741478604495,4.10342732252398e-164,5.14659861478416e-161,364.790099517761
"ENSG00000265415.1",4.114180571033,3.71545632377606,38.6230038510023,7.19231430645606e-164,8.80596139478309e-161,364.230337650581
"ENSG00000121621.6",4.20180222822988,7.5916717012631,38.6091386111036,8.37464192979624e-164,1.00150979524631e-160,364.078529275656
"ENSG00000279119.1",-6.23893659701407,3.01619654468386,-38.5767822745006,1.19468533810689e-163,1.39623418503343e-160,363.724172100622
"ENSG00000204613.10",5.10125942971185,4.70303273151839,38.4125962866596,7.2613378319854e-163,8.29777278520412e-160,361.924057936362
"ENSG00000174371.16",4.53797635427609,7.40856515344329,38.2971962440406,2.58675049116445e-162,2.89170588059021e-159,360.656832450801
"ENSG00000185900.9",3.40129252949634,7.30940412917554,38.269842897097,3.49653099150315e-162,3.82557687608652e-159,360.356220136681
"ENSG00000206075.13",7.42863588338015,8.76119529549811,38.2454486270386,4.57504079259267e-162,4.90129838911444e-159,360.088050106611
"ENSG00000213366.12",-4.14334442601753,9.67171880763568,-38.2378443116728,4.97505358688829e-162,5.22106491017462e-159,360.004439671796
"ENSG00000138160.5",3.91710304091914,9.67326974112701,38.2167668356885,6.27645357316172e-162,6.4550814418539e-159,359.772652814786
