Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
RP11-791M20.1,1.024727,1.0,3.335894,3.585
DNAH3,10.380448,10.6795,6.516675,6.6294
CTD-2014E2.6,4.908102,5.4263,0.04276,0.0
IL32,8.25719,8.2046,12.098333,12.22605
CASC23,7.715274,8.4553,0.373021,0.0
PCAT1,1.483082,1.585,3.363256,3.3219
RP11-369E15.3,5.644305,6.1085,0.183879,0.0
GGT3P,7.11231,7.3486,2.913997,3.1102
HOOK1,11.519856,11.9582,8.675792,8.6724
RP5-864K19.7,4.650972,5.1309,0.371512,0.0
IGHV3-43,1.263036,1.585,5.761121,5.5234
IGSF11-AS1,9.193194,10.0056,0.387036,0.0
AC009133.15,3.776307,5.1465,0.089104,0.0
ESM1,4.117985,4.0,6.541906,6.4058
LINC00592,5.997872,6.5999,1.158483,1.0
RP11-725G5.2,6.164886,6.7415,0.315019,0.0
LINC00705,5.678155,6.375,0.249918,0.0
RP11-108O10.8,4.393304,5.0144,0.369075,0.0
DCDC2C,6.965189,7.3159,0.848758,1.0
MT1L,4.118061,4.0875,6.258105,6.2095
CTD-2528L19.4,5.029968,5.5333,0.171732,0.0
RP11-550F7.1,0.94406,1.0,3.021714,3.228
RP11-452N17.1,3.749531,4.0009,8.508413,8.45315
AP001626.2,2.287108,2.585,4.068094,4.04375
HSPA8P15,2.549864,2.585,4.140401,4.3571
CIB4,7.488565,8.2621,1.117511,1.0
GUCY1A3,5.757373,5.6724,8.104525,7.9008
ANKMY1,11.521624,11.7158,8.526591,8.5351
HLA-DRB1,9.032866,9.0347,13.030736,13.14815
RP11-132A1.3,0.842887,1.0,7.760222,8.2738
EFCAB1,9.371442,9.7142,3.507163,3.1699
KLK8,4.987387,5.1231,7.277398,7.7982
RP11-526D8.7,9.01999,9.574,2.122951,2.3219
UPP1,8.933331,8.8297,12.55394,12.94685
PSPC1P1,5.637085,5.9514,0.763231,0.0
AACSP1,8.622178,8.7748,2.277169,2.0
SLC2A1,8.912858,8.8202,12.57268,12.2161
C6orf229,7.114348,7.8384,0.408801,0.0
LEMD1-AS1,7.891718,7.8826,3.396703,3.3219
CDY1,4.671279,5.1156,0.065917,0.0
RP11-146F11.1,9.274342,9.6006,5.435084,5.36085
RP11-454E5.4,4.053012,3.9069,7.139694,7.2336
SPATA31D1,10.079603,10.5409,2.524127,2.3219
TNNT1,7.758211,7.7944,11.014695,11.28915
RPRM,5.521451,5.5236,10.113273,10.19165
ADIRF-AS1,11.271228,11.3423,6.125927,6.01645
NME2,6.220707,6.4141,9.87391,10.16465
PHLDA2,4.302648,4.3219,7.497795,7.47565
C15orf43,8.328592,8.7482,2.504862,1.585
RDH12,3.426316,3.5336,5.356442,5.4143
SMIM2,6.12155,6.7107,0.969477,1.0
BRDT,11.886501,12.3995,8.663059,9.64765
LLNLR-259H9.1,0.706031,0.4957,2.813789,2.8982
RP3-446N13.5,5.8844,6.3219,0.56667,0.0
XCL1,2.096499,2.0,6.415601,6.4214
DSCR4-IT1,1.15205,1.0,3.264245,3.8074
C11orf85,9.047269,9.3242,3.664388,3.8074
AP001468.58,5.067086,5.6058,0.142202,0.0
IGLC7,1.666802,2.0,5.507818,5.75555
CTD-2655K5.1,6.845937,7.2192,1.037271,1.0
LINC01548,6.44654,7.0334,0.141707,0.0
LINC01127,2.046432,2.0,3.694868,3.7004
SERPINB3,6.072026,6.5064,1.175707,0.0
RP11-535A19.1,4.479488,4.8972,0.301513,0.0
FAM86C1,5.945284,5.9248,8.491167,8.4592
RP11-889L3.1,9.369812,9.4121,5.365186,5.32765
RP11-539G18.3,8.560613,8.7814,3.89189,3.9069
CD79B,5.050201,5.0444,8.14012,8.07415
RP11-613E4.4,5.711177,6.1723,1.159977,1.0
RP11-1143G9.5,3.035882,3.1699,5.443525,5.3576
VNN2,3.590738,3.585,6.375793,6.3576
CTAGE6,9.188881,9.7716,1.300071,0.0
RP11-787D18.2,4.224656,4.8074,0.103749,0.0
NCEH1,6.924872,6.8826,9.585637,9.48265
RFX4,11.69515,12.2911,2.945764,2.585
NRAP,6.742684,6.7974,2.310575,2.04785
AC007557.4,6.595731,7.3219,0.181331,0.0
CYP4F34P,6.021477,6.4128,0.247203,0.0
BTLA,3.649951,3.7004,6.886482,7.14465
IGLC3,3.639755,3.1985,12.854615,13.41765
