"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-40C6.2",9.63438637722188,4.9418692689165,144.326731511508,1.69608414442266e-294,8.4454813887382e-290,662.025436949483
"HNRNPA1P4",5.81230507155504,2.98109905936001,113.523147688965,1.32664063743039e-261,3.30293719501045e-257,587.936537828163
"RP11-10G12.1",5.09939125659157,2.55259199463301,90.8669867483303,1.91016643172357e-231,3.17049424337479e-227,519.392511894655
"AC009065.4",7.26212855472549,3.52103900954197,79.3137704196708,2.94699634415731e-213,3.66856839902423e-209,477.860405463256
"SPINT1",5.93012889000846,9.18451868725085,77.613207987387,2.77111255511514e-210,2.75969557138806e-206,471.059518753258
"HMGN1P37",5.85441179916379,2.95669998931146,77.1202422573852,1.55866621827275e-209,1.29353709454456e-205,469.344355714988
"LENG8",-3.34727915774403,13.6508338140348,-75.0936223473506,6.46305842321317e-206,4.59745044464966e-202,461.065404415458
"RP11-215A21.2",5.29057322097082,3.21125695874143,72.6885434568235,1.03289383345795e-201,6.42898944290065e-198,451.442272996278
"RPS2P55",6.2506728794919,4.73869085359641,72.3185356424106,4.85398690915054e-201,2.68554915726936e-197,449.903250251213
"AURKB",6.22096104853958,7.47529846920726,72.2397616529177,8.28875293778062e-201,4.12730163783848e-197,449.370560607855
"GALNT6",5.62418506092044,7.94897529570923,71.6548552963964,9.71494630198128e-200,4.39769123782596e-196,446.922312528658
"RP11-64K7.1",5.01542618275307,2.78717068974836,71.5558616084521,1.20499193097361e-199,5.000114017575e-196,446.708489184362
"ETV4",7.70252371225691,8.5757720880298,70.1312925712735,6.43262584245255e-197,2.46389362460833e-193,440.460000293838
"F2RL1",6.71198959290622,7.17719933119433,69.2290498747764,3.19457126115584e-195,1.13621772412853e-191,436.573733701142
"APBB3",-2.98815059812184,10.5367799881585,-68.922762138896,9.98884230304343e-195,3.3158960909183e-191,435.439421293987
"EEF1A1P9",5.44861197811177,3.98198332575785,67.7130823430549,2.06297688443343e-192,6.42024193646738e-189,430.13342079331
"CLDN6",8.58335164417436,7.69029885237002,66.7448745020363,1.8873824534144e-190,5.52825422854802e-187,425.636744966091
"ESRP1",6.86575820103182,8.61683183759004,66.3764453128016,9.92205167896094e-190,2.74477022945656e-186,423.984221442895
"PRR11",4.5792146188599,7.30362744527209,65.1418092320718,2.27425687695881e-187,5.9602287858572e-184,418.57195249384
"SUGP2",-2.68611856348981,13.2684732839693,-65.1360475108436,2.81057382560048e-187,6.99748565359751e-184,418.360942348673
"CATSPER2",-4.37923459552986,9.02798800612874,-64.8446188729366,1.0733943682701e-186,2.54517138922101e-183,417.026210768282
"EEF1A1P12",5.86026816771787,4.57282787474974,64.4858925979582,4.68322605129427e-186,1.05998435453703e-182,415.558870831595
"DSP",4.53477664290691,10.5424998530052,64.2925917004207,1.37816520769458e-185,2.98366775443235e-182,414.48357642281
"AC000089.3",4.88171155677743,4.13428906130397,63.7289134479654,1.5884367451927e-184,3.29560913708855e-181,412.048267621693
"RP11-22C11.2",5.98188987015902,3.68324974587644,63.0049986175016,4.77676469229471e-183,9.51416884352491e-180,408.657084741401
"FAM64A",6.13890318317523,6.0728496349289,62.9133350465042,8.76271352206179e-183,1.6781944504521e-179,408.052489332363
"MT-TA",5.66890644802903,2.9387729333194,62.7074957677992,1.95344022741131e-182,3.60257787717477e-179,407.253678905215
"GDPD2",7.65021964235643,4.88371846722828,62.5745129212566,4.38794833937994e-182,7.80333927182446e-179,406.4472460872
"LRCH4",-2.67713091424772,12.4402251176777,-61.8711486666692,1.25883885370469e-180,2.16146972004729e-177,403.102308999887
"HNRNPCP2",4.06664839652684,6.67112986695951,61.6198784600217,3.53259739484258e-180,5.86340515595971e-177,402.073905895955
"LASP1",2.53950655338652,12.0888818874618,61.1961402889225,3.25198585361415e-179,5.2235285030601e-176,399.861452567823
"TSPYL2",-3.82168059930927,12.6416202602176,-60.8551503661547,1.70031198979764e-178,2.64579172562449e-175,398.212671481452
"EIF4BP7",4.54363701924077,6.14671585835929,60.6854624745834,3.26933584577073e-178,4.93313057891842e-175,397.56091837204
"CYP11B1",-7.07843680061836,4.10501103346228,-60.6570943229365,4.46003697860849e-178,6.53185533273032e-175,397.251400165325
"MBD1",-2.27131968431516,12.0278152944153,-60.11579558081,5.84782177353911e-177,8.31961249690304e-174,394.685907357873
"LAD1",6.45303769373085,6.68204236831072,60.0888618680011,7.19990299744749e-177,9.95866582930279e-174,394.478587654176
"DFNB31",-3.48951214217861,10.8281783892323,-59.8910297056243,1.90606657719968e-176,2.56515349040759e-173,393.508003935898
"RPS28P7",4.76130789376071,8.65033971765542,59.7511372911114,3.80035991543996e-176,4.97987162182677e-173,392.820039174446
"RP11-464D20.2",5.10540650922793,3.61303671766854,58.9638917333546,1.60232642604974e-174,2.04580107842873e-171,389.089426320055
"TK1",4.3471656558532,8.6407309481694,58.9533583539522,1.99596372846176e-174,2.48467544737562e-171,388.870517734217
"AP2A1",-1.79980209393531,12.9730275609025,-58.8181444676611,3.34439049225876e-174,4.06172146759836e-171,388.35571592462
"SNRPGP2",4.66088171763336,3.78838006886923,58.4148933446171,2.51444220949037e-173,2.98105084236579e-170,386.34405681718
"ARSI",5.26686747737112,6.08007573823773,58.3448955208739,3.79712745638303e-173,4.39707359449155e-170,385.933064936041
"RPS24P8",4.38882543476926,2.88810830793971,58.0778304613397,1.37774508897432e-172,1.55916906728153e-169,384.647775634724
"PPIAP22",4.49659806389012,8.99146900310532,58.0329938352109,2.03715458451462e-172,2.25417945291825e-169,384.257898253666
"PHB2",2.880871384535,12.4639605263804,57.9887820180248,2.54792665749656e-172,2.69364718948534e-169,384.034782319067
"LINC01471",-7.79935452054613,4.38355975079173,-57.987160075332,2.56893182659245e-172,2.69364718948534e-169,384.026594445917
