Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
FMO2,9.645129,9.8122,6.371959,6.59245
KRT1,6.283216,6.4757,1.781323,1.585
ESM1,5.613696,5.585,9.325565,9.2773
ADTRP,3.380663,3.4594,7.647869,7.62575
RP11-550F7.1,0.699307,1.0,3.738327,3.9551
MT1A,7.378932,7.585,4.381778,4.2479
RP11-452N17.1,4.161156,4.251,7.871321,7.7985
RP11-106M3.2,8.786957,8.8826,5.97102,6.02945
KLK10,3.888692,3.9069,10.42067,11.9473
XKR5,0.353008,0.0,3.508925,3.7004
DEFA1,4.23701,4.0976,0.631072,0.0
IGHGP,3.397343,3.228,7.40351,6.79595
NRAP,4.412651,4.4594,0.826355,0.0
RMI2,4.775922,4.858,9.090479,9.2228
RP5-940J5.9,1.131958,0.0,7.531521,8.61385
OGN,9.091887,9.1293,6.001993,6.51555
MYH7,7.008625,7.0648,2.086786,2.0
AKR1C2,9.96335,9.9686,6.437775,6.47425
TPO,16.091446,16.4033,13.483863,13.14345
PRG4,6.63419,6.5119,3.841418,3.6017
S100A12,4.78199,4.585,1.965932,2.0
PLP1,7.328184,7.375,4.338758,4.0875
TIMP4,9.055525,9.1997,4.712462,4.6439
CD164L2,3.486741,3.3219,7.037799,7.5925
RP11-343H5.4,4.680832,3.6971,1.417629,1.0
FTH1P7,5.284309,5.1635,9.22543,9.19605
FGF10,7.368663,7.4976,1.934715,1.585
LINC00982,11.084932,11.221,8.125901,8.21675
LINC01314,5.407312,5.3923,9.822647,10.2917
STRA6,3.594311,3.585,9.336631,10.3492
NEK2,2.40084,2.3219,5.513021,5.585
GLT1D1,5.181224,5.2095,9.323428,9.7194
RNF112,7.259359,7.2854,4.396903,4.4594
PBK,2.239626,2.0,5.707287,5.7549
IFNWP19,1.837079,1.9523,5.34989,6.02745
CYP8B1,4.795447,4.858,1.867018,2.0
LY86,4.180059,4.0875,7.585416,7.7211
HLA-DRB6,4.827349,5.4919,8.60536,8.69855
AKR1C1,10.655914,10.7009,7.286451,7.2323
RP1-193H18.3,3.88608,4.1699,0.753568,0.0
VIPR1,9.938006,10.1356,7.396269,7.389
RP11-286N22.16,4.496154,4.5236,1.474013,1.585
CA4,10.174548,10.4471,7.296321,7.72785
KLK7,2.624888,2.585,8.637342,10.4448
C6orf141,6.659428,6.8329,3.226776,3.3219
LOC100421166,3.948965,4.0875,0.515523,0.0
TREM1,4.408058,4.3923,8.093905,8.3353
ZCCHC12,5.578352,5.3576,13.20646,13.9549
IGFN1,12.980063,13.1788,9.324507,9.566
WSCD2,10.445887,10.5755,7.167301,6.9425
TMPRSS4,3.058798,3.0,10.05272,11.22125
TBX1,8.86705,9.0307,5.383644,5.4594
DLGAP5,2.642009,2.585,6.081022,6.1898
RP11-1036E20.9,1.124493,1.0,5.649479,6.82655
MYOC,9.39768,9.7125,3.638122,3.1699
PSG8,0.592959,0.0,4.148405,3.3858
EEF1A1P16,0.175,0.0,3.395736,3.4621
PLIN4,8.838647,8.7715,6.369668,6.2668
SLC25A48,1.346239,1.585,4.651789,4.78115
NPW,2.140012,2.0,5.346218,5.4263
RP11-280O1.2,2.263234,2.0,7.291676,8.1085
NACA2,1.674758,1.585,4.727561,4.7671
CDH4,4.722197,4.7549,8.789457,8.9958
CNTFR,8.834299,8.9801,4.882099,4.4594
PCK1,6.009572,6.0661,1.894461,1.585
AC079630.4,5.406155,5.4263,9.713726,10.11825
RP6-24A23.8,4.046938,4.3219,1.035177,0.0
CD1A,1.076028,1.0,6.031703,6.4594
RP11-1143G9.4,3.284582,3.756,6.83713,7.1738
WISP2,8.369653,8.3354,5.581817,5.52325
LAMP5,3.842422,3.585,8.143422,8.5097
PRSS53,7.923063,7.9152,5.453573,5.53135
PRMT8,2.484499,2.585,5.768642,5.4591
ADH4,3.423805,3.3219,0.389645,0.0
MYBPH,1.849313,1.585,5.151498,5.30365
TFCP2L1,12.736852,12.8754,9.596609,9.2656
LGALS2,1.586946,1.585,4.647973,4.4594
TSPAN8,6.84919,6.9425,3.8601,3.8074
RP11-5A19.5,8.088907,8.1148,4.991602,5.0955
DEFA1B,4.133641,3.9069,0.367654,0.0
IGSF10,8.706008,8.7668,5.577001,5.6131
FABP4,11.253109,11.3151,7.120505,7.2431
DDX3Y,8.227144,11.4702,3.580905,1.0
DEFA3,3.229487,2.926,0.296631,0.0
GRHL3,2.196982,2.3219,7.595451,8.0607
TMEM52B,1.323746,1.0,4.43773,4.61445
TOP2A,5.579259,5.4594,9.186304,9.31855
SSTR3,1.029462,1.0,6.012284,6.6147
PNLIP,3.591402,3.9069,0.048893,0.0
CTD-2012K14.5,5.889188,5.9773,2.941239,3.0
BRIP1,2.818454,2.8074,6.131466,6.2668
ODAM,6.383308,6.5546,2.642671,1.585
SLC6A15,4.435377,4.7004,1.200563,1.0
RPL12P38,0.447866,0.0,4.919263,4.9364
RP11-221N13.3,0.750113,0.0,5.467906,6.0875
CCL17,1.159216,1.0,5.717596,5.9773
KLK12,0.894684,0.0,4.194137,4.3823
EBI3,3.789776,4.0,7.366668,7.5699
TBCAP1,0.836154,1.0,4.456458,4.5601
HNRNPA1P27,2.168301,2.0,5.768671,6.1457
HNRNPA1P4,0.51401,0.0,4.512641,4.57955
CLSTN2,9.548773,9.6865,6.276411,6.2095
ACTA1,7.087296,7.0553,2.031605,2.0
KRT4,4.635471,5.6147,1.201341,1.0
EIF5AP4,0.869992,0.5656,6.126661,6.2579
RP11-392E22.9,7.380099,7.4546,3.836536,4.0117
IVL,1.921329,2.0,5.914132,6.6439
AC025165.8,5.729825,5.7503,2.378722,2.41675
MRGPRF,8.790616,8.8887,6.328058,6.4213
CKM,6.609592,6.5699,1.989714,2.0
AC090505.5,1.115973,1.0,4.288477,4.585
CORO6,13.134928,13.2625,10.577469,10.8494
NRXN1,5.59001,5.7549,1.430682,1.0
ADCY8,0.525732,0.0,6.42571,7.2621
CTXN1,5.98665,6.0875,9.528336,9.86415
GFRA1,8.848559,8.8642,5.907189,6.0
SLC1A7,6.610373,6.591,2.99728,3.0
SLC22A31,3.964378,4.0,9.995787,11.32895
CTC-518B2.12,0.118009,0.0,3.143609,3.52855
DCSTAMP,1.396958,1.0,9.985469,12.12865
AGAP11,8.634285,8.7269,6.041498,6.0845
BMP5,6.207411,6.2854,3.171846,3.3219
SLC6A20,2.367371,2.3219,6.590697,6.85775
MISP,3.054773,3.0,7.641758,8.2574
RP11-544O24.2,1.522246,1.6871,4.609183,4.83845
SERPINF1,12.503878,12.571,10.424231,10.4247
EIF1AY,5.906144,8.585,2.860158,0.0
RP13-895J2.4,6.61558,6.6795,3.645685,3.7344
CSF2,0.233779,0.0,4.777922,5.4093
TRPC5,0.837365,1.0,7.511889,8.3576
PBX4,10.005611,10.1098,7.539158,7.4263
PLA2G12B,0.654882,0.0,5.652062,6.0222
GPR17,7.191937,7.2008,3.464041,3.585
BTNL9,11.172432,11.2485,8.911977,9.0781
RP11-734K23.9,9.066623,9.3739,6.557787,7.12915
RP11-238K6.1,4.470718,4.6439,1.397648,0.0
RPL23AP65,2.84749,2.9764,6.293096,6.3912
RP11-469H8.6,1.400988,1.585,4.804027,4.88245
DRAXIN,1.783662,1.585,6.923408,7.38365
RP11-320N7.2,0.560865,0.0,4.833472,5.0
SIGLEC15,2.104948,2.3219,6.757803,7.2761
PAX8-AS1,11.175116,11.3528,8.948575,8.98065
AL158801.1,1.406094,1.5558,5.254309,5.32605
LINC00853,2.173318,2.3219,5.856369,5.9307
RP11-616M22.2,5.355151,5.4263,1.248709,1.0
ABCA10,9.428178,9.4737,5.567193,5.591
FAM230B,1.788806,1.6415,4.919876,5.35865
ALOX15B,6.633253,6.7004,10.295822,10.88605
KDM5D,8.35195,11.7056,3.475303,1.0
PCSK1N,4.861677,4.5236,8.619395,8.95565
SPINK2,2.749091,2.8074,6.221811,6.23835
RP11-316M1.12,2.568608,2.7887,7.687938,8.19295
RP11-16K12.1,0.626316,0.0,4.240064,4.8316
CLCNKA,10.413094,10.5143,6.226642,5.7244
KRT80,5.642644,5.4919,9.953838,10.41525
RP11-430C7.5,6.416216,6.3576,3.510629,3.4594
TTLL6,4.404973,4.5236,0.724501,0.0
FBXW10,5.913666,6.0155,3.119774,3.2327
SH3BP5-AS1,11.672043,11.7338,9.54251,9.57325
MYH2,4.377178,4.408,0.377559,0.0
TDO2,1.552197,1.0,5.230427,5.3923
MMP7,2.107472,2.0,7.346762,7.8704
CPNE4,2.606344,2.585,6.854691,7.5038
AC018816.3,1.941051,2.0,6.02869,6.2095
IGF1,10.73947,10.758,7.989564,7.86705
CAMK2N2,1.579431,1.6041,5.449979,5.56165
CECR2,8.673829,8.8009,5.386958,5.26665
TSPAN19,4.416486,4.585,1.490688,1.0
RP13-895J2.3,8.106219,8.2385,4.317798,4.4074
APOC1,7.461306,7.4262,11.304565,11.51015
AC079630.2,0.982054,1.0,7.547395,8.1649
ACTC1,7.103972,7.1396,4.098127,4.0875
RP11-301L8.2,6.915522,6.9887,3.86654,3.85715
STX16-NPEPL1,8.034416,8.1032,4.87315,4.9681
PRL,3.30823,3.1699,0.215724,0.0
BIRC7,2.002704,2.0,6.30358,6.38365
RP11-496I9.1,9.049407,9.035,5.681284,5.791
RGS8,7.717609,7.7211,5.246858,4.585
ADORA1,6.872685,7.0,10.847576,11.0196
IGFL2,0.650673,0.0,6.491242,7.0977
RP11-392E22.10,4.456412,4.7109,1.313966,1.1309
RP11-115H13.1,5.280432,7.9944,2.395746,0.0
DPY19L2,10.637068,10.7422,8.415044,8.3389
