Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
DNAH3,1.679526,1.585,6.497374,6.569877
FMO2,9.344455,9.58355,4.178329,3.7004
AP000892.6,12.792844,12.7843,8.930464,8.6647
LINC01224,0.857667,1.0,6.193028,7.1497
PRAC2,0.058782,0.0,3.882664,3.9069
HOOK1,4.720922,4.78115,10.585085,10.7254
KRT1,6.163535,6.4993,1.675345,1.585
RAET1K,0.465987,0.0,4.182836,4.3009
ESM1,2.916755,2.8074,8.854114,8.9307
RP13-554M15.2,5.951205,6.0,2.204099,2.3219
PKMYT1,3.403872,3.0631,10.543769,10.6127
RP11-452N17.1,4.826372,4.8104,8.759541,8.7564
KLK8,1.713182,1.2925,6.528247,6.5618
RP11-106M3.2,8.338244,8.4919,4.674266,4.7719
RP11-554A11.9,4.474955,4.6439,1.06929,1.0
NCAPG,3.75076,3.87035,10.290766,10.5225
KLK10,4.764154,4.6433,9.486099,9.8673
LA16c-329F2.1,0.148526,0.0,3.330281,3.3219
MASP2,7.312965,7.47975,3.727462,3.9069
RPRM,9.454041,9.43755,4.997424,4.9069
TNNT1,3.755518,3.85715,8.913419,9.4491
ADIRF-AS1,10.352229,10.24835,6.556337,6.5329
KCNE4,10.067787,10.1602,6.433567,6.4263
EVPL,7.379331,7.4429,11.179863,11.3254
AC003090.1,7.861965,7.79115,2.56516,2.585
ACOX2,9.811329,9.8742,6.927386,6.858
RP11-166D19.1,11.352418,11.2562,8.787415,8.9744
STARD5,10.10215,10.1645,7.305527,7.304
MEF2C-AS1,5.842159,5.82015,1.692136,1.585
ASB2,10.775428,10.7649,7.112033,7.1189
IGHGP,2.040362,1.6369,7.422572,7.3851
OGDHL,5.051196,5.0875,9.604341,9.9233
FGFBP1,1.753578,1.585,6.531739,6.3923
JAKMIP3,7.344241,7.40915,3.476934,3.1699
LA16c-380H5.5,1.154001,1.0,6.013469,6.1898
HES7,4.357719,4.3219,1.122343,1.0
IGLC3,6.301115,6.03235,10.197432,10.4437
PCBP3,8.30704,8.15985,5.012584,4.9542
SLC7A11,3.911092,3.585,9.093858,9.0196
RMI2,4.947883,5.0222,9.830093,9.8903
FAM207BP,1.091103,1.1043,4.683901,4.7274
RP5-940J5.9,0.744537,0.0,9.704548,11.0107
SOSTDC1,2.186554,2.3219,5.986468,6.6147
RAD54L,3.891327,3.9689,9.468437,9.6977
OGN,11.272445,11.2646,3.869334,3.4594
MYH7,5.6809,6.0471,2.541499,2.3219
ADCY2,9.223528,9.2126,4.523604,4.5236
PDE1C,8.611694,9.0539,4.358287,4.2479
PCDHGA2,8.402899,8.33735,4.423085,4.4944
CICP14,9.730472,9.714,6.971621,7.1006
DLX6,3.369049,3.0,9.676311,10.6466
POU6F1,10.64275,10.59135,8.012084,8.0768
CSPG4,12.259412,12.2729,9.095091,9.0251
B3GNT4,3.471942,3.4476,6.841932,6.7797
PLP1,7.843742,7.6582,1.849235,1.0
DNM1P47,6.060688,6.0904,1.218045,1.0
FLJ26245,0.012821,0.0,4.204381,3.585
RIMKLBP2,4.115104,4.1699,0.736784,0.0
AP002954.3,5.093123,5.1496,1.825106,2.0
RP11-883G14.1,0.254459,0.0,3.428575,3.3219
MCF2L-AS1,2.728596,2.8074,6.059028,6.4094
CRB3,2.625586,2.585,9.880684,10.0307
AKR1B15,0.312051,0.0,4.679506,4.4114
CH17-472G23.1,4.131383,4.26765,0.814889,0.0
BPI,5.144733,5.30365,2.395868,2.3219
RP13-514E23.1,6.152664,6.2287,2.628659,2.585
NRK,7.475942,7.4468,2.969667,2.8074
SLPI,5.519382,5.42585,14.093951,14.3785
AC129492.1,4.605377,4.87795,1.18065,0.0
RP11-815J21.4,4.762633,4.8089,0.794258,0.0
TIMP4,7.16829,7.30375,2.642945,2.585
CD164L2,1.001973,1.0,6.259727,6.1497
RP11-347I19.7,7.963846,7.97055,5.374876,5.4266
FTH1P7,5.016549,5.0371,8.7648,8.7977
AC009005.2,2.937046,3.11585,6.663271,7.1024
FGF10,6.168376,6.1552,1.546454,1.0
PRRT2,11.694442,11.6568,6.192114,6.0875
IGHV3-21,2.057803,1.8114,5.66675,5.5267
RP11-57A19.2,0.602755,0.0,6.249038,6.5392
FXYD6,13.689451,13.6804,9.908636,9.9015
DPYSL3,13.554153,13.57365,10.834083,10.6935
CXCL8,3.740246,3.39065,8.418019,8.4221
ANTXR2,12.879881,12.88455,9.499466,9.697
APBA2,5.620262,5.4919,10.025096,10.4094
TNFAIP8L3,11.396608,11.3373,5.825819,5.9542
SPDEF,3.429615,3.1699,9.983511,11.014
KIAA1324,5.239418,4.6439,10.870497,11.733
HOXB-AS3,4.034226,4.0875,7.429026,8.1151
KB-1562D12.1,0.139832,0.0,4.09814,4.4594
ADAMTSL4,11.889764,11.86275,8.055958,7.9944
LINC00982,6.509397,6.5157,2.157191,1.585
PRPH2,7.017695,7.10845,4.39079,4.7004
CDO1,7.651759,7.6924,4.481082,4.0875
RP1-253P7.4,6.358172,6.56915,1.992573,2.0
RIPPLY3,0.986706,1.0,6.773248,6.7279
CDON,11.221785,11.264,8.359429,8.4732
PGM5P4-AS1,4.946351,4.9214,0.856296,0.3561
ZMYND10,5.422804,5.2479,9.064588,8.6653
CENPE,5.115797,5.0875,9.477646,9.6847
XDH,1.074149,1.0,7.207023,7.4512
STRA6,6.498909,5.6864,10.533692,10.6883
ECE2,5.494981,5.4263,9.873696,9.9917
ADAMTS9-AS2,8.471442,8.44625,3.489675,3.585
NEK2,1.853385,1.585,10.045246,10.2288
ALDH3A1,3.802935,3.85715,7.29246,7.1799
SCN2B,6.938706,6.9597,2.828808,2.3219
CRIP1,9.250754,9.45895,12.937495,13.2192
RNF112,7.953422,8.00145,4.629677,4.6439
DNM3OS,9.78656,9.76735,6.305005,6.2288
FAM83H-AS1,1.743862,1.585,9.870838,10.0084
PBK,1.639536,1.585,9.632819,9.7814
MARVELD3,3.728082,3.62525,9.987766,10.2396
FAM198A,9.613796,9.63815,6.906098,6.9959
MMP11,8.141586,7.4247,12.901495,13.0966
RP11-109P14.10,0.891315,0.0,5.171224,5.5644
NFASC,11.915604,11.9401,7.25911,6.9658
CCDC85A,7.801765,7.7491,3.624316,3.6088
INSRR,6.439713,6.51465,2.449637,2.3219
BMP7,4.021782,3.585,9.380328,9.411519
RP1-193H18.3,3.229312,3.7004,0.177485,0.0
RP3-325F22.5,1.122724,1.0,6.367687,6.5078
MUC1,9.991345,9.90095,14.073896,14.2555
EPB41L4B,4.371579,4.0875,9.87657,9.9773
MSL3P1,2.925536,3.58255,7.050711,7.8074
CA4,7.0773,7.0389,2.882049,2.585
FREM2,4.495833,4.0875,9.218662,9.4959
TMPRSS3,1.72689,1.585,9.699387,9.8517
ZNF662,9.918185,9.96645,6.443413,6.585
LRP1,14.854179,14.84175,12.518958,12.4959
RP11-498C9.13,0.899573,0.0,6.060093,6.8249
DDR2,12.324874,12.3154,9.193366,9.1421
KLK7,2.672873,2.3219,6.053796,5.7814
DLG1-AS1,0.402781,0.0,3.751052,3.9069
CLIP3,12.234796,12.2913,9.032726,8.9744
FBXL22,10.438962,10.63645,5.951835,5.9542
DACH2,4.826132,4.7539,2.070118,1.585
LOC100421166,4.523455,4.7549,0.234249,0.0
FRMD6-AS1,6.055635,6.0112,3.42424,3.585
CLMP,11.744209,11.7846,7.423679,7.6366
ZCCHC12,10.741546,10.74185,6.03517,5.7549
ELFN1-AS1,0.849136,1.0,4.873738,4.858
FOXG1,1.560595,1.585,5.347357,5.858
IGFN1,8.427426,8.0819,5.17147,4.807335
GOLGA8Q,5.377862,5.5702,1.452128,1.1635
TIAF1,9.003595,9.021,6.361366,6.4712
C1QTNF4,7.605535,7.6582,3.70372,3.585
WSCD2,9.641379,9.66625,3.946503,3.7004
TRPM2-AS,2.896365,2.8074,7.334489,7.7279
COL6A4P2,6.356059,6.5312,3.050664,3.0
RP11-927P21.5,6.423723,6.4999,2.951472,3.4396
TMPRSS4,2.372621,2.3219,11.928336,12.3805
F11R,9.666379,9.606,13.422201,13.554
MYOZ2,6.499555,6.4093,1.200599,1.0
DNAAF3,4.135855,4.2479,9.112263,9.1749
NUP210,7.252453,7.0874,12.331832,12.3443
DLGAP5,1.8692,1.585,10.060934,10.2033
ZNF280A,0.30891,0.0,4.342918,4.6439
EXTL1,7.150042,7.28995,4.483877,4.585
C9orf152,2.30066,2.3219,7.532294,8.0168
TEKT2,4.639374,4.7004,8.258177,8.1649
JSRP1,3.220727,3.25095,8.266798,8.5596
IGKV3-20,4.499204,4.2849,8.089979,7.8559
HRASLS2,1.013333,1.0,5.1638,5.2479
RP11-594C13.1,4.076024,4.2089,0.194609,0.0
RP11-535A5.1,5.462658,5.39195,0.614034,0.0
LINC00626,0.130385,0.0,3.280905,2.8074
MYOC,7.392197,6.99985,4.719352,4.7004
LRCH2,9.179718,9.1923,5.75226,5.6724
PLIN4,11.763022,11.84175,7.31045,7.1799
SLC25A48,0.57456,0.0,3.686355,3.585
TTK,3.119705,3.0,9.78479,9.9901
AOC4P,6.276527,6.3362,1.553258,1.585
IGLV3-1,2.308379,2.0,5.819154,5.7101
PDZD4,9.747377,9.86875,6.09322,5.858
IGLV3-21,2.713686,2.45345,5.99609,5.5546
MMP15,7.931124,7.9801,11.87591,11.9762
CSPG5,3.942062,3.8074,7.850189,7.9009
PCDHGB4,7.627019,7.69125,4.41776,4.211
DMRT1,0.368582,0.0,4.244205,3.9069
MYEOV,2.977042,3.1699,6.583378,6.5392
RASSF7,7.785635,7.7448,11.602381,11.6115
FOXA3,1.608563,1.585,5.125738,5.0
PPP1R14A,11.035288,11.1234,8.257153,8.2336
KLHL33,4.823119,4.9069,0.674777,0.0
THPO,7.103932,7.098,3.829174,3.4594
ABCD2,6.743036,6.89475,3.742145,3.8074
F10,8.799628,8.9189,5.509068,5.3576
MFSD6L,1.608549,1.585,7.671322,8.0389
MACC1,3.898554,3.5222,8.776884,8.9887
AC090044.2,3.137709,3.3219,0.262722,0.0
SMIM22,1.834501,1.585,10.51547,10.9787
AC079630.4,5.691582,5.67215,2.241361,2.0
CTD-2008P7.8,0.051282,0.0,3.638025,3.3219
ITPR1,12.450373,12.4083,8.663688,8.817
FAM83H,4.277986,3.95345,12.274984,12.3432
FIBIN,8.999287,9.13825,5.728832,5.8074
RAP1GAP,5.243817,5.1084,10.87212,10.9189
WNT7A,1.414122,1.0,9.048136,9.585
FBP1,5.114608,5.1496,8.897747,8.9972
RP11-440I14.2,4.035444,4.19975,1.101152,0.0
CD1A,0.559038,0.0,4.169255,4.0875
RP4-737E23.6,4.348312,4.0875,1.038333,1.0
CTB-178M22.2,0.539158,0.0,3.690102,3.7004
CCDC64B,3.224444,2.8074,10.193291,10.4925
HP09025,4.325626,4.42585,0.730972,0.0
CRNN,4.565928,4.61445,1.367648,0.0
C20orf166-AS1,8.923849,8.9613,1.932424,2.0
RP11-283G6.4,0.744832,1.0,4.148088,3.8074
RP11-1143G9.4,2.880588,2.90575,7.6576,7.8193
CYBRD1,13.209783,13.25565,10.488637,10.6384
HSPA12B,10.062,10.08615,7.425426,7.3309
RP11-276H19.1,6.798723,6.8642,1.873126,1.585
WISP2,9.487369,9.8162,4.962092,5.0875
PRSS53,8.78686,8.7113,5.877233,5.9916
PITX1,3.646556,3.585,8.42733,8.5661
DCLK1,9.587776,9.71425,7.003084,7.0768
LINC00858,0.749921,0.0,4.673141,5.1293
RIMBP2,7.888106,8.0394,5.327226,5.2479
GRIP2,8.067253,8.04805,4.810904,4.8166
AP000473.8,7.252686,7.3966,2.208782,2.3219
FAM92B,1.125776,1.0,4.985892,4.4594
TMEM240,7.848132,7.8917,5.260456,5.2095
MIR133A1HG,4.709247,4.8074,0.996099,0.0
PARM1,11.593714,11.62975,8.951522,8.9069
TFCP2L1,4.177771,4.2479,9.905499,10.261515
CXCL9,3.676851,3.39065,8.428657,8.3837
IGLC2,7.081422,6.92385,11.159736,11.3042
AKR1B10,2.246714,2.3219,5.809765,5.2257
CACNA2D1,9.860503,9.88335,6.207861,6.0224
ITGA10,9.018551,8.99715,5.75291,5.7549
TEKT1,1.642265,1.0,5.394513,5.0444
AC016995.3,5.752155,5.7804,2.190164,2.0
BEGAIN,7.7757,7.804,4.710256,4.7549
SNHG24,3.416397,3.3219,0.633507,0.0
AL162151.3,6.886691,7.0449,3.811675,4.0461
TNS4,2.884413,2.8074,6.630328,6.4757
MTND5P1,4.044605,4.1699,0.865842,0.0
PI3,2.270279,2.3219,8.310532,8.5661
CAPSL,0.680559,0.0,6.37699,6.5699
OR2I1P,0.600427,0.0,4.615398,4.7004
PLSCR4,11.000627,11.0209,7.174264,7.3923
ERBB3,7.153394,7.15975,12.422754,12.5563
AC007009.1,2.214985,2.3219,6.502414,6.5396
