"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000219928.2",8.18829266452799,6.82446885396704,122.849001603235,0,0,1637.45105422375
"ENSG00000204253.4",3.65906920631683,7.85299693067719,79.7829897248403,0,0,1145.01964976866
"ENSG00000234743.1",5.04117428300675,5.23277249057282,73.0112687840203,0,0,1050.78068733125
"ENSG00000240854.1",3.87937223674144,3.45127050356735,67.8729637454341,0,0,975.782036680693
"ENSG00000229237.2",4.09553867724773,3.45037469788252,67.0882318539867,0,0,964.028768449462
"ENSG00000272789.1",-6.70516173302386,3.68620462985549,-64.3598328790516,0,0,922.493519327187
"ENSG00000129467.13",-3.83963249379572,8.80163332485152,-61.4779833078767,0,0,877.691999703557
"ENSG00000226252.1",-5.33572526828919,3.23075246681214,-61.0019719663045,0,0,870.191479076086
"ENSG00000240247.6",-8.24727677823413,3.22241046430122,-59.7504102477038,0,0,850.334998187011
"ENSG00000186994.11",-4.14031916452298,7.79742541998301,-59.562658160907,0,0,847.339324033331
"ENSG00000251322.7",-3.53425953861852,10.5043219610398,-58.5810790321,0,0,831.606110185354
"ENSG00000206047.2",-7.75554366822787,3.50838404231083,-58.3655465560468,0,0,828.135382092082
"ENSG00000213131.3",3.90732843785989,5.08695368879149,58.3549563882461,0,0,827.980789391385
"ENSG00000092054.12",-6.09599428654736,2.58356625483739,-58.0304946563841,0,0,822.728568693767
"ENSG00000213228.5",3.54610925923967,3.34317261060055,56.8669273817627,0,0,803.90254022523
"ENSG00000161835.10",-4.00132686338068,8.93079694523983,-56.5559568482271,0,0,798.768594982039
"ENSG00000162367.11",-4.28184550886199,7.17465194434195,-56.5319228262385,0,0,798.375846018569
"ENSG00000153902.13",-3.98389683045903,6.8832357365542,-55.8633959169121,0,0,787.422884503706
"ENSG00000235734.4",3.43964789779952,2.94606973839083,55.4815825939706,0,0,781.198865746741
"ENSG00000187800.13",-3.79990840278095,8.58692619600336,-55.3566861070001,0,0,779.084824865947
"ENSG00000241431.1",4.37790022567099,3.69115209537048,54.8644692429072,0,0,770.955496210703
"ENSG00000280323.1",-3.68640114796916,1.16259602382294,-54.6384462988804,0,0,767.212784662459
"ENSG00000234389.1",-5.27245258091995,2.67597705456013,-54.539954747541,0,0,765.579946713066
"ENSG00000008438.4",-5.00067647905265,2.10258691847797,-54.5308616832787,0,0,765.429139142078
"ENSG00000236525.1",-3.83193137714812,1.31835269563178,-54.4690013956598,0,0,764.402929701432
"ENSG00000111245.14",-5.10912550111481,1.97337661315612,-54.0194118332089,0,0,756.930894757493
"ENSG00000167549.18",-5.07345344665864,7.20253017208837,-53.9928709018563,0,0,756.489040555885
"ENSG00000018280.16",-4.51448455295065,10.73258347587,-53.9827998204356,0,0,756.32135499854
"ENSG00000213260.3",4.14508733097949,5.50577241059902,53.9521268094739,0,0,755.810568918375
"ENSG00000142748.12",-6.5719207581581,8.83552027753162,-53.7124540641242,0,0,751.815547876481
"ENSG00000159339.13",-5.65217191627081,3.9991087775492,-53.151780303038,0,0,742.443392176523
"ENSG00000206228.4",3.61295952872174,3.47735036208717,53.012237364486,0,0,740.132501948347
"ENSG00000249264.1",3.64016746368626,5.78038346124712,52.8431939779566,0,0,737.269371446465
"ENSG00000165810.16",-6.46087364260227,8.24583788478532,-52.8142326238156,0,0,736.783210669494
"ENSG00000145247.11",3.11412589166369,10.9889376675817,52.7916992871457,0,0,736.404886518524
"ENSG00000224126.2",4.83826289166968,5.50083319201234,52.7883037398637,0,0,736.347871751927
"ENSG00000244538.1",3.7904062123023,2.87425831247649,52.7349815870116,0,0,735.461565179518
"ENSG00000149451.17",-5.06611740432292,7.20118100326948,-52.7215793875913,0,0,735.2272285933
"ENSG00000144230.16",-5.36481657620108,4.28805141118579,-52.6120506621589,0,0,733.386560244566
"ENSG00000121068.13",-4.0393090801935,10.4713627609622,-52.4999540526681,9.88131291682493e-324,1.27024277545784e-320,731.501298053586
"ENSG00000115604.10",-4.03025991566308,8.22075336388196,-52.104758531105,8.37935335346754e-321,1.05095470294508e-317,724.843255259036
"ENSG00000164821.4",-5.18622645169591,1.58843231579147,-52.0842556471696,1.18476941872731e-320,1.45058068871507e-317,724.497343610471
"ENSG00000135052.16",3.35806118068009,11.9730133250901,51.9708766795403,8.05129376462895e-320,9.62841108809736e-317,722.583616189026
"ENSG00000216866.5",3.47980552073435,6.33987830876146,51.9363639998493,1.44326456463145e-319,1.68674984799524e-316,722.000783519041
"ENSG00000072163.18",-3.69891625502784,9.80091886159127,-51.9130351847264,2.14137932220513e-319,2.447025524207e-316,721.606741200756
"ENSG00000130307.11",-3.38876187212046,6.91219340296411,-51.8183327682989,1.06322926985036e-318,1.18857475679749e-315,720.00650386208
"ENSG00000213373.7",-3.50147943254313,1.37320519200183,-51.7771046268094,2.13665605463089e-318,2.33772902854787e-315,719.309530490814
"ENSG00000146469.12",-4.46943162777153,3.04298039435804,-51.44516499144,5.93179749919629e-316,6.35480880836391e-313,713.690962210445
"ENSG00000168530.15",-3.54672743967484,0.879996181611268,-51.4220045203203,8.78770117889669e-316,9.22224403512893e-313,713.29847141468
"ENSG00000255479.1",-2.55845081666791,0.884371968677003,-51.3836130264911,1.63040297530166e-315,1.67680424398092e-312,712.681220099375
