"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000219928.2",7.60265584744869,6.82446885396704,113.370787298659,0,0,1543.28117722862
"ENSG00000204253.4",3.9356472806877,7.85299693067719,85.2930036827906,0,0,1218.20690309944
"ENSG00000234743.1",5.64265481075713,5.23277249057282,81.2267773691483,0,0,1164.66507692177
"ENSG00000240854.1",4.40225140685775,3.45127050356735,76.5539770378857,0,0,1101.09226916448
"ENSG00000129467.13",-4.44375548198631,8.80163332485152,-70.7192530071365,0,0,1017.92165993909
"ENSG00000186994.11",-4.87777714946248,7.79742541998301,-69.7460732701665,0,0,1003.66725487473
"ENSG00000224126.2",6.41509613665961,5.50083319201234,69.5679122117275,0,0,1001.0451434434
"ENSG00000272789.1",-7.13341260909967,3.68620462985549,-68.0550804166559,0,0,978.622575244392
"ENSG00000226252.1",-5.93638452668907,3.23075246681214,-67.4574616601525,0,0,969.68707039634
"ENSG00000213131.3",4.43106105373205,5.08695368879149,65.77534294686,0,0,944.318090321869
"ENSG00000229237.2",3.96373976517919,3.45037469788252,64.5353997332855,0,0,925.431003301508
"ENSG00000130307.11",-4.19087231596916,6.91219340296411,-63.6948573547839,0,0,912.407950287224
"ENSG00000047648.21",-4.65011704857852,7.56136813175859,-63.2230958234685,0,0,905.101237484159
"ENSG00000213260.3",4.87065827645938,5.50577241059902,63.0115411224465,0,0,901.81557802009
"ENSG00000101003.9",5.11182879937852,8.44713299704052,62.3474553187156,0,0,891.465160288672
"ENSG00000162367.11",-4.70967496578545,7.17465194434195,-61.8032417910676,0,0,882.941801227031
"ENSG00000110400.10",5.12477577448285,11.5439223047431,61.2059645677503,0,0,873.544595945878
"ENSG00000260105.6",-5.09022158045686,4.04163027472098,-61.0413680488592,0,0,870.94706830059
"ENSG00000112378.11",4.19777197756873,13.662424962062,60.8038671081833,0,0,867.193037277296
"ENSG00000117650.12",5.57716883312614,8.20748272036382,60.528388895603,0,0,862.829869929687
"ENSG00000144230.16",-6.18226438677542,4.28805141118579,-60.2608817449942,0,0,858.583858188055
"ENSG00000101311.15",5.53701226734019,9.47647617359246,59.834503950784,0,0,851.797662273832
"ENSG00000143127.12",-5.15430015423573,7.42610412085465,-59.2718231583138,0,0,842.807313137172
"ENSG00000092054.12",-6.25101802653965,2.58356625483739,-59.1452714081409,0,0,840.779865253993
"ENSG00000118526.6",-6.26182520049311,8.40933811296647,-59.1377645500393,0,0,840.65953740182
"ENSG00000240247.6",-8.17754821400745,3.22241046430122,-58.8858558692556,0,0,836.617608874885
"ENSG00000217624.2",4.46574749800423,5.13655737711674,58.8038161845135,0,0,835.299559222358
"ENSG00000130052.13",-3.7613794075164,8.96995486288069,-58.7704408150062,0,0,834.763110869455
"ENSG00000213228.5",3.67310137145076,3.34317261060055,58.546120391661,0,0,831.215922735619
"ENSG00000073111.13",4.15387157096057,10.9080159398321,58.5157759586133,0,0,830.665276138879
"ENSG00000142748.12",-7.18220215974383,8.83552027753162,-58.3442227607936,0,0,827.900256417892
"ENSG00000018280.16",-4.90650810546855,10.73258347587,-58.3146013786549,0,0,827.422462032199
"ENSG00000139567.12",-3.6882456689895,10.6820485712203,-58.2255268728705,0,0,825.985029940926
"ENSG00000206047.2",-7.74469284830647,3.50838404231083,-57.9303382356741,0,0,821.214418892081
"ENSG00000213790.2",3.79296771878385,4.88430995053434,57.877181577093,0,0,820.385787933256
"ENSG00000146469.12",-5.04803314304295,3.04298039435804,-57.7526638022249,0,0,818.337780939532
"ENSG00000187800.13",-3.98735121597771,8.58692619600336,-57.734977781614,0,0,818.051221768415
"ENSG00000115507.9",5.95783021657346,7.00208301821738,57.4075099151967,0,0,812.7384168451
"ENSG00000211445.11",-5.25598260701929,13.0755508285889,-57.3351126789697,0,0,811.56206548109
"ENSG00000137203.10",6.38207799782128,8.33621881105858,57.2928287691546,0,0,810.874713682858
"ENSG00000104967.6",-3.8456231484295,7.56869245893651,-57.2858690110168,0,0,810.761557281129
"ENSG00000175643.8",4.14852288615567,8.65149785148042,57.2357574552885,0,0,809.946633948261
"ENSG00000112742.9",5.16416941474107,8.10330418413935,57.2284534898289,0,0,809.827829693872
"ENSG00000138180.15",5.16159824950201,8.9678847773865,57.1951735599948,0,0,809.286424531011
"ENSG00000134057.14",4.3966191865637,9.97419200848263,57.0937778778608,0,0,807.636057026341
"ENSG00000160801.13",-4.68070174565174,6.72208961688504,-57.0752926358767,0,0,807.335045533809
"ENSG00000102760.12",-4.11429752978459,11.0290814918276,-57.05076613291,0,0,806.935593990607
"ENSG00000090889.11",5.20173749716527,8.7456871067116,57.0435594750753,0,0,806.81820850487
"ENSG00000138160.5",4.19914273885528,9.47756286794139,57.0429862826008,0,0,806.808871797846
"ENSG00000117399.13",5.21365505340231,9.61607123012736,56.8977975522601,0,0,804.442598404662
