"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000134757.4",10.1104536101924,6.347957847912,62.7909002826822,0,0,897.594005745577
"ENSG00000186081.11",9.94797075923689,10.6856894781728,58.4148938603135,0,0,828.418437866041
"ENSG00000154227.13",7.60598025849779,4.37154565440661,58.3602379249958,0,0,827.539245604491
"ENSG00000256462.1",8.76790119232223,4.43696934955667,56.2875431733662,0,0,793.924245201959
"ENSG00000134762.16",8.01925471210922,7.72766054380578,55.5658917735063,0,0,782.096252320173
"ENSG00000170484.9",4.89201142172274,2.13540778740743,54.6601453565468,0,0,767.1612172777
"ENSG00000178363.4",9.51327762785598,6.2456738583465,54.4730243956808,0,0,764.063390578109
"ENSG00000250685.7",5.62319859443621,3.04331717971088,50.9090164584211,5.38527957755019e-312,3.46159039645454e-308,704.272672223463
"ENSG00000197641.11",8.33973262957102,4.7998805229589,49.2960829674421,5.26212931399017e-300,3.00660528570352e-296,676.73974265858
"ENSG00000169594.12",7.0298172441455,5.48690576456969,48.9933968917487,9.65444631248291e-298,4.96460592726809e-294,671.541521358568
"ENSG00000137975.7",7.75581086535093,7.00222761270586,47.5025843617187,1.560556509042e-286,7.29531794222423e-283,645.799950913332
"ENSG00000224984.1",4.0727184419323,2.02951734598115,47.3598401677489,1.86885972752482e-285,8.00853114737575e-282,643.323412373761
"ENSG00000185479.5",8.53478220423034,7.06436264564511,46.6459439827725,4.75625502834918e-280,1.88139155632923e-276,630.907795669218
"ENSG00000073282.12",6.03242691739368,9.39516754762945,46.4499176726299,1.46314020506965e-278,5.37421848323547e-275,627.490068248865
"ENSG00000086570.12",6.12090180141808,7.94851519970307,45.2347517825765,2.65253275061931e-269,9.09341277567312e-266,606.224360891895
"ENSG00000110400.10",3.19244409664077,11.5439223047431,44.9113490028007,7.89294976009358e-267,2.53674472195808e-263,600.542529469601
"ENSG00000205420.10",8.8193738611522,10.5734269202222,44.092659523938,1.50006481672881e-260,4.53751959239092e-257,586.119495540834
"ENSG00000170465.9",7.59242603482773,5.18136180390783,44.0849734582573,1.71858152491091e-260,4.90970098641633e-257,585.983827312825
"ENSG00000125998.7",6.6024942691291,3.22350160265395,43.9987922139531,7.89825133733736e-260,2.13764093957842e-256,584.46230094777
"ENSG00000188373.4",6.13677866676884,2.88364461739734,43.8076380024761,2.33124862828744e-258,5.99398991062124e-255,581.085370681387
"ENSG00000180739.13",4.13161065786153,6.7718275907,43.5487371724142,2.29410995866973e-256,5.61761982879398e-253,576.507060405475
